Ranking global - todos os anos
 id_deputado |                        nome                         | sigla_uf | sigla_partido | gasto_total 
-------------+-----------------------------------------------------+----------+---------------+-------------
       73486 | DARCI POMPEO DE MATTOS                              | RS       | PDT           |  2130784.95
      220538 | JOSÉ FRANCISCO LOPES DE ALBUQUERQUE                 | RR       | REPUBLICANOS  |  2005136.28
      160591 | VINICIUS DE AZEVEDO GURGEL                          | AP       | PL            |  1992801.19
      224117 | GABRIEL MOTA E SILVA                                | RR       | UNIAO         |  1991150.28
      220590 | ULYSSES FREITAS PEREIRA DE ARAÚJO                   | AC       | UNIAO         |  1984600.81
      220536 | JOSÉ HAROLDO FIGUEIREDO CAMPOS                      | RR       | UNIAO         |  1959268.02
      141459 | JOÃO DA SILVA MAIA                                  | RN       | PP            |  1958221.79
      204360 | SILVIA CRISTINA AMANCIO CHAGAS                      | RO       | PP            |  1953608.83
      220537 | MARIA HELENA TEIXEIRA LIMA                          | RR       | PSD           |  1947635.51
      204426 | JOSÉ CARLOS VERAS DOS SANTOS                        | PE       | PT            |  1943489.67
      204473 | ELIÉSER GIRÃO MONTEIRO FILHO                        | RN       | PL            |  1943274.43
      220539 | STÉLIO DENER DE SOUZA CRUZ                          | RR       | UNIAO         |  1910414.03
      220608 | CRISTIANE LOPES DA LUZ                              | RO       | PODE          |  1909531.25
      220591 | ROZIMEIRE RIBEIRO ANDRADE                           | AC       | UNIAO         |  1904160.60
      191923 | FLÁVIO RODRIGUES NOGUEIRA                           | PI       | PT            |  1899792.33
      204479 | ANTONIO CARLOS NICOLETTI                            | RR       | PL            |  1898259.50
       74090 | ÁTILA SIDNEY LINS DE ALBUQUERQUE                    | AM       | PSD           |  1895721.71
      141408 | CLEBER VERDE CORDEIRO MENDES                        | MA       | MDB           |  1889282.55
      204406 | PEDRO BANDARRA WESTPHALEN                           | RS       | PP            |  1886855.87
      220551 | FRANCIANE ABADE BAYER MULLER                        | RS       | REPUBLICANOS  |  1884207.45
      220610 | FERNANDO RODRIGUES MÁXIMO                           | RO       | PL            |  1884112.44
      204423 | ANDRÉ FERREIRA RODRIGUES                            | PE       | PL            |  1876645.56
      204388 | ALCIBIO MESQUITA BIBO NUNES                         | RS       | PL            |  1876254.86
       74374 | GERALDO RESENDE PEREIRA                             | MS       | UNIAO         |  1874824.04
      178908 | EDER MAURO CARDOSO BARRA                            | PA       | PL            |  1863522.50
      188097 | MERLONG SOLANO NOGUEIRA                             | PI       | PT            |  1857152.57
      220574 | GILBERTO GOMES DA SILVA                             | PB       | PL            |  1855761.30
       91228 | WALDEMAR DE ANDRADA IGNÁCIO DE OLIVEIRA             | PE       | AVANTE        |  1848401.62
      204557 | SIDNEY RICARDO DE OLIVEIRA LEITE                    | AM       | PSD           |  1848001.14
      220578 | JOSENILDO SANTOS ABRANTES                           | AP       | PDT           |  1846435.37
      220546 | RODOLFO OLIVEIRA NOGUEIRA                           | MS       | PL            |  1844297.51
      123756 | ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA                  | AC       | MDB           |  1841879.18
      220662 | LUCAS CAVALCANTI RAMOS                              | PE       | PSB           |  1838833.79
      204453 | NATÁLIA BASTOS BONAVIDES                            | RN       | PT            |  1837792.21
      220688 | FRANCISCO DE ASSIS DE OLIVEIRA COSTA                | PI       | PT            |  1837699.47
      178997 | MOSES HAENDEL MELO RODRIGUES                        | CE       | UNIAO         |  1837245.04
      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | AM       | MDB           |  1831560.49
      178954 | LUCIO ANTONIO MOSQUINI                              | RO       | PL            |  1829515.44
      220592 | JOSÉ ESTEPHAN AMORIM BARBARY FILHO                  | AC       | PP            |  1826847.67
      178835 | AFONSO ANTUNES DA MOTTA                             | RS       | PDT           |  1824755.65
      220708 | GABRIEL JOSE MOURA NUNES SOARES                     | BA       | PSD           |  1821461.45
       74060 | DANIEL GOMES DE ALMEIDA                             | BA       | PCDOB         |  1820827.37
      220677 | KENISTON DE JESUS REGO BRAGA                        | PA       | MDB           |  1817944.25
      204358 | HUMBERTO REZENDE PEREIRA                            | MS       | REPUBLICANOS  |  1817658.75
      220584 | CÁSSIO MURILO GALDINO DE ARAÚJO                     | PB       | REPUBLICANOS  |  1814413.50
      220581 | LUCIANO SURUAGY DO AMARAL FILHO                     | AL       | PSD           |  1814330.53
      204431 | MARCOS AURÉLIO PÁDUA RIBEIRO GONÇALVES DE SAMPAIO   | PI       | MDB           |  1809949.00
      178964 | HEITOR JOSE SCHUCH                                  | RS       | PSD           |  1808886.07
      204498 | OLIVAL HENRIQUE MARQUES DE SOUZA                    | PA       | PODE          |  1807990.66
      204378 | JOÃO CHRISÓSTOMO DE MOURA                           | RO       | PL            |  1806154.99
       74041 | LUIZ ALBUQUERQUE COUTO                              | PB       | PT            |  1802835.34
      160538 | ELVINO JOSÉ BOHN GASS                               | RS       | PT            |  1802052.08
      220558 | MARCOS ANTONIO PEREIRA GOMES                        | SC       | PL            |  1798222.59
      180214 | RAIMUNDO DINIZ ARAÚJO                               | RR       | UNIAO         |  1795940.28
      220553 | DENISE DA SILVA PESSÔA                              | RS       | PT            |  1795805.71
      220544 | ANTONIO POINCARE ANDRADE FILHO                      | TO       | PSDB          |  1795762.96
      220672 | HENDERSON LIRA PINTO                                | PA       | UNIAO         |  1795351.88
      141411 | DAGOBERTO NOGUEIRA FILHO                            | MS       | PP            |  1793289.59
      220589 | EDUARDO OVÍDIO BORGES DE VELLOSO VIANNA             | AC       | SOLIDARIEDADE |  1793265.52
      178866 | LUIZIANNE DE OLIVEIRA LINS                          | CE       | REDE          |  1791170.67
      220561 | KATARINA FEITOZA LIMA SANTANA                       | SE       | PSD           |  1788423.75
      220658 | LUIZ GASTÃO BITTENCOURT DA SILVA                    | CE       | PSD           |  1786557.96
      136811 | JOSÉ ALFONSO EBERT HAMM                             | RS       | PP            |  1784895.02
      220685 | PAULO HENRIQUE COLETTI FERNANDES                    | PR       | UNIAO         |  1783533.25
      220666 | LUIZ DE FRANÇA E SILVA MEIRA                        | PE       | PL            |  1783065.29
      160674 | HUGO MOTTA WANDERLEY DA NÓBREGA                     | PB       | REPUBLICANOS  |  1782257.76
      160559 | ALCEU MOREIRA DA SILVA                              | RS       | MDB           |  1780177.64
       74398 | MARIA DO ROSÁRIO NUNES                              | RS       | PT            |  1778274.58
      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | AP       | MDB           |  1778107.56
      220540 | DUDA BRITO RAMOS                                    | RR       | PODE          |  1776660.43
      160665 | AUGUSTO RODRIGUES COUTINHO DE MELO                  | PE       | REPUBLICANOS  |  1775627.42
      104552 | MARIA DO SOCORRO NERI MEDEIROS DE SOUZA             | AC       | PP            |  1773995.96
