 ano_dados | id_deputado |                        nome                         |         eixo_maior          | votos_sim | votos_nao | abstencoes | votos_total 
-----------+-------------+-----------------------------------------------------+-----------------------------+-----------+-----------+------------+-------------
      2023 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Ambiental e energetico      |         2 |         3 |          0 |           7
      2023 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Cultura e sociedade         |         7 |         3 |          0 |          12
      2023 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Economico                   |        25 |        21 |          2 |          62
      2023 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Infraestrutura e tecnologia |        10 |         2 |          0 |          14
      2023 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Institucional e juridico    |        22 |        23 |          1 |          53
      2023 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Internacional               |         6 |         1 |          0 |           7
      2023 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Seguranca                   |         2 |         1 |          0 |           4
      2023 |      220593 | ABILIO JACQUES BRUNINI MOUMER                       | Social                      |        12 |        12 |          2 |          33
      2023 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Ambiental e energetico      |         2 |         3 |          0 |           5
      2024 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Ambiental e energetico      |         1 |         1 |          0 |           2
      2026 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Ambiental e energetico      |         3 |         3 |          0 |           6
      2023 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Cultura e sociedade         |         5 |         2 |          0 |           7
      2026 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Cultura e sociedade         |         2 |         1 |          0 |           3
      2023 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Economico                   |        26 |        28 |          0 |          54
      2024 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Economico                   |         1 |         1 |          0 |           2
      2026 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Economico                   |         4 |         3 |          0 |           7
      2023 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Infraestrutura e tecnologia |         6 |         5 |          0 |          11
      2023 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Institucional e juridico    |        17 |        18 |          0 |          35
      2026 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Institucional e juridico    |         2 |         0 |          0 |           2
      2023 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Internacional               |         1 |         7 |          0 |           8
      2026 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Internacional               |         2 |         0 |          0 |           2
      2023 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Seguranca                   |         2 |         4 |          0 |           6
      2024 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Seguranca                   |         0 |         1 |          0 |           1
      2026 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Seguranca                   |         1 |         2 |          0 |           3
      2023 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Social                      |        14 |        17 |          0 |          31
      2026 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Social                      |         1 |         3 |          0 |           4
      2023 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Ambiental e energetico      |         4 |         3 |          0 |           7
      2024 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Ambiental e energetico      |         1 |         1 |          0 |           2
      2026 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Ambiental e energetico      |         2 |         4 |          0 |           6
      2023 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Cultura e sociedade         |         6 |         7 |          0 |          13
      2026 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Cultura e sociedade         |         3 |         1 |          0 |           4
      2023 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Economico                   |        28 |        34 |          0 |          62
      2024 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Economico                   |         1 |         1 |          0 |           2
      2026 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Economico                   |         4 |         6 |          0 |          10
      2023 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Infraestrutura e tecnologia |        10 |         6 |          0 |          16
      2026 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Infraestrutura e tecnologia |         0 |         1 |          0 |           1
      2023 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Institucional e juridico    |        30 |        26 |          0 |          56
      2026 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Institucional e juridico    |         1 |         0 |          0 |           1
      2023 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Internacional               |         1 |         7 |          0 |           8
      2026 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Internacional               |         2 |         1 |          0 |           3
      2023 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Seguranca                   |         2 |         5 |          0 |           7
      2024 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Seguranca                   |         0 |         1 |          0 |           1
