Q7 - ranking de custo-beneficio por deputado
Resumo executivo
 escopo | ano_dados | periodo_label | ano_parcial | deputados_rankeados | gasto_total  | total_proposicoes | media_score_proposicoes_total | media_indice_custo_beneficio | maior_indice_custo_beneficio 
--------+-----------+---------------+-------------+---------------------+--------------+-------------------+-------------------------------+------------------------------+------------------------------
 global |           | Global        | false       |                 609 | 727911888.84 |            378484 |                        486.57 |                     0.513501 |                    20.331970
 anual  |      2026 | 2026          | true        |                 464 |  70431598.39 |             31803 |                         80.36 |                     0.638238 |                    10.767357
 anual  |      2025 | 2025          | false       |                 535 | 240297489.62 |            138559 |                        238.38 |                     0.615099 |                    22.707001
 anual  |      2024 | 2024          | false       |                 553 | 249937615.86 |             86517 |                        141.99 |                     0.419621 |                    15.885681
 anual  |      2023 | 2023          | false       |                 539 | 235657929.84 |            153259 |                        167.11 |                     0.514765 |                    16.839758
(5 rows)


Tabela principal - ranking global e anual
 posicao | escopo | ano_dados | periodo_label | ano_parcial | id_deputado |          nome_parlamentar           | sigla_partido | sigla_uf | gasto_total | total_proposicoes | total_proposicoes_validas | total_proposicoes_substantivas | total_proposicoes_aprovadas | total_proposicoes_em_tramitacao | total_proposicoes_baixo_impacto | score_proposicoes_total | score_proposicoes_ajustado | gasto_ajustado | indice_custo_beneficio | elegivel_ranking | motivo_inelegibilidade 
---------+--------+-----------+---------------+-------------+-------------+-------------------------------------+---------------+----------+-------------+-------------------+---------------------------+--------------------------------+-----------------------------+---------------------------------+---------------------------------+-------------------------+----------------------------+----------------+------------------------+------------------+------------------------
       1 | global |           | Global        | false       |      220715 | Amom Mandel                         | REPUBLICANOS  | AM       |    89463.44 |              4766 |                      4766 |                            739 |                           1 |                            3404 |                             992 |               5020.1000 |                 596.395388 |      29.332888 |              20.331970 | true             | 
       2 | global |           | Global        | false       |      178937 | Altineu Côrtes                      | PL            | RJ       |  1189401.83 |             11294 |                     11294 |                             36 |                           1 |                            2755 |                             328 |              13941.6100 |                1283.023755 |     202.661004 |               6.330886 | true             | 
       3 | global |           | Global        | false       |      204506 | Marcos Pereira                      | REPUBLICANOS  | SP       |  1431529.25 |              7765 |                      7765 |                              9 |                           1 |                              71 |                              60 |              12265.9500 |                1165.536538 |     232.850741 |               5.005509 | true             | 
       4 | global |           | Global        | false       |      204528 | Adriana Ventura                     | NOVO          | SP       |   216076.28 |              2602 |                      2602 |                            196 |                           4 |                            1298 |                             423 |               1747.2600 |                 270.251524 |      56.553473 |               4.778690 | true             | 
       5 | global |           | Global        | false       |      204365 | Gilson Marques                      | NOVO          | SC       |   456527.95 |              6112 |                      6112 |                            119 |                           2 |                             841 |                             104 |               2138.2650 |                 314.446051 |      98.926632 |               3.178578 | true             | 
       6 | global |           | Global        | false       |      204536 | Kim Kataguiri                       | MISSAO        | SP       |   533508.51 |              1999 |                      1999 |                            280 |                           5 |                             922 |                             395 |               2047.8800 |                 304.423643 |     111.164461 |               2.738498 | true             | 
       7 | global |           | Global        | false       |       74856 | Laura Carneiro                      | PSD           | RJ       |  1377491.23 |              4471 |                      4471 |                            232 |                          20 |                            1531 |                             347 |               4157.1300 |                 517.720312 |     226.231464 |               2.288454 | true             | 
       8 | global |           | Global        | false       |       89536 | Prof. Paulo Fernando                | REPUBLICANOS  | DF       |   243326.07 |               504 |                       504 |                             84 |                           3 |                             162 |                             121 |                648.5050 |                 128.509430 |      61.798418 |               2.079494 | true             | 
       9 | global |           | Global        | false       |      220604 | Marcos Tavares                      | PDT           | RJ       |  1219630.08 |              2565 |                      2565 |                            447 |                           1 |                            2068 |                             212 |               3106.7600 |                 416.131679 |     206.508557 |               2.015082 | true             | 
      10 | global |           | Global        | false       |      220540 | Duda Ramos                          | PODE          | RR       |  1634111.08 |              1404 |                      1404 |                            694 |                           1 |                             961 |                             135 |               4117.7800 |                 514.040521 |     257.134557 |               1.999111 | true             | 
      11 | global |           | Global        | false       |      220654 | Delegado Paulo Bilynskyj            | PL            | SP       |  1326542.41 |              6412 |                      6412 |                            167 |                           3 |                             664 |                             570 |               2435.1450 |                 346.651928 |     219.930926 |               1.576185 | true             | 
      12 | global |           | Global        | false       |       77003 | Sergio Santos Rodrigues             | PODE          | MG       |    15476.53 |                 6 |                         6 |                              5 |                           0 |                               6 |                               0 |                 30.1500 |                  12.866650 |       8.178042 |               1.573317 | true             | 
      13 | global |           | Global        | false       |      234673 | Vanderlan Alves                     | SOLIDARIEDADE | CE       |    39005.20 |                17 |                        17 |                             13 |                           0 |                              11 |                               1 |                 72.8100 |                  24.925465 |      15.906965 |               1.566953 | true             | 
      14 | global |           | Global        | false       |      229225 | Missionária Michele Collins         | PP            | PE       |   180903.67 |               124 |                       124 |                             52 |                           0 |                              87 |                              14 |                316.4600 |                  75.030721 |      49.531456 |               1.514810 | true             | 
      15 | global |           | Global        | false       |      220618 | Sargento Portugal                   | PODE          | RJ       |  1323064.19 |              5371 |                      5371 |                            154 |                           1 |                            2773 |                            2129 |               2216.8500 |                 323.074165 |     219.498613 |               1.471873 | true             | 
