Ranking global - todos os anos
 id_deputado | nome                                                | sigla_uf | sigla_partido | gasto_total 
------------+-----------------------------------------------------+----------+---------------+------------
       73486 | DARCI POMPEO DE MATTOS                              | RS       | PDT           |  2151269.58 
      220538 | JOSÉ FRANCISCO LOPES DE ALBUQUERQUE                 | RR       | REPUBLICANOS  |  2005136.28 
      160591 | VINICIUS DE AZEVEDO GURGEL                          | AP       | PL            |  2002973.04 
      224117 | GABRIEL MOTA E SILVA                                | RR       | UNIAO         |  1991150.28 
      220590 | ULYSSES FREITAS PEREIRA DE ARAÚJO                   | AC       | UNIAO         |  1984600.81 
      204473 | ELIÉSER GIRÃO MONTEIRO FILHO                        | RN       | PL            |  1982581.09 
      141459 | JOÃO DA SILVA MAIA                                  | RN       | PP            |  1981642.48 
      204360 | SILVIA CRISTINA AMANCIO CHAGAS                      | RO       | PP            |  1974301.77 
      204426 | JOSÉ CARLOS VERAS DOS SANTOS                        | PE       | PT            |  1974100.25 
      220536 | JOSÉ HAROLDO FIGUEIREDO CAMPOS                      | RR       | UNIAO         |  1959268.02 
      220537 | MARIA HELENA TEIXEIRA LIMA                          | RR       | PSD           |  1947635.51 
      191923 | FLÁVIO RODRIGUES NOGUEIRA                           | PI       | PT            |  1938355.70 
       74090 | ÁTILA SIDNEY LINS DE ALBUQUERQUE                    | AM       | PSD           |  1937947.57 
      204479 | ANTONIO CARLOS NICOLETTI                            | RR       | PL            |  1931589.78 
      204406 | PEDRO BANDARRA WESTPHALEN                           | RS       | PP            |  1925457.52 
      204388 | ALCIBIO MESQUITA BIBO NUNES                         | RS       | PL            |  1922741.66 
      204423 | ANDRÉ FERREIRA RODRIGUES                            | PE       | PL            |  1911453.23 
      220539 | STÉLIO DENER DE SOUZA CRUZ                          | RR       | UNIAO         |  1910414.03 
      220608 | CRISTIANE LOPES DA LUZ                              | RO       | PODE          |  1909531.25 
      220591 | ROZIMEIRE RIBEIRO ANDRADE                           | AC       | UNIAO         |  1904160.60 
      178908 | EDER MAURO CARDOSO BARRA                            | PA       | PL            |  1898018.87 
      141408 | CLEBER VERDE CORDEIRO MENDES                        | MA       | MDB           |  1897974.19 
      220551 | FRANCIANE ABADE BAYER MULLER                        | RS       | REPUBLICANOS  |  1884207.45 
      220610 | FERNANDO RODRIGUES MÁXIMO                           | RO       | PL            |  1884112.44 
      188097 | MERLONG SOLANO NOGUEIRA                             | PI       | PT            |  1880281.29 
       74374 | GERALDO RESENDE PEREIRA                             | MS       | UNIAO         |  1876540.50 
      204453 | NATÁLIA BASTOS BONAVIDES                            | RN       | PT            |  1870545.17 
      178954 | LUCIO ANTONIO MOSQUINI                              | RO       | PL            |  1866135.48 
      178997 | MOSES HAENDEL MELO RODRIGUES                        | CE       | UNIAO         |  1865084.27 
      204557 | SIDNEY RICARDO DE OLIVEIRA LEITE                    | AM       | PSD           |  1861396.48 
       74060 | DANIEL GOMES DE ALMEIDA                             | BA       | PCDOB         |  1860644.73 
      178835 | AFONSO ANTUNES DA MOTTA                             | RS       | PDT           |  1857252.84 
      220574 | GILBERTO GOMES DA SILVA                             | PB       | PL            |  1855761.30 
      204431 | MARCOS AURÉLIO PÁDUA RIBEIRO GONÇALVES DE SAMPAIO   | PI       | MDB           |  1852505.72 
       91228 | WALDEMAR DE ANDRADA IGNÁCIO DE OLIVEIRA             | PE       | AVANTE        |  1848401.62 
      204358 | HUMBERTO REZENDE PEREIRA                            | MS       | REPUBLICANOS  |  1847835.88 
      220578 | JOSENILDO SANTOS ABRANTES                           | AP       | PDT           |  1846435.37 
      204498 | OLIVAL HENRIQUE MARQUES DE SOUZA                    | PA       | PODE          |  1846388.66 
      178866 | LUIZIANNE DE OLIVEIRA LINS                          | CE       | REDE          |  1845496.44 
      220546 | RODOLFO OLIVEIRA NOGUEIRA                           | MS       | PL            |  1844297.51 
      204378 | JOÃO CHRISÓSTOMO DE MOURA                           | RO       | PL            |  1843928.72 
      123756 | ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA                  | AC       | MDB           |  1841879.18 
      160538 | ELVINO JOSÉ BOHN GASS                               | RS       | PT            |  1840713.08 
      220662 | LUCAS CAVALCANTI RAMOS                              | PE       | PSB           |  1838833.79 
      220688 | FRANCISCO DE ASSIS DE OLIVEIRA COSTA                | PI       | PT            |  1837699.47 
      160674 | HUGO MOTTA WANDERLEY DA NÓBREGA                     | PB       | REPUBLICANOS  |  1837133.58 
      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | AM       | MDB           |  1831560.49 
