Tabela complementar - gastos consolidados por categoria
 ano_dados |                     descricao_despesa                     | total_gasto  | qtd_lancamentos | pct_total 
-----------+-----------------------------------------------------------+--------------+-----------------+-----------
      2023 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |  91345041.51 |           15203 |     37.24
      2023 | PASSAGEM AÉREA - SIGEPA                                   |  55369766.43 |           48540 |     22.57
      2023 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             |  36821767.00 |            7008 |     15.01
      2023 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR |  28192339.42 |           18700 |     11.49
      2023 | COMBUSTÍVEIS E LUBRIFICANTES.                             |  19483929.16 |           65950 |      7.94
      2023 | TELEFONIA                                                 |   2781031.47 |           14849 |      1.13
      2023 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    |   2689035.03 |            5846 |      1.10
      2023 | PASSAGEM AÉREA - RPA                                      |   1914631.49 |            1512 |      0.78
      2023 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        |   1797722.00 |              74 |      0.73
      2023 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  |   1403736.91 |             426 |      0.57
      2023 | PASSAGEM AÉREA - REEMBOLSO                                |   1236787.00 |             466 |      0.50
      2023 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 |    981853.87 |           21303 |      0.40
      2023 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                |    794755.15 |           12316 |      0.32
      2023 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      |    230190.00 |              41 |      0.09
      2023 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               |    114941.61 |             736 |      0.05
      2023 | ASSINATURA DE PUBLICAÇÕES                                 |     69931.39 |             244 |      0.03
      2023 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         |     47951.61 |               8 |      0.02
      2023 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               |      4623.35 |              18 |      0.00
      2024 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |  99972855.26 |           16367 |     37.97
      2024 | PASSAGEM AÉREA - SIGEPA                                   |  51934444.78 |           46652 |     19.72
      2024 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             |  42133141.99 |            7469 |     16.00
      2024 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR |  32408907.27 |           20494 |     12.31
      2024 | COMBUSTÍVEIS E LUBRIFICANTES.                             |  22162387.51 |           72411 |      8.42
      2024 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    |   3549710.35 |            7484 |      1.35
      2024 | TELEFONIA                                                 |   2984157.50 |           15600 |      1.13
      2024 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        |   2122079.31 |              98 |      0.81
      2024 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  |   1574893.39 |             499 |      0.60
      2024 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 |   1122232.83 |           21424 |      0.43
      2024 | PASSAGEM AÉREA - RPA                                      |   1081951.72 |             789 |      0.41
      2024 | PASSAGEM AÉREA - REEMBOLSO                                |   1072828.32 |             303 |      0.41
      2024 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                |    671246.60 |            9740 |      0.25
      2024 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      |    237650.00 |              44 |      0.09
      2024 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               |    122434.63 |             737 |      0.05
      2024 | ASSINATURA DE PUBLICAÇÕES                                 |     70785.13 |             263 |      0.03
      2024 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         |     66294.97 |               9 |      0.03
      2024 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               |     14698.51 |              18 |      0.01
      2025 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | 101865228.10 |           18240 |     40.87
      2025 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             |  41792381.67 |            7099 |     16.77
      2025 | PASSAGEM AÉREA - SIGEPA                                   |  35266085.72 |           30051 |     14.15
      2025 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR |  33379652.63 |           20180 |     13.39
      2025 | COMBUSTÍVEIS E LUBRIFICANTES.                             |  22389505.21 |           71144 |      8.98
      2025 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    |   3886788.16 |            8126 |      1.56
      2025 | TELEFONIA                                                 |   2881262.77 |           13199 |      1.16
      2025 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        |   2126395.00 |              89 |      0.85
      2025 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  |   1336182.02 |             491 |      0.54
      2025 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 |   1155388.95 |           19865 |      0.46
      2025 | PASSAGEM AÉREA - REEMBOLSO                                |   1135592.43 |             327 |      0.46
      2025 | PASSAGEM AÉREA - RPA                                      |    751819.54 |             519 |      0.30
      2025 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                |    683787.51 |            9466 |      0.27
      2025 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      |    235868.00 |              44 |      0.09
      2025 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               |    158318.50 |             859 |      0.06
      2025 | SERVIÇOS POSTAIS                                          |     95979.06 |             167 |      0.04
      2025 | ASSINATURA DE PUBLICAÇÕES                                 |     80158.05 |             265 |      0.03
      2025 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         |     30376.69 |               8 |      0.01
      2025 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               |      3619.29 |              18 |      0.00
      2026 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |  33756085.24 |            5916 |     48.21
