Q5 extra - maior fornecedor por categoria de gasto e por ano (57a leg.)
 ano_dados |                         categoria                         |                                             fornecedor                                             | cnpj_cpf | qtd_lancamentos | total_pago  
-----------+-----------------------------------------------------------+----------------------------------------------------------------------------------------------------+----------+-----------------+-------------
      2023 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | JAIRO SOUZA DA COSTA 97257621268                                                                   |          |               1 |     1000.00
      2023 | ASSINATURA DE PUBLICAÇÕES                                 | SEISELLES DISTRIBUIÇÃO E LOGÍSTICA EIRELI                                                          |          |              13 |    25125.47
      2023 | COMBUSTÍVEIS E LUBRIFICANTES.                             | 031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA                                           |          |            1442 |   296332.04
      2023 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | Facebook Serviços Online do Brasil                                                                 |          |             507 |  1510546.98
      2023 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC                                                   |          |            2576 |   157151.93
      2023 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | HOTEL PHENICIA LTDA                                                                                |          |              80 |    58161.90
      2023 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | CTA - CLEITON TAXI AEREO LTDA                                                                      |          |              14 |   407770.00
      2023 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | JUNIO CESAR CARDOSO                                                                                |          |              24 |   144000.00
      2023 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | PANTANAL VEÍCULOS LTDA                                                                             |          |             750 |  3003365.91
      2023 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME                                                       |          |             794 |   607518.66
      2023 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | EPUBLIKA, CURSOS PREPARATORIOS, DE CAPACITACAO E TREINAMENTO DE PESSOAL, EDITORACAO E EVENTOS LTDA |          |               2 |    15000.00
      2023 | PASSAGEM AÉREA - REEMBOLSO                                | Latam Linhas Aéreas S.A                                                                            |          |             168 |   301030.87
      2023 | PASSAGEM AÉREA - RPA                                      | Cia Aérea - TAM                                                                                    |          |             557 |   864352.27
      2023 | PASSAGEM AÉREA - SIGEPA                                   | TAM                                                                                                |          |           29205 | 32600531.25
      2023 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | INTERNACIONAL TRAVESSIAS SALVADOR S.A                                                              |          |             119 |    12609.02
      2023 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | BRASAO VIGILANCIA E SEGURANCA LTDA                                                                 |          |              18 |   146059.15
      2023 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | UBER DO BRASIL TECNOLOGIA LTDA.                                                                    |          |           10503 |   315540.16
      2023 | TELEFONIA                                                 | Telefônica Brasil S.A. VIVO                                                                        |          |            1839 |   871992.21
      2024 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | CK INFO DESIGN E MIDIA SOCIAIS                                                                     |          |               1 |     7500.00
      2024 | ASSINATURA DE PUBLICAÇÕES                                 | SEISELLES DISTRIBUIÇÃO E LOGÍSTICA EIRELI                                                          |          |              11 |    19112.80
      2024 | COMBUSTÍVEIS E LUBRIFICANTES.                             | AUTO POSTO CINCO ESTRELAS LTDA                                                                     |          |            1430 |   285178.00
      2024 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | Facebook Serviços Online do Brasil ltda                                                            |          |             390 |  1210426.84
      2024 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC                                                   |          |            1419 |    87068.61
      2024 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | INVESTCITY INVESTIMENTOS E ADM DE IMOVEI                                                           |          |              37 |    85159.58
      2024 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | CTA - CLEITON TAXI AEREO LTDA                                                                      |          |              24 |   546300.00
      2024 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | JUNIO CESAR CARDOSO                                                                                |          |              33 |   198000.00
      2024 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | PANTANAL VEÍCULOS LTDA                                                                             |          |             757 |  3288908.71
      2024 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | AMORETTO CAFES EXPRESSO LTDA                                                                       |          |             514 |   368274.54
      2024 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | CRIATIVA MAIS DIGITAL MARKENTING LTDA                                                              |          |               2 |    14000.00
      2024 | PASSAGEM AÉREA - REEMBOLSO                                | Latam Linhas Aéreas S.A                                                                            |          |             123 |   327185.36
      2024 | PASSAGEM AÉREA - RPA                                      | Cia Aérea - TAM                                                                                    |          |             382 |   637378.16
      2024 | PASSAGEM AÉREA - SIGEPA                                   | TAM                                                                                                |          |           29953 | 32091040.47
      2024 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | EMPRESA GONTIJO DE TRANSPORTES LIMITADA                                                            |          |              78 |    20973.18
      2024 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | SERVFAZ SERVIÇOS DE SEGURANÇA LTDA                                                                 |          |              24 |   208800.00
      2024 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | UBER DO BRASIL TECNOLOGIA LTDA.                                                                    |          |           11157 |   331902.54
      2024 | TELEFONIA                                                 | CELULAR FUNCIONAL                                                                                  |          |            3574 |   833962.00
      2025 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | MACHADOS PLAZA HOTEL LTDA                                                                          |          |               1 |      738.00
      2025 | ASSINATURA DE PUBLICAÇÕES                                 | SEISELLES DISTRIBUIÇÃO E LOGÍSTICA LTDA                                                            |          |               9 |    18326.60
      2025 | COMBUSTÍVEIS E LUBRIFICANTES.                             | AUTO POSTO CINCO ESTRELAS LTDA                                                                     |          |            1535 |   327181.18
      2025 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | Facebook Serviços Online do Brasil Ltda.                                                           |          |             557 |  2186723.06
      2025 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | SERVIA O NACIONAL DE APREND. COMERCIAL                                                             |          |            1091 |    75645.79
      2025 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | HCC HOTELS GESTAO HOTELEIRA LTDA.                                                                  |          |              35 |    58153.85
      2025 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | CTA - CLEITON TAXI AEREO LTDA                                                                      |          |              15 |   369650.00
