party;num_deputados;score_bancada_0_10;desvio_bancada_medio_abs;desvio_bancada_max_abs;desvio_bancada_std
PRD;6;4.658;1.657;2.907;1.803
PODE;29;3.749;1.248;4.821;1.646
PP;63;4.218;1.198;4.406;1.48
PL;110;7.079;0.999;4.95;1.372
UNIAO;62;4.15;1.065;3.782;1.329
MDB;49;3.721;0.899;4.099;1.234
CIDADANIA;5;4.672;1.084;1.925;1.17
AVANTE;8;3.124;0.795;2.08;1.014
PSDB;16;3.813;0.638;2.61;0.914
REPUBLICANOS;59;3.731;0.609;3.402;0.91
SOLIDARIEDADE;8;3.363;0.651;2.081;0.873
PSD;65;3.377;0.677;2.531;0.859
NOVO;5;9.075;0.402;0.865;0.503
PV;6;1.037;0.393;0.856;0.481
PSB;14;1.653;0.367;1.037;0.458
PDT;19;2.054;0.361;0.908;0.438
REDE;7;1.394;0.323;0.548;0.365
PCDOB;11;0.671;0.253;0.663;0.309
PSOL;15;1.295;0.15;0.791;0.243
PT;76;0.566;0.128;0.763;0.178
MISSAO;1;7.378;0.0;0.0;0.0
