deputy_id;name;party;ideologia_score_partido;ideologia_faixa_partido;campo_ideologico_partido;ideal_point_dim1;ideal_point_dim2;score_comportamental_0_10;score_calibrado_0_10;score_bancada_0_10;desvio_partido;direcao_desvio_partido;desvio_bancada;direcao_desvio_bancada;qtd_votos_validos;qtd_votacoes_usadas;confianca;confianca_faixa;score_comportamental_z
141488;Paulo Teixeira;PT;2.679;Esquerda;esquerda;-0.9965;-0.0838;0.018;3.863;0.566;1.184;mais a direita;-0.549;mais a esquerda;33;33;1.0;alta;-1.636
231911;Lenir de Assis;PT;2.679;Esquerda;esquerda;-0.9908;-0.1355;0.046;3.884;0.566;1.205;mais a direita;-0.52;mais a esquerda;380;380;0.9842;alta;-1.623
74858;Lindbergh Farias;PT;2.679;Esquerda;esquerda;-0.9407;-0.1823;0.296;4.072;0.566;1.393;mais a direita;-0.27;alinhado;938;938;0.9776;alta;-1.514
160575;Erika Kokay;PT;2.679;Esquerda;esquerda;-0.94;-0.3412;0.3;4.075;0.566;1.396;mais a direita;-0.266;alinhado;1026;1026;0.96;alta;-1.513
178873;Helder Salomão;PT;2.679;Esquerda;esquerda;-0.9395;-0.1134;0.302;4.077;0.566;1.398;mais a direita;-0.264;alinhado;1091;1091;0.9844;alta;-1.512
204453;Natália Bonavides;PT;2.679;Esquerda;esquerda;-0.932;-0.3579;0.34;4.105;0.566;1.426;mais a direita;-0.226;alinhado;801;801;0.9551;alta;-1.496
74057;Alice Portugal;PCDOB;1.778;Esquerda;esquerda;-0.9291;-0.1406;0.355;4.116;0.671;2.338;mais a direita;-0.316;alinhado;980;980;0.9745;alta;-1.489
74400;Paulo Pimenta;PT;2.679;Esquerda;esquerda;-0.9283;-0.1613;0.358;4.119;0.566;1.44;mais a direita;-0.208;alinhado;434;434;0.9816;alta;-1.488
230764;Ivan Júnior;UNIAO;8.485;Direita;direita;-0.9263;0.3768;0.369;4.126;4.15;-4.359;mais a esquerda;-3.782;mais a esquerda;20;20;1.0;alta;-1.483
220632;Ana Pimentel;PT;2.679;Esquerda;esquerda;-0.9208;-0.1243;0.396;4.147;0.566;1.468;mais a direita;-0.17;alinhado;899;899;0.9822;alta;-1.471
160556;Padre João;PT;2.679;Esquerda;esquerda;-0.9195;0.0073;0.403;4.152;0.566;1.473;mais a direita;-0.164;alinhado;924;924;0.9924;alta;-1.468
74060;Daniel Almeida;PCDOB;1.778;Esquerda;esquerda;-0.9193;-0.1637;0.403;4.153;0.671;2.375;mais a direita;-0.267;alinhado;853;853;0.9719;alta;-1.468
160569;Waldenor Pereira;PT;2.679;Esquerda;esquerda;-0.9189;-0.1416;0.405;4.154;0.566;1.475;mais a direita;-0.161;alinhado;767;767;0.9831;alta;-1.467
204495;Airton Faleiro;PT;2.679;Esquerda;esquerda;-0.916;0.0142;0.42;4.165;0.566;1.486;mais a direita;-0.146;alinhado;842;842;0.9881;alta;-1.461
74848;Jandira Feghali;PCDOB;1.778;Esquerda;esquerda;-0.9157;-0.1525;0.421;4.166;0.671;2.388;mais a direita;-0.249;alinhado;951;951;0.9737;alta;-1.46
81055;Márcio Jerry;PCDOB;1.778;Esquerda;esquerda;-0.9138;-0.1375;0.431;4.173;0.671;2.395;mais a direita;-0.24;alinhado;911;911;0.9791;alta;-1.456
178986;Nilto Tatto;PT;2.679;Esquerda;esquerda;-0.9134;-0.1394;0.433;4.175;0.566;1.496;mais a direita;-0.134;alinhado;943;943;0.9809;alta;-1.455
204426;Carlos Veras;PT;2.679;Esquerda;esquerda;-0.9124;-0.0027;0.438;4.179;0.566;1.5;mais a direita;-0.129;alinhado;957;957;0.9885;alta;-1.453
220606;Reimont;PT;2.679;Esquerda;esquerda;-0.9113;-0.0543;0.443;4.183;0.566;1.504;mais a direita;-0.123;alinhado;893;893;0.9832;alta;-1.451
74041;Luiz Couto;PT;2.679;Esquerda;esquerda;-0.9097;-0.0545;0.451;4.189;0.566;1.51;mais a direita;-0.115;alinhado;1166;1166;0.9889;alta;-1.447
220527;Jack Rocha;PT;2.679;Esquerda;esquerda;-0.9077;-0.0308;0.462;4.196;0.566;1.517;mais a direita;-0.105;alinhado;937;937;0.9893;alta;-1.443
88256;Clodoaldo Magalhães;PV;4.123;Centro-esquerda;esquerda;-0.9063;-0.1858;0.469;4.202;1.037;0.079;alinhado;-0.568;mais a esquerda;829;829;0.9795;alta;-1.44
204445;Fernando Mineiro;PT;2.679;Esquerda;esquerda;-0.9059;-0.0817;0.471;4.203;0.566;1.524;mais a direita;-0.096;alinhado;835;835;0.9892;alta;-1.439
171617;Paulão;PT;2.679;Esquerda;esquerda;-0.9054;-0.0155;0.473;4.205;0.566;1.526;mais a direita;-0.093;alinhado;871;871;0.992;alta;-1.438
204480;Rogério Correia;PT;2.679;Esquerda;esquerda;-0.9051;-0.0616;0.474;4.206;0.566;1.527;mais a direita;-0.092;alinhado;882;882;0.9932;alta;-1.437
229106;Carla Ayres;PT;2.679;Esquerda;esquerda;-0.9051;-0.2338;0.475;4.206;0.566;1.527;mais a direita;-0.092;alinhado;61;61;0.9836;alta;-1.437
220682;Tadeu Veneri;PT;2.679;Esquerda;esquerda;-0.9046;-0.2508;0.477;4.208;0.566;1.529;mais a direita;-0.089;alinhado;844;844;0.9716;alta;-1.436
178857;Jorge Solla;PT;2.679;Esquerda;esquerda;-0.9039;-0.0535;0.48;4.211;0.566;1.532;mais a direita;-0.086;alinhado;794;794;0.9849;alta;-1.435
160604;Pedro Uczai;PT;2.679;Esquerda;esquerda;-0.9041;-0.1354;0.48;4.21;0.566;1.531;mais a direita;-0.087;alinhado;844;844;0.9775;alta;-1.435
74283;Vicentinho;PT;2.679;Esquerda;esquerda;-0.9028;-0.0378;0.486;4.215;0.566;1.536;mais a direita;-0.08;alinhado;836;836;0.988;alta;-1.432
160610;Valmir Assunção;PT;2.679;Esquerda;esquerda;-0.9018;-0.0303;0.491;4.218;0.566;1.539;mais a direita;-0.076;alinhado;803;803;0.9875;alta;-1.43
220554;Alexandre Lindenmeyer;PT;2.679;Esquerda;esquerda;-0.9016;-0.1534;0.492;4.219;0.566;1.54;mais a direita;-0.074;alinhado;785;785;0.9732;alta;-1.429
160508;Afonso Florence;PT;2.679;Esquerda;esquerda;-0.9012;0.0196;0.494;4.221;0.566;1.542;mais a direita;-0.072;alinhado;49;49;0.9796;alta;-1.429
178887;Rubens Pereira Júnior;PT;2.679;Esquerda;esquerda;-0.9004;0.0337;0.498;4.224;0.566;1.545;mais a direita;-0.069;alinhado;1038;1038;0.9865;alta;-1.427
73701;Benedita da Silva;PT;2.679;Esquerda;esquerda;-0.899;0.0058;0.505;4.229;0.566;1.55;mais a direita;-0.061;alinhado;811;811;0.9926;alta;-1.424
220643;Sônia Guajajara;PSOL;1.415;Extrema esquerda;esquerda;-0.8991;-0.4378;0.505;4.229;1.295;2.814;mais a direita;-0.791;mais a esquerda;35;35;0.9714;alta;-1.424
160538;Bohn Gass;PT;2.679;Esquerda;esquerda;-0.8971;-0.052;0.515;4.236;0.566;1.557;mais a direita;-0.052;alinhado;910;910;0.9868;alta;-1.42
74160;Patrus Ananias;PT;2.679;Esquerda;esquerda;-0.8961;-0.145;0.519;4.24;0.566;1.561;mais a direita;-0.047;alinhado;1005;1005;0.9801;alta;-1.418
178987;Orlando Silva;PCDOB;1.778;Esquerda;esquerda;-0.8948;-0.2692;0.526;4.245;0.671;2.467;mais a direita;-0.145;alinhado;853;853;0.9625;alta;-1.415
220704;Carol Dartora;PT;2.679;Esquerda;esquerda;-0.8947;-0.0572;0.526;4.245;0.566;1.566;mais a direita;-0.04;alinhado;655;655;0.9893;alta;-1.415
220602;Dimas Gadelha;PT;2.679;Esquerda;esquerda;-0.8945;0.0112;0.528;4.246;0.566;1.567;mais a direita;-0.039;alinhado;837;837;0.9869;alta;-1.414
220696;Ivoneide Caetano;PT;2.679;Esquerda;esquerda;-0.8914;-0.0077;0.543;4.257;0.566;1.578;mais a direita;-0.024;alinhado;884;884;0.9898;alta;-1.407
171786;Miguel Ângelo;PT;2.679;Esquerda;esquerda;-0.8903;-0.0078;0.549;4.262;0.566;1.583;mais a direita;-0.018;alinhado;764;764;0.9882;alta;-1.405
141398;Carlos Zarattini;PT;2.679;Esquerda;esquerda;-0.8898;-0.0721;0.551;4.264;0.566;1.585;mais a direita;-0.015;alinhado;877;877;0.9829;alta;-1.404
74161;Reginaldo Lopes;PT;2.679;Esquerda;esquerda;-0.8892;-0.0618;0.554;4.266;0.566;1.587;mais a direita;-0.012;alinhado;617;617;0.9854;alta;-1.403
69871;Bacelar;PV;4.123;Centro-esquerda;esquerda;-0.8855;0.0386;0.572;4.28;1.037;0.157;alinhado;-0.465;alinhado;1020;1020;0.9775;alta;-1.395
220556;Ana Paula Lima;PT;2.679;Esquerda;esquerda;-0.8846;-0.0337;0.577;4.283;0.566;1.604;mais a direita;0.011;alinhado;883;883;0.9887;alta;-1.393
220548;Camila Jara;PT;2.679;Esquerda;esquerda;-0.8818;-0.2114;0.591;4.293;0.566;1.614;mais a direita;0.024;alinhado;844;844;0.9656;alta;-1.387
220629;Dandara;PT;2.679;Esquerda;esquerda;-0.8813;-0.0498;0.593;4.295;0.566;1.616;mais a direita;0.027;alinhado;713;713;0.9776;alta;-1.385
220553;Denise Pessôa;PT;2.679;Esquerda;esquerda;-0.8802;-0.1673;0.599;4.3;0.566;1.621;mais a direita;0.033;alinhado;887;887;0.9707;alta;-1.383
188097;Merlong Solano;PT;2.679;Esquerda;esquerda;-0.8791;0.0388;0.604;4.304;0.566;1.625;mais a direita;0.038;alinhado;994;994;0.9829;alta;-1.381
74371;Rubens Otoni;PT;2.679;Esquerda;esquerda;-0.8786;-0.0254;0.607;4.306;0.566;1.627;mais a direita;0.041;alinhado;712;712;0.9916;alta;-1.379
73801;Renildo Calheiros;PCDOB;1.778;Esquerda;esquerda;-0.8786;-0.1578;0.607;4.306;0.671;2.528;mais a direita;-0.064;alinhado;998;998;0.9709;alta;-1.38
209189;Joseildo Ramos;PT;2.679;Esquerda;esquerda;-0.8785;-0.0678;0.608;4.306;0.566;1.627;mais a direita;0.041;alinhado;816;816;0.9792;alta;-1.379
73604;Rui Falcão;PT;2.679;Esquerda;esquerda;-0.8779;-0.1623;0.61;4.308;0.566;1.629;mais a direita;0.044;alinhado;912;912;0.9726;alta;-1.378
221148;Alfredinho;PT;2.679;Esquerda;esquerda;-0.8773;0.1055;0.613;4.31;0.566;1.631;mais a direita;0.047;alinhado;948;948;0.9852;alta;-1.377
230765;Enfermeira Rejane;PCDOB;1.778;Esquerda;esquerda;-0.8772;-0.3213;0.614;4.311;0.671;2.533;mais a direita;-0.057;alinhado;417;417;0.964;alta;-1.376
