Q9 - Vies ideologico dos deputados por score, faixa e campo ideologico

Q9.1 - Catalogo de partidos por faixa e campo ideologico
 ideologia_faixa  | campo_ideologico | ideologia_score_medio | qtd_partidos |                          partidos                          
------------------+------------------+-----------------------+--------------+------------------------------------------------------------
 Extrema esquerda | esquerda         |                 1.415 |            1 | PSOL
 Esquerda         | esquerda         |                 2.229 |            2 | PCDOB, PT
 Centro-esquerda  | esquerda         |                 3.815 |            4 | PDT, PSB, PV, REDE
 Centro-direita   | direita          |                 6.474 |            6 | AVANTE, CIDADANIA, MDB, PSD, PSDB, SOLIDARIEDADE
 Direita          | direita          |                 7.988 |            9 | MISSAO, PODE, PP, PRD, PROS, PSC, PTB, REPUBLICANOS, UNIAO
 Extrema direita  | direita          |                 8.688 |            3 | NOVO, PATRIOTA, PL
(6 rows)


Q9.1 - Lista completa partidos x ideologia
 sigla_partido | ideologia_score | ideologia_faixa  | campo_ideologico |                fonte_ideologia                 |    tipo_match_ideologia    
---------------+-----------------+------------------+------------------+------------------------------------------------+----------------------------
 PSOL          |           1.415 | Extrema esquerda | esquerda         | Bolognesi et al. 2026, expert survey 2018-2022 | direto
 PCDOB         |           1.778 | Esquerda         | esquerda         | Bolognesi et al. 2026, expert survey 2018-2022 | direto
 PT            |           2.679 | Esquerda         | esquerda         | Bolognesi et al. 2026, expert survey 2018-2022 | direto
 PSB           |           3.589 | Centro-esquerda  | esquerda         | Bolognesi et al. 2026, expert survey 2018-2022 | direto
 REDE          |           3.692 | Centro-esquerda  | esquerda         | Bolognesi et al. 2026, expert survey 2018-2022 | direto
 PDT           |           3.855 | Centro-esquerda  | esquerda         | Bolognesi et al. 2026, expert survey 2018-2022 | direto
 PV            |           4.123 | Centro-esquerda  | esquerda         | Bolognesi et al. 2026, expert survey 2018-2022 | direto
 SOLIDARIEDADE |           6.007 | Centro-direita   | direita          | Bolognesi et al. 2026, expert survey 2018-2022 | equivalencia
 CIDADANIA     |           6.170 | Centro-direita   | direita          | Bolognesi et al. 2026, expert survey 2018-2022 | equivalencia
 AVANTE        |           6.473 | Centro-direita   | direita          | Bolognesi et al. 2026, expert survey 2018-2022 | direto
 MDB           |           6.499 | Centro-direita   | direita          | Bolognesi et al. 2026, expert survey 2018-2022 | direto
 PSDB          |           6.759 | Centro-direita   | direita          | Bolognesi et al. 2026, expert survey 2018-2022 | direto
 PSD           |           6.937 | Centro-direita   | direita          | Bolognesi et al. 2026, expert survey 2018-2022 | direto
 PODE          |           7.437 | Direita          | direita          | Bolognesi et al. 2026, expert survey 2018-2022 | equivalencia
 PROS          |           7.445 | Direita          | direita          | Bolognesi et al. 2026, expert survey 2018-2022 | direto
 PTB           |           7.720 | Direita          | direita          | Bolognesi et al. 2026, expert survey 2018-2022 | direto
 MISSAO        |           7.750 | Direita          | direita          | classificacao_complementar_documentada         | classificacao_complementar
 PP            |           8.153 | Direita          | direita          | Bolognesi et al. 2026, expert survey 2018-2022 | equivalencia
 PRD           |           8.161 | Direita          | direita          | Bolognesi et al. 2026, expert survey 2018-2022 | proxy_fusao
 REPUBLICANOS  |           8.333 | Direita          | direita          | Bolognesi et al. 2026, expert survey 2018-2022 | equivalencia
 PSC           |           8.410 | Direita          | direita          | Bolognesi et al. 2026, expert survey 2018-2022 | direto
 UNIAO         |           8.485 | Direita          | direita          | Bolognesi et al. 2026, expert survey 2018-2022 | direto
 PATRIOTA      |           8.601 | Extrema direita  | direita          | Bolognesi et al. 2026, expert survey 2018-2022 | equivalencia
 NOVO          |           8.666 | Extrema direita  | direita          | Bolognesi et al. 2026, expert survey 2018-2022 | direto
 PL            |           8.796 | Extrema direita  | direita          | Bolognesi et al. 2026, expert survey 2018-2022 | equivalencia
(25 rows)


Q9.2 - Correlacao ideologia x proposicao (pct de Sim por faixa e campo)
 ano_dados | id_votacao  |                        titulo_proposicao                         | ideologia_score_medio | ideologia_faixa  | campo_ideologico | votos_sim | votos_nao | outros | total_votos | pct_sim 
-----------+-------------+------------------------------------------------------------------+-----------------------+------------------+------------------+-----------+-----------+--------+-------------+---------
      2023 | 1197773-90  | REQ 2360/2023                                                    |                 1.415 | Extrema esquerda | esquerda         |        10 |         0 |      0 |          10 |   100.0
      2023 | 1197773-90  | REQ 2360/2023                                                    |                 2.603 | Esquerda         | esquerda         |        59 |         0 |      0 |          59 |   100.0
      2023 | 1197773-90  | REQ 2360/2023                                                    |                 3.762 | Centro-esquerda  | esquerda         |        33 |         0 |      0 |          33 |   100.0
      2023 | 1197773-90  | REQ 2360/2023                                                    |                 6.692 | Centro-direita   | direita          |        72 |         7 |      0 |          79 |    91.1
      2023 | 1197773-90  | REQ 2360/2023                                                    |                 8.274 | Direita          | direita          |       109 |         7 |      2 |         118 |    92.4
      2023 | 1197773-90  | REQ 2360/2023                                                    |                 8.785 | Extrema direita  | direita          |        52 |        35 |      0 |          87 |    59.8
      2023 | 1197773-99  | REQ 2360/2023                                                    |                 1.415 | Extrema esquerda | esquerda         |         0 |        11 |      0 |          11 |     0.0
      2023 | 1197773-99  | REQ 2360/2023                                                    |                 2.618 | Esquerda         | esquerda         |         1 |        58 |      0 |          59 |     1.7
      2023 | 1197773-99  | REQ 2360/2023                                                    |                 3.781 | Centro-esquerda  | esquerda         |        14 |        17 |      0 |          31 |    45.2
      2023 | 1197773-99  | REQ 2360/2023                                                    |                 6.690 | Centro-direita   | direita          |        14 |        60 |      0 |          74 |    18.9
      2023 | 1197773-99  | REQ 2360/2023                                                    |                 8.256 | Direita          | direita          |        17 |       101 |      1 |         119 |    14.3
      2023 | 1197773-99  | REQ 2360/2023                                                    |                 8.787 | Extrema direita  | direita          |        71 |        17 |      1 |          89 |    79.8
      2023 | 1301025-111 | PRL 1 CCJC => PL 1733/2015                                       |                 1.415 | Extrema esquerda | esquerda         |         0 |         1 |      0 |           1 |     0.0
      2023 | 1301025-111 | PRL 1 CCJC => PL 1733/2015                                       |                 2.679 | Esquerda         | esquerda         |         0 |        10 |      0 |          10 |     0.0
      2023 | 1301025-111 | PRL 1 CCJC => PL 1733/2015                                       |                 3.722 | Centro-esquerda  | esquerda         |         0 |         4 |      0 |           4 |     0.0
      2023 | 1301025-111 | PRL 1 CCJC => PL 1733/2015                                       |                 6.571 | Centro-direita   | direita          |         0 |         5 |      0 |           5 |     0.0
      2023 | 1301025-111 | PRL 1 CCJC => PL 1733/2015                                       |                 8.274 | Direita          | direita          |         5 |         7 |      0 |          12 |    41.7
      2023 | 1301025-111 | PRL 1 CCJC => PL 1733/2015                                       |                 8.764 | Extrema direita  | direita          |         3 |         1 |      0 |           4 |    75.0
      2023 | 1301241-77  | PRL 1 CCJC => PL 1761/2015                                       |                 1.415 | Extrema esquerda | esquerda         |         0 |         2 |      0 |           2 |     0.0
      2023 | 1301241-77  | PRL 1 CCJC => PL 1761/2015                                       |                 2.679 | Esquerda         | esquerda         |         0 |         9 |      0 |           9 |     0.0
      2023 | 1301241-77  | PRL 1 CCJC => PL 1761/2015                                       |                 3.766 | Centro-esquerda  | esquerda         |         0 |         3 |      0 |           3 |     0.0
      2023 | 1301241-77  | PRL 1 CCJC => PL 1761/2015                                       |                 6.828 | Centro-direita   | direita          |         0 |         4 |      0 |           4 |     0.0
      2023 | 1301241-77  | PRL 1 CCJC => PL 1761/2015                                       |                 8.214 | Direita          | direita          |         4 |         7 |      0 |          11 |    36.4
      2023 | 1301241-77  | PRL 1 CCJC => PL 1761/2015                                       |                 8.785 | Extrema direita  | direita          |        11 |         1 |      0 |          12 |    91.7
      2023 | 1548579-109 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 1.415 | Extrema esquerda | esquerda         |        12 |         0 |      0 |          12 |   100.0
      2023 | 1548579-109 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 2.632 | Esquerda         | esquerda         |         1 |        56 |      0 |          57 |     1.8
