id_deputado;tema;qtd_proposicoes
100689;Viação, Transporte e Mobilidade;5
100689;Direito e Defesa do Consumidor;4
100689;Finanças Públicas e Orçamento;3
100689;Educação;2
100689;Energia, Recursos Hídricos e Minerais;2
100689;Homenagens e Datas Comemorativas;2
100689;Processo Legislativo e Atuação Parlamentar;2
100689;Economia;1
100689;Trabalho e Emprego;1
103758;Finanças Públicas e Orçamento;8
103758;Direitos Humanos e Minorias;6
103758;Direito Penal e Processual Penal;4
103758;Cidades e Desenvolvimento Urbano;3
103758;Defesa e Segurança;3
103758;Previdência e Assistência Social;3
103758;Administração Pública;2
103758;Indústria, Comércio e Serviços;2
103758;Política, Partidos e Eleições;2
103758;Trabalho e Emprego;2
103758;Direito Civil e Processual Civil;1
103758;Direito e Defesa do Consumidor;1
103758;Educação;1
103758;Esporte e Lazer;1
103758;Estrutura Fundiária;1
103758;Homenagens e Datas Comemorativas;1
103758;Meio Ambiente e Desenvolvimento Sustentável;1
103758;Processo Legislativo e Atuação Parlamentar;1
103758;Viação, Transporte e Mobilidade;1
104552;Educação;50
104552;Direitos Humanos e Minorias;41
104552;Administração Pública;36
104552;Finanças Públicas e Orçamento;32
104552;Saúde;21
104552;Trabalho e Emprego;15
104552;Defesa e Segurança;13
104552;Meio Ambiente e Desenvolvimento Sustentável;12
104552;Direito Penal e Processual Penal;10
104552;Cidades e Desenvolvimento Urbano;9
104552;Processo Legislativo e Atuação Parlamentar;9
104552;Economia;8
104552;Indústria, Comércio e Serviços;8
104552;Direito Constitucional;7
104552;Viação, Transporte e Mobilidade;7
104552;Direito e Defesa do Consumidor;6
104552;Comunicações;5
104552;Direito e Justiça;5
104552;Arte, Cultura e Religião;4
104552;Energia, Recursos Hídricos e Minerais;4
104552;Previdência e Assistência Social;4
104552;Ciência, Tecnologia e Inovação;3
104552;Relações Internacionais e Comércio Exterior;3
104552;Esporte e Lazer;2
104552;Homenagens e Datas Comemorativas;2
104552;Política, Partidos e Eleições;2
104552;Agricultura, Pecuária, Pesca e Extrativismo;1
104552;Estrutura Fundiária;1
104552;Turismo;1
107283;Administração Pública;12
107283;Finanças Públicas e Orçamento;10
107283;Direitos Humanos e Minorias;9
107283;Defesa e Segurança;8
107283;Trabalho e Emprego;6
107283;Indústria, Comércio e Serviços;5
107283;Relações Internacionais e Comércio Exterior;4
107283;Economia;3
107283;Energia, Recursos Hídricos e Minerais;3
107283;Esporte e Lazer;3
107283;Viação, Transporte e Mobilidade;3
107283;Agricultura, Pecuária, Pesca e Extrativismo;2
107283;Ciência, Tecnologia e Inovação;2
107283;Comunicações;2
107283;Direito Penal e Processual Penal;2
107283;Direito e Defesa do Consumidor;2
107283;Meio Ambiente e Desenvolvimento Sustentável;2
107283;Processo Legislativo e Atuação Parlamentar;2
107283;Cidades e Desenvolvimento Urbano;1
107283;Direito Civil e Processual Civil;1
107283;Direito Constitucional;1
107283;Educação;1
107283;Saúde;1
107970;Direitos Humanos e Minorias;14
107970;Finanças Públicas e Orçamento;13
107970;Processo Legislativo e Atuação Parlamentar;13
107970;Administração Pública;11
107970;Agricultura, Pecuária, Pesca e Extrativismo;7
107970;Direito Constitucional;7
107970;Defesa e Segurança;6
107970;Meio Ambiente e Desenvolvimento Sustentável;6
107970;Direito Penal e Processual Penal;5
107970;Homenagens e Datas Comemorativas;5
107970;Saúde;5
107970;Economia;4
107970;Indústria, Comércio e Serviços;4
107970;Relações Internacionais e Comércio Exterior;4
107970;Turismo;4
107970;Arte, Cultura e Religião;3
107970;Direito e Justiça;3
107970;Educação;3
107970;Energia, Recursos Hídricos e Minerais;3
107970;Previdência e Assistência Social;3
107970;Trabalho e Emprego;3
107970;Cidades e Desenvolvimento Urbano;2
107970;Direito e Defesa do Consumidor;2
107970;Estrutura Fundiária;2
107970;Viação, Transporte e Mobilidade;2
107970;Comunicações;1
107970;Esporte e Lazer;1
107970;Política, Partidos e Eleições;1
109429;Direitos Humanos e Minorias;31
109429;Saúde;19
109429;Finanças Públicas e Orçamento;17
109429;Administração Pública;16
109429;Defesa e Segurança;15
109429;Direito Penal e Processual Penal;14
109429;Processo Legislativo e Atuação Parlamentar;12
109429;Educação;10
109429;Direito Constitucional;8
109429;Direito e Justiça;8
109429;Indústria, Comércio e Serviços;8
109429;Trabalho e Emprego;8
109429;Previdência e Assistência Social;7
109429;Economia;5
109429;Energia, Recursos Hídricos e Minerais;5
109429;Agricultura, Pecuária, Pesca e Extrativismo;4
109429;Viação, Transporte e Mobilidade;4
109429;Cidades e Desenvolvimento Urbano;3
109429;Comunicações;3
109429;Direito Civil e Processual Civil;3
109429;Arte, Cultura e Religião;2
109429;Direito e Defesa do Consumidor;2
109429;Esporte e Lazer;2
109429;Estrutura Fundiária;2
109429;Homenagens e Datas Comemorativas;2
109429;Meio Ambiente e Desenvolvimento Sustentável;2
109429;Política, Partidos e Eleições;1
109429;Relações Internacionais e Comércio Exterior;1
109429;Turismo;1
115200;Homenagens e Datas Comemorativas;4
115200;Saúde;4
115200;Administração Pública;2
115200;Cidades e Desenvolvimento Urbano;2
115200;Educação;2
115200;Agricultura, Pecuária, Pesca e Extrativismo;1
115200;Direitos Humanos e Minorias;1
115200;Meio Ambiente e Desenvolvimento Sustentável;1
115200;Previdência e Assistência Social;1
115200;Trabalho e Emprego;1
115200;Viação, Transporte e Mobilidade;1
116379;Administração Pública;11
116379;Finanças Públicas e Orçamento;6
116379;Defesa e Segurança;5
116379;Indústria, Comércio e Serviços;5
116379;Processo Legislativo e Atuação Parlamentar;5
116379;Trabalho e Emprego;5
116379;Direito e Justiça;4
116379;Previdência e Assistência Social;4
116379;Saúde;4
116379;Viação, Transporte e Mobilidade;4
116379;Agricultura, Pecuária, Pesca e Extrativismo;3
116379;Direito e Defesa do Consumidor;3
