Q8 extra - alinhamento do voto ao resultado da votacao
Formula: votacoes alinhadas / votacoes consideradas.
Uma votacao alinhada e aquela em que o deputado votou Sim e a votacao foi aprovada, ou votou Nao e a votacao foi rejeitada.
Observacao: a contagem e por votacao, nao por proposicao. Cada voto em uma votacao recebe apenas uma classificacao: alinhado ou desalinhado.

Resumo executivo
 deputados_com_votos_validos | votacoes_consideradas | votacoes_alinhadas | votacoes_desalinhadas | media_indice_influencia_ponderado | taxa_alinhamento_resultado_geral 
-----------------------------+-----------------------+--------------------+-----------------------+-----------------------------------+----------------------------------
                        2233 |                378406 |             293589 |                 84817 |                             82.24 |                            77.59
(1 row)


Ranking global - todos os anos por indice de alinhamento ponderado
 ano_dados | id_deputado |                nome                 | votacoes_consideradas | votacoes_alinhadas | votacoes_desalinhadas | taxa_alinhamento_resultado | indice_influencia_ponderado 
-----------+-------------+-------------------------------------+-----------------------+--------------------+-----------------------+----------------------------+-----------------------------
 GLOBAL    |      220543 | Ricardo Ayres                       |                  1070 |               1017 |                    53 |                      95.05 |                      916.28
 GLOBAL    |      123086 | Átila Lira                          |                   932 |                889 |                    43 |                      95.39 |                      807.00
 GLOBAL    |      220612 | Bebeto                              |                   908 |                863 |                    45 |                      95.04 |                      777.43
 GLOBAL    |      109429 | Benes Leocádio                      |                   895 |                852 |                    43 |                      95.20 |                      770.17
 GLOBAL    |      178934 | Toninho Wandscheer                  |                   871 |                827 |                    44 |                      94.95 |                      743.46
 GLOBAL    |      220714 | Adail Filho                         |                   851 |                811 |                    40 |                      95.30 |                      734.76
 GLOBAL    |      204356 | Amaro Neto                          |                   872 |                824 |                    48 |                      94.50 |                      733.32
 GLOBAL    |      224117 | Gabriel Mota                        |                   854 |                809 |                    45 |                      94.73 |                      723.74
 GLOBAL    |      220544 | Antonio Andrade                     |                   851 |                807 |                    44 |                      94.83 |                      723.55
 GLOBAL    |      220691 | Diego Coronel                       |                   898 |                836 |                    62 |                      93.10 |                      720.59
 GLOBAL    |      121948 | Adriano do Baldy                    |                   813 |                780 |                    33 |                      95.94 |                      716.67
 GLOBAL    |      220656 | Fernanda Pessoa                     |                   890 |                827 |                    63 |                      92.92 |                      709.91
 GLOBAL    |      220539 | Defensor Stélio Dener               |                   918 |                843 |                    75 |                      91.83 |                      705.25
 GLOBAL    |      204457 | Juninho do Pneu                     |                   800 |                766 |                    34 |                      95.75 |                      700.89
 GLOBAL    |       91228 | Waldemar Oliveira                   |                  1018 |                901 |                   117 |                      88.51 |                      693.92
 GLOBAL    |      204512 | Delegado Marcelo Freitas            |                  1011 |                895 |                   116 |                      88.53 |                      689.65
 GLOBAL    |      160665 | Augusto Coutinho                    |                   814 |                771 |                    43 |                      94.72 |                      689.56
 GLOBAL    |      205550 | Jorge Braz                          |                   839 |                787 |                    52 |                      93.80 |                      689.43
 GLOBAL    |      160629 | Romero Rodrigues                    |                   844 |                790 |                    54 |                      93.60 |                      688.90
 GLOBAL    |      220703 | Neto Carletto                       |                   807 |                765 |                    42 |                      94.80 |                      685.40
 GLOBAL    |       74537 | Claudio Cajado                      |                   795 |                757 |                    38 |                      95.22 |                      684.63
 GLOBAL    |      220617 | Murillo Gouvea                      |                   809 |                766 |                    43 |                      94.68 |                      684.54
 GLOBAL    |      220624 | Robinson Faria                      |                   939 |                846 |                    93 |                      90.10 |                      678.45
 GLOBAL    |      204408 | Gustinho Ribeiro                    |                   768 |                737 |                    31 |                      95.96 |                      677.48
 GLOBAL    |      220708 | Gabriel Nunes                       |                   863 |                797 |                    66 |                      92.35 |                      675.08
 GLOBAL    |      220584 | Murilo Galdino                      |                   795 |                753 |                    42 |                      94.72 |                      673.46
 GLOBAL    |      220561 | Delegada Katarina                   |                   891 |                814 |                    77 |                      91.36 |                      673.32
