eixo,count
Direitos Humanos e Minorias,5302
Administração Pública,4970
Saúde,3854
Finanças Públicas e Orçamento,3665
Defesa e Segurança,3251
Educação,2911
Trabalho e Emprego,2010
Meio Ambiente e Desenvolvimento Sustentável,2004
Comunicações,1812
Economia,1760
Direito Penal e Processual Penal,1660
"Viação, Transporte e Mobilidade",1620
"Indústria, Comércio e Serviços",1529
Previdência e Assistência Social,1041
"Agricultura, Pecuária, Pesca e Extrativismo",1006
Homenagens e Datas Comemorativas,916
Cidades e Desenvolvimento Urbano,903
"Energia, Recursos Hídricos e Minerais",879
"Arte, Cultura e Religião",863
Direito e Defesa do Consumidor,849
"Ciência, Tecnologia e Inovação",835
Relações Internacionais e Comércio Exterior,788
Esporte e Lazer,775
Direito Civil e Processual Civil,755
Estrutura Fundiária,442
Direito e Justiça,385
Processo Legislativo e Atuação Parlamentar,354
Turismo,349
"Política, Partidos e Eleições",265
Direito Constitucional,78
Ciências Exatas e da Terra,7
Ciências Sociais e Humanas,5
