sigla_partido;status;ideologia_score;ideologia_faixa;campo_ideologico;fonte_ideologia;ano_base_ideologia;tipo_match_ideologia;observacao_ideologia;score_2018;score_2022;mediana_2022;n_respostas_2022;desvio_padrao_2022;entra_universo_analitico
AVANTE;ativo;6.473;Centro-direita;direita;Bolognesi et al. 2026, expert survey 2018-2022;2022;direto;Match direto por sufixo avante.;6.317;6.473;7.000;423;1.964;sim
CIDADANIA;ativo;6.170;Centro-direita;direita;Bolognesi et al. 2026, expert survey 2018-2022;2022;equivalencia;"Cidadania: PPS usado como historico de 2018; cdd usado como equivalencia de 2022.";4.926;6.170;6.000;412;1.877;sim
MDB;ativo;6.499;Centro-direita;direita;Bolognesi et al. 2026, expert survey 2018-2022;2022;direto;Match direto por sufixo mdb.;7.015;6.499;6.000;473;1.486;sim
MISSAO;ativo;7.750;Direita;direita;classificacao_complementar_documentada;2025;classificacao_complementar;Partido posterior a rodada Bolognesi 2022. Fundado pelo MBL em 2024, registro TSE aprovado em 04/11/2025. Ausente na base Bolognesi (sem coluna ideol_18 ou ideol_22). Classificacao operacional complementar baseada em fontes oficiais para existencia/representacao (TSE, Camara) e fontes jornalisticas convergentes que posicionam o partido a direita (Gazeta do Povo, Poder360, CNN Brasil, Crusoe). O score 7.750 e ponto medio da faixa Direita (7.000-8.499), nao media de expert survey. Ver fontes_complementares_ideologia.csv.;;;;;;sim
NOVO;ativo;8.666;Extrema direita;direita;Bolognesi et al. 2026, expert survey 2018-2022;2022;direto;Match direto por sufixo novo.;8.133;8.666;9.000;494;1.372;sim
PCDOB;ativo;1.778;Esquerda;esquerda;Bolognesi et al. 2026, expert survey 2018-2022;2022;direto;Match direto com normalizacao grafica de p_cdo_b para PCDOB.;1.920;1.778;2.000;508;1.253;sim
PDT;ativo;3.855;Centro-esquerda;esquerda;Bolognesi et al. 2026, expert survey 2018-2022;2022;direto;Match direto por sufixo pdt.;3.925;3.855;4.000;463;1.429;sim
PL;ativo;8.796;Extrema direita;direita;Bolognesi et al. 2026, expert survey 2018-2022;2022;equivalencia;"PL: PR usado apenas como historico de 2018; pl usado em 2022.";7.781;8.796;9.000;489;1.264;sim
PODE;ativo;7.437;Direita;direita;Bolognesi et al. 2026, expert survey 2018-2022;2022;equivalencia;Equivalencia entre PODE e Podemos.;7.243;7.437;7.000;471;1.492;sim
PP;ativo;8.153;Direita;direita;Bolognesi et al. 2026, expert survey 2018-2022;2022;equivalencia;Equivalencia entre PP, Progressistas e sufixo progre.;8.198;8.153;8.000;498;1.438;sim
