id_dep;uri_dep;nome;nomecivil;cpf
220593;https://dadosabertos.camara.leg.br/api/v2/deputados/220593;Abilio Brunini;ABILIO JACQUES BRUNINI MOUMER;
204379;https://dadosabertos.camara.leg.br/api/v2/deputados/204379;Acácio Favacho;ACÁCIO DA SILVA FAVACHO NETO;
220714;https://dadosabertos.camara.leg.br/api/v2/deputados/220714;Adail Filho;ADAIL JOSÉ FIGUEIREDO PINHEIRO;
221328;https://dadosabertos.camara.leg.br/api/v2/deputados/221328;Adilson Barroso;ADILSON BARROSO OLIVEIRA;
204560;https://dadosabertos.camara.leg.br/api/v2/deputados/204560;Adolfo Viana;ADOLFO VIANA DE CASTRO NETO;
204528;https://dadosabertos.camara.leg.br/api/v2/deputados/204528;Adriana Ventura;ADRIANA MIGUEL VENTURA;
121948;https://dadosabertos.camara.leg.br/api/v2/deputados/121948;Adriano do Baldy;ADRIANO ANTÔNIO AVELAR;
74646;https://dadosabertos.camara.leg.br/api/v2/deputados/74646;Aécio Neves;AÉCIO NEVES DA CUNHA;
160508;https://dadosabertos.camara.leg.br/api/v2/deputados/160508;Afonso Florence;AFONSO BANDEIRA FLORENCE;
136811;https://dadosabertos.camara.leg.br/api/v2/deputados/136811;Afonso Hamm;JOSÉ ALFONSO EBERT HAMM;
178835;https://dadosabertos.camara.leg.br/api/v2/deputados/178835;Afonso Motta;AFONSO ANTUNES DA MOTTA;
160527;https://dadosabertos.camara.leg.br/api/v2/deputados/160527;Aguinaldo Ribeiro;AGUINALDO VELLOSO BORGES RIBEIRO;
204495;https://dadosabertos.camara.leg.br/api/v2/deputados/204495;Airton Faleiro;AIRTON LUIZ FALEIRO;
204549;https://dadosabertos.camara.leg.br/api/v2/deputados/204549;AJ Albuquerque;ANTONIO JOSE AGUIAR ALBUQUERQUE;
73579;https://dadosabertos.camara.leg.br/api/v2/deputados/73579;Alberto Fraga;JOÃO ALBERTO FRAGA SILVA;
74696;https://dadosabertos.camara.leg.br/api/v2/deputados/74696;Alberto Mourão;ALBERTO PEREIRA MOURÃO;
220538;https://dadosabertos.camara.leg.br/api/v2/deputados/220538;Albuquerque;JOSÉ FRANCISCO LOPES DE ALBUQUERQUE;
160559;https://dadosabertos.camara.leg.br/api/v2/deputados/160559;Alceu Moreira;ALCEU MOREIRA DA SILVA;
