idproposicao;uriproposicao;idautor;nomeautor;tipoautor;ordemassinatura;pesoautoria
2626052;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626052;220618;Sargento Portugal;Deputado(a);1;1
2626051;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626051;220618;Sargento Portugal;Deputado(a);1;1
2626050;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626050;220618;Sargento Portugal;Deputado(a);1;1
2626049;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626049;160758;Domingos Sávio;Deputado(a);1;1
2626048;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626048;220618;Sargento Portugal;Deputado(a);1;1
2626046;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626046;220616;Luciano Vieira;Deputado(a);1;1
2626045;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626045;220616;Luciano Vieira;Deputado(a);1;1
2626044;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626044;220615;Pastor Henrique Vieira;Deputado(a);1;1
2626043;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626043;220691;Diego Coronel;Deputado(a);1;1
2626042;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626042;220672;Henderson Pinto;Deputado(a);1;1
2626041;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626041;160758;Domingos Sávio;Deputado(a);1;1
2626040;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626040;204372;Julio Cesar Ribeiro;Deputado(a);1;1
2626039;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626039;204372;Julio Cesar Ribeiro;Deputado(a);1;1
2626038;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626038;220618;Sargento Portugal;Deputado(a);1;1
2626037;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626037;204459;Daniela do Waguinho;Deputado(a);1;1
2626036;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626036;204459;Daniela do Waguinho;Deputado(a);1;1
2626035;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626035;204372;Julio Cesar Ribeiro;Deputado(a);1;1
2626034;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626034;74161;Reginaldo Lopes;Deputado(a);1;1
2626031;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626031;204436;Isnaldo Bulhões Jr.;Deputado(a);1;1
2626030;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626030;220540;Duda Ramos;Deputado(a);1;1
2626029;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626029;;Teresa Leitão;Senador(a);1;1
2626029;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626029;;Teresa Leitão;Senador(a);2;1
2626029;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2626029;;Teresa Leitão;Senador(a);3;1
