idproposicao;uriproposicao;idautor;nomeautor;tipoautor;ordemassinatura;pesoautoria;__reason
2625992;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2625992;220547;Marcos Pollon;Deputado(a);1;;fk_missing:idproposicao
2625983;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2625983;156190;Marcel van Hattem;Deputado(a);1;;fk_missing:idproposicao
2625972;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2625972;220686;Duarte Jr.;Deputado(a);1;;fk_missing:idproposicao
2625966;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2625966;220558;Zé Trovão;Deputado(a);1;;fk_missing:idproposicao
2625310;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2625310;220602;Dimas Gadelha;Deputado(a);1;;fk_missing:idproposicao
2625310;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2625310;160604;Pedro Uczai;Deputado(a);2;;fk_missing:idproposicao
2623355;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2623355;220543;Ricardo Ayres;Deputado(a);1;;fk_missing:idproposicao
2619974;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2619974;;Partido dos Trabalhadores;Partido Político;1;;fk_missing:idproposicao
2617244;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2617244;;Novo;Partido Político;1;;fk_missing:idproposicao
2617227;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2617227;;Missão;Partido Político;1;;fk_missing:idproposicao
2617190;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2617190;;Novo;Partido Político;1;;fk_missing:idproposicao
2617185;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2617185;;Partido Liberal;Partido Político;1;;fk_missing:idproposicao
2617179;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2617179;;Partido Liberal;Partido Político;1;;fk_missing:idproposicao
2617177;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2617177;;Novo;Partido Político;1;;fk_missing:idproposicao
2617173;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2617173;;Novo;Partido Político;1;;fk_missing:idproposicao
2617168;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2617168;;Partido Socialismo e Liberdade;Partido Político;1;;fk_missing:idproposicao
2617162;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2617162;;Partido Liberal;Partido Político;1;;fk_missing:idproposicao
2612906;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2612906;74043;Wellington Roberto;Deputado(a);1;;fk_missing:idproposicao
2611615;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2611615;204398;Felipe Francischini;Deputado(a);1;;fk_missing:idproposicao
2608889;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2608889;224333;Welter;Deputado(a);1;;fk_missing:idproposicao
2607494;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2607494;160512;Aureo Ribeiro;Deputado(a);1;;fk_missing:idproposicao
2604764;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2604764;204571;Alex Santana;Deputado(a);1;;fk_missing:idproposicao
2604733;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2604733;220690;Capitão Alden;Deputado(a);1;;fk_missing:idproposicao
2603107;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2603107;74400;Paulo Pimenta;Deputado(a);1;;fk_missing:idproposicao
2602338;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2602338;;Liderança do Podemos;Liderança;1;;fk_missing:idproposicao
2601044;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2601044;;Liderança da Federação PSOL-REDE;Liderança;1;;fk_missing:idproposicao
2599934;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599934;178884;Hildo Rocha;Deputado(a);1;;fk_missing:idproposicao
