uriproposicao;codtema;tema;relevancia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2604709;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2604709;46;Educação;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2604709;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2604517;64;Agricultura, Pecuária, Pesca e Extrativismo;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2604517;40;Economia;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2604517;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599885;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599885;46;Educação;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599885;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599888;41;Cidades e Desenvolvimento Urbano;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599888;54;Energia, Recursos Hídricos e Minerais;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599888;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599890;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599890;72;Homenagens e Datas Comemorativas;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599891;58;Trabalho e Emprego;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599892;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599892;57;Defesa e Segurança;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599892;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599893;72;Homenagens e Datas Comemorativas;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599893;58;Trabalho e Emprego;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599894;40;Economia;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599894;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599894;55;Relações Internacionais e Comércio Exterior;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599895;64;Agricultura, Pecuária, Pesca e Extrativismo;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599895;72;Homenagens e Datas Comemorativas;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599896;62;Ciência, Tecnologia e Inovação;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599896;72;Homenagens e Datas Comemorativas;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599897;41;Cidades e Desenvolvimento Urbano;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599897;72;Homenagens e Datas Comemorativas;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599898;41;Cidades e Desenvolvimento Urbano;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599928;46;Educação;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599928;58;Trabalho e Emprego;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599930;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599930;37;Comunicações;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599930;42;Direito Civil e Processual Civil;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599930;39;Esporte e Lazer;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600053;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600053;62;Ciência, Tecnologia e Inovação;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600053;37;Comunicações;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599938;72;Homenagens e Datas Comemorativas;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599938;48;Meio Ambiente e Desenvolvimento Sustentável;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599939;43;Direito Penal e Processual Penal;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599939;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599939;48;Meio Ambiente e Desenvolvimento Sustentável;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599940;43;Direito Penal e Processual Penal;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599940;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599940;48;Meio Ambiente e Desenvolvimento Sustentável;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599937;43;Direito Penal e Processual Penal;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599937;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599937;48;Meio Ambiente e Desenvolvimento Sustentável;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599947;43;Direito Penal e Processual Penal;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599947;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599947;46;Educação;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599958;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599958;57;Defesa e Segurança;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599958;43;Direito Penal e Processual Penal;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599958;56;Saúde;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599960;43;Direito Penal e Processual Penal;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599960;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599960;48;Meio Ambiente e Desenvolvimento Sustentável;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599959;37;Comunicações;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599959;57;Defesa e Segurança;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599959;43;Direito Penal e Processual Penal;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599959;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599961;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599961;52;Previdência e Assistência Social;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599961;58;Trabalho e Emprego;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599962;46;Educação;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599962;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599963;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599963;52;Previdência e Assistência Social;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599964;56;Saúde;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599966;46;Educação;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599966;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599967;46;Educação;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599967;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599968;52;Previdência e Assistência Social;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599969;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599969;52;Previdência e Assistência Social;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599970;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599970;40;Economia;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599970;56;Saúde;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599971;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599971;56;Saúde;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599965;43;Direito Penal e Processual Penal;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599965;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599965;56;Saúde;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599972;57;Defesa e Segurança;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599972;74;Política, Partidos e Eleições;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599973;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599973;57;Defesa e Segurança;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599973;74;Política, Partidos e Eleições;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599974;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599974;37;Comunicações;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599974;74;Política, Partidos e Eleições;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599976;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599976;37;Comunicações;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599976;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599978;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599978;40;Economia;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599978;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599980;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599980;37;Comunicações;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599980;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599982;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599984;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599984;41;Cidades e Desenvolvimento Urbano;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599984;40;Economia;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599984;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599986;48;Meio Ambiente e Desenvolvimento Sustentável;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599975;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599975;37;Comunicações;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599975;76;Direito e Justiça;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599977;57;Defesa e Segurança;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599977;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599987;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599987;35;Arte, Cultura e Religião;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599987;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599991;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599991;35;Arte, Cultura e Religião;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599991;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599995;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599995;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599997;57;Defesa e Segurança;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599997;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599999;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599999;57;Defesa e Segurança;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599999;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600001;57;Defesa e Segurança;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600001;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600001;55;Relações Internacionais e Comércio Exterior;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600003;57;Defesa e Segurança;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600003;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600005;46;Educação;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600005;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599979;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599979;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599981;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599981;37;Comunicações;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600007;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600007;41;Cidades e Desenvolvimento Urbano;0
