id;data;siglaorgao;idevento;aprovacao;descricao
2585316-23;2026-02-02;CCP;;true;Realizar o encaminhamento do PL-5874/2025 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2585316-24;2026-02-02;CCP;;true;Realizar o encaminhamento do PL-5874/2025 à CE (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2585316-25;2026-02-02;CCP;;true;Realizar o encaminhamento do PL-5874/2025 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2585316-26;2026-02-02;CCP;;true;Realizar o encaminhamento do PL-5874/2025 à CASP (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2555417-29;2026-02-02;PLEN;80872;true;Aprovada a Medida Provisória nº 1.312, de 2025.
2555417-31;2026-02-02;PLEN;80872;true;Aprovada a Redação Final assinada pela relatora, Dep. Dilvanda Faro (PT-PA).
2555417-34;2026-02-02;PLEN;80872;true;Aprovado, em apreciação preliminar, o Parecer da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.
2555417-35;2026-02-02;PLEN;80872;true;Aprovado, em apreciação preliminar, o Parecer da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e/ou de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.
2557414-24;2026-02-02;PLEN;80872;false;"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384."
2557414-29;2026-02-02;PLEN;80872;true;Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.
2557414-30;2026-02-02;PLEN;80872;true;Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.
2557414-32;2026-02-02;PLEN;80872;true;"Aprovada a Medida Provisória nº 1.313 de 2025, na forma do Projeto de Lei de Conversão, ressalvados os destaques. Sim: 415; Não: 29; Abstenção: 2; Total: 446."
2557414-35;2026-02-02;PLEN;80872;;Mantido o texto.
2557414-38;2026-02-02;PLEN;80872;;Mantido o texto.
2557414-41;2026-02-02;PLEN;80872;;"Mantido o texto. Sim: 401; Não: 34; Total: 435."
2557414-44;2026-02-02;PLEN;80872;;Mantido o texto.
2557414-46;2026-02-02;PLEN;80872;true;Aprovada a Emenda de Redação nº 1.
2557414-48;2026-02-02;PLEN;80872;true;Aprovada a Redação Final, assinada pelo relator, Dep. Hugo Leal (PSD/RJ).
2600436-6;2026-02-03;PLEN;80928;true;Aprovado o Requerimento de Urgência (Art. 155 do RICD).
2600426-17;2026-02-03;CCP;;true;Realizar o encaminhamento do PL-179/2026 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2600426-18;2026-02-03;CCP;;true;Realizar o encaminhamento do PL-179/2026 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2600426-19;2026-02-03;CCP;;true;Realizar o encaminhamento do PL-179/2026 à CASP (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2600426-20;2026-02-03;PLEN;;true;Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 131/2026.
2600441-6;2026-02-03;PLEN;80928;true;Aprovado o Requerimento de Urgência (Art. 155 do RICD).
2593628-19;2026-02-03;CCP;;true;Realizar o encaminhamento do PL-6070/2025 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2593628-20;2026-02-03;CCP;;true;Realizar o encaminhamento do PL-6070/2025 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2593628-21;2026-02-03;CCP;;true;Realizar o encaminhamento do PL-6070/2025 à CASP (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2593628-22;2026-02-03;PLEN;;true;Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 136/2026.
2593628-28;2026-02-03;PLEN;80928;true;Aprovado o Projeto de Lei nº 6.070, de 2025, ressalvado o destaque.
2593628-30;2026-02-03;PLEN;80928;;Mantido o texto.
2593628-32;2026-02-03;PLEN;80928;true;Aprovada a Emenda de Redação nº 1.
2593628-34;2026-02-03;PLEN;80928;true;Aprovada a Redação Final assinada pelo relator, Dep. Alberto Fraga (PL-DF).
2600426-33;2026-02-03;PLEN;80928;false;Rejeitado o Requerimento.
2600426-34;2026-02-03;PLEN;80928;true;Aprovado o Projeto de Lei nº 179, de 2026, ressalvado o destaque.
2600426-36;2026-02-03;PLEN;80928;false;Rejeitada a Emenda de Plenário.
2600426-39;2026-02-03;PLEN;80928;;Mantido o texto.
2600426-42;2026-02-03;PLEN;80928;true;Aprovada a Redação Final assinada pelo relator, Dep. Alberto Fraga (PL/DF).
2585316-39;2026-02-03;PLEN;80928;true;Aprovado o Substitutivo ao Projeto de Lei nº 5.874, de 2025, adotado pelo relator da Comissão de Administração e Serviço Público, ressalvado o destaque.
2585316-44;2026-02-03;PLEN;80928;false;Rejeitadas as Emendas ao Substitutivo.
2585316-45;2026-02-03;PLEN;80928;;Mantido o texto.
2585316-47;2026-02-03;PLEN;80928;true;Aprovada a Redação Final assinada pelo relator, Dep. Átila Lira (PP/PI).
2601794-5;2026-02-09;PLEN;81002;false;"Rejeitado o Recurso nº 2, de 2026, contra parecer terminativo da Comissão de Constituição e Justiça e de Cidadania à Emenda de Plenário nº 3 oferecida ao Projeto de Lei nº 1.743, de 2024. Sim: 151; Não: 244; Abstenção: 3; Total: 398."
2432865-61;2026-02-09;PLEN;81002;false;"Rejeitado o Recurso nº 2, de 2026, contra parecer terminativo da Comissão de Constituição e Justiça e de Cidadania à Emenda de Plenário nº 3 oferecida ao Projeto de Lei nº 1.743, de 2024. Sim: 151; Não: 244; Abstenção: 3; Total: 398."
2597312-7;2026-02-09;PLEN;81002;true;Aprovado o Requerimento de Urgência (Art. 155 do RICD).
2592030-17;2026-02-09;CCP;;true;Realizar o encaminhamento do PL-6140/2025 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2592030-18;2026-02-09;CCP;;true;Realizar o encaminhamento do PL-6140/2025 à CMULHER (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2592030-19;2026-02-09;PLEN;;true;Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 5919/2025.
2601223-8;2026-02-09;PLEN;81002;true;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 337; Não: 19; Total: 356."
2600133-7;2026-02-09;PLEN;81002;true;Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).
2600138-14;2026-02-09;PLEN;;true;Aprovado o requerimento nº 55/2026,do Sr. Antonio Brito, que solicita urgência (art. 155) para o PRC 80/2025.
2582523-19;2026-02-09;CCP;;true;Realizar o encaminhamento do PRC-80/2025 à MESA (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2582523-20;2026-02-09;CCP;;true;Realizar o encaminhamento do PRC-80/2025 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2582523-21;2026-02-09;CCP;;true;Realizar o encaminhamento do PRC-80/2025 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2600138-15;2026-02-09;PLEN;;true;Alteração do Regime de Tramitação desta proposição em virtude da alteração do regime do PRC 80/2025, por ter sido aprovado o REQ 55/2026 que está apensado ao primeiro.
2601506-8;2026-02-09;PLEN;81002;true;Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).
2485231-35;2026-02-09;CCP;;true;Realizar o encaminhamento do PL-646/2025 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2601246-7;2026-02-09;PLEN;81002;true;Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).
2485911-19;2026-02-09;CCP;;true;Realizar o encaminhamento do PL-756/2025 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2485911-20;2026-02-09;CCP;;true;Realizar o encaminhamento do PL-756/2025 à CTUR (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2601510-8;2026-02-09;PLEN;81002;true;Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).
2601680-7;2026-02-09;PLEN;81002;true;Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).
2484092-45;2026-02-09;CCP;;true;Realizar o encaminhamento do PL-481/2025 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2484092-46;2026-02-09;CCP;;true;Realizar o encaminhamento do PL-481/2025 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2596339-8;2026-02-09;PLEN;81002;true;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 304; Não: 113; Total: 417."
2481715-36;2026-02-09;CCP;;true;Realizar o encaminhamento do PL-3278/2021 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2481715-37;2026-02-09;CCP;;true;Realizar o encaminhamento do PL-3278/2021 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2481715-38;2026-02-09;CCP;;true;Realizar o encaminhamento do PL-3278/2021 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2601522-8;2026-02-09;PLEN;81002;true;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 298; Não: 132; Total: 430."
2600122-8;2026-02-09;PLEN;81002;true;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; Não: 113; Abstenção: 3; Total: 423."
2485911-29;2026-02-09;PLEN;81002;true;Aprovado o Substitutivo ao Projeto de Lei nº 756, de 2025, adotado pelo relator da Comissão de Cultura.
2485911-32;2026-02-09;PLEN;81002;true;Aprovada a Redação Final assinada pelo relator, Dep. Romero Rodrigues (PODE/PB).
2562173-21;2026-02-09;PLEN;81002;false;"Rejeitado o Requerimento. Sim: 126; Não: 296; Total: 422."
2562173-27;2026-02-09;PLEN;81002;true;Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.
