idvotacao;proposicao_id;proposicao_uri;proposicao_titulo;proposicao_ementa;proposicao_siglatipo;proposicao_numero;proposicao_ano;__reason
2555417-29;2592069;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2592069;PAR 25/2025 => MPV 1312/2025;Recebido PARECER (CN) Nº 25, DE 2025, da COMISSÃO MISTA DE PLANOS, ORÇAMENTOS PÚBLICOS E FISCALIZAÇÃO, sobre a Medida Provisória n° 1312, de 2025, que Abre crédito extraordinário, em favor do Ministério da Agricultura e Pecuária, no valor de R$ 83.500.000,00, para o fim que especifica.;PAR;25;2025;fk_missing:proposicao_id
2555417-31;2592069;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2592069;PAR 25/2025 => MPV 1312/2025;Recebido PARECER (CN) Nº 25, DE 2025, da COMISSÃO MISTA DE PLANOS, ORÇAMENTOS PÚBLICOS E FISCALIZAÇÃO, sobre a Medida Provisória n° 1312, de 2025, que Abre crédito extraordinário, em favor do Ministério da Agricultura e Pecuária, no valor de R$ 83.500.000,00, para o fim que especifica.;PAR;25;2025;fk_missing:proposicao_id
2555417-34;2592069;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2592069;PAR 25/2025 => MPV 1312/2025;Recebido PARECER (CN) Nº 25, DE 2025, da COMISSÃO MISTA DE PLANOS, ORÇAMENTOS PÚBLICOS E FISCALIZAÇÃO, sobre a Medida Provisória n° 1312, de 2025, que Abre crédito extraordinário, em favor do Ministério da Agricultura e Pecuária, no valor de R$ 83.500.000,00, para o fim que especifica.;PAR;25;2025;fk_missing:proposicao_id
2555417-35;2592069;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2592069;PAR 25/2025 => MPV 1312/2025;Recebido PARECER (CN) Nº 25, DE 2025, da COMISSÃO MISTA DE PLANOS, ORÇAMENTOS PÚBLICOS E FISCALIZAÇÃO, sobre a Medida Provisória n° 1312, de 2025, que Abre crédito extraordinário, em favor do Ministério da Agricultura e Pecuária, no valor de R$ 83.500.000,00, para o fim que especifica.;PAR;25;2025;fk_missing:proposicao_id
2585316-39;2596245;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2596245;REQ 5748/2025;Requer a apensação, para tramitação conjunta, do Projeto de Lei nº 6.237/2025 e do Projeto de Lei nº 2.338/2023.;REQ;5748;2025;fk_missing:proposicao_id
2585316-44;2596245;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2596245;REQ 5748/2025;Requer a apensação, para tramitação conjunta, do Projeto de Lei nº 6.237/2025 e do Projeto de Lei nº 2.338/2023.;REQ;5748;2025;fk_missing:proposicao_id
2585316-45;2596245;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2596245;REQ 5748/2025;Requer a apensação, para tramitação conjunta, do Projeto de Lei nº 6.237/2025 e do Projeto de Lei nº 2.338/2023.;REQ;5748;2025;fk_missing:proposicao_id
2585316-47;2596245;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2596245;REQ 5748/2025;Requer a apensação, para tramitação conjunta, do Projeto de Lei nº 6.237/2025 e do Projeto de Lei nº 2.338/2023.;REQ;5748;2025;fk_missing:proposicao_id
2432865-61;2462532;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2462532;REQ 4232/2024;Requer urgência para apreciação do Projeto de Lei 1743/2024, que “altera o artigo 55 da Lei nº 8.906, de 4 de julho de 1994 - que dispõe sobre o Estatuto da Advocacia e a Ordem dos Advogados do Brasil - OAB, para fins de alterar a nomenclatura da Secretaria-Geral Adjunta, bem como a composição da Diretoria do Conselho Federal da OAB, e acrescenta o parágrafo único ao artigo 57;REQ;4232;2024;fk_missing:proposicao_id
2432865-61;2462788;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2462788;RPD 1 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;1;;fk_missing:proposicao_id
2432865-61;2462789;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2462789;RPD 2 => PL 1743/2024;Requerimento de Adiamento da Discussão Matéria Urgente - PL 1743/2024;RPD;2;;fk_missing:proposicao_id
2432865-61;2462790;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2462790;RPD 3 => PL 1743/2024;Requerimento de Adiamento da Votação Matéria Urgente - PL 1743/2024;RPD;3;;fk_missing:proposicao_id
2432865-61;2462791;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2462791;RPD 4 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;4;;fk_missing:proposicao_id
2432865-61;2462792;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2462792;RPD 5 => PL 1743/2024;Votação Nominal do Requerimento de Adiamento da Votação (matéria urgente) - PL 1743/2024-Requerimento de Adiamento da Votação Matéria Urgente - PL 1743/2024;RPD;5;;fk_missing:proposicao_id
2432865-61;2462797;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2462797;RPD 6 => PL 1743/2024;Requerimento Procedimental Genérico - PL 1743/2024;RPD;6;;fk_missing:proposicao_id
2432865-61;2462823;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2462823;PRLP 1 => PL 1743/2024;Altera os artigos 55 e 57 da Lei nº 8.906, de 4 de julho de 1994 - que dispõe sobre o Estatuto da Advocacia e a Ordem dos Advogados do Brasil (OAB) -, para modificar a nomenclatura da Secretaria-Geral Adjunta, bem como a composição da Diretoria do Conselho Federal da OAB, e facultar aos Conselhos Seccionais a criação de diretorias regimentais temporárias.;PRLP;1;;fk_missing:proposicao_id
2432865-61;2463050;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463050;RPD 7 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;7;;fk_missing:proposicao_id
2432865-61;2463051;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463051;RPD 8 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;8;;fk_missing:proposicao_id
2432865-61;2463073;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463073;RPD 9 => PL 1743/2024;Requerimento de Adiamento da Discussão Matéria Urgente - PL 1743/2024;RPD;9;;fk_missing:proposicao_id
2432865-61;2463077;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463077;RPD 10 => PL 1743/2024;Requerimento de Adiamento da Votação Matéria Urgente - PL 1743/2024;RPD;10;;fk_missing:proposicao_id
2432865-61;2463078;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463078;RPD 11 => PL 1743/2024;Votação Nominal do Requerimento de Adiamento da Votação (matéria urgente) - PL 1743/2024-Requerimento de Adiamento da Votação Matéria Urgente - PL 1743/2024;RPD;11;;fk_missing:proposicao_id
2432865-61;2463082;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463082;EMP 1 => PL 1743/2024;Altera o artigo 55 da Lei nº 8.906, de 4 de julho de 1994 - que dispõe sobre o Estatuto da Advocacia e a Ordem dos Advogados do Brasil - OAB, para fins de alterar a nomenclatura da Secretaria-Geral Adjunta, bem como a composição da Diretoria do Conselho Federal da OAB, e acrescenta o parágrafo único ao artigo 57.;EMP;1;;fk_missing:proposicao_id
2432865-61;2463083;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463083;RPD 12 => PL 1743/2024;Requerimento de Votação Nominal - PL 1743/2024-Requerimento de Adiamento da Discussão Matéria Urgente - PL 1743/2024;RPD;12;;fk_missing:proposicao_id
2432865-61;2463084;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463084;EMP 2 => PL 1743/2024;Altera o artigo 55 da Lei nº 8.906, de 4 de julho de 1994 - que dispõe sobre o Estatuto da Advocacia e a Ordem dos Advogados do Brasil - OAB, para fins de alterar a nomenclatura da Secretaria-Geral Adjunta, bem como a composição da Diretoria do Conselho Federal da OAB, e acrescenta o parágrafo único ao artigo 57.;EMP;2;;fk_missing:proposicao_id
