idvotacao;siglabancada;orientacao;siglaorgao;descricao
2447983-57;Fdr PT-PCdoB-PV;Sim;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;Fdr PSOL-REDE;Sim;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;Oposição;Sim;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;PSB;;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;PDT;;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;Novo;Sim;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;Bl UniPpPsd...;;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;Missão;;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;Governo;Sim;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;Minoria;Sim;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;PL;Sim;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;PRD;;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;Avante;;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;Maioria;Sim;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;Solidaried;;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2422887-23;Fdr PSOL-REDE;Sim;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;Missão;Não;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;PSB;;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;PL;Não;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;Minoria;Não;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;Maioria;Sim;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;PRD;;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;Novo;Não;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;Solidaried;;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;Governo;Sim;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;Avante;;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;Fdr PT-PCdoB-PV;Sim;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;PDT;;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;Bl UniPpPsd...;Não;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;Oposição;Não;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2565804-8;Fdr PT-PCdoB-PV;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 284; Não: 127; Abstenção: 1; Total: 412."
2565804-8;PRD;;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 284; Não: 127; Abstenção: 1; Total: 412."
