idvotacao;deputado_id;voto;deputado_nome;deputado_siglapartido;deputado_siglauf
1228863-61;204501;Sim;Alencar Santana;PT;SP
1228863-61;178881;Não;Aluisio Mendes;REPUBLICANOS;MA
1228863-61;160600;Não;Arthur Oliveira Maia;UNIÃO;BA
1228863-61;204374;Não;Bia Kicis;PL;DF
1228863-61;204572;Não;Capitão Alberto Neto;PL;AM
1228863-61;178829;Não;Capitão Augusto;PL;SP
1228863-61;204460;Não;Carlos Jordy;PL;RJ
1228863-61;220594;Não;Coronel Assis;PL;MT
1228863-61;220590;Não;Coronel Ulysses;UNIÃO;AC
1228863-61;204355;Não;Da Vitoria;PP;ES
1228863-61;220539;Não;Defensor Stélio Dener;UNIÃO;RR
1228863-61;178908;Não;Delegado Éder Mauro;PL;PA
1228863-61;220583;Não;Delegado Fabio Costa;PP;AL
1228863-61;204512;Não;Delegado Marcelo Freitas;UNIÃO;MG
1228863-61;220654;Não;Delegado Paulo Bilynskyj;PL;SP
1228863-61;178929;Não;Diego Garcia;UNIÃO;PR
1228863-61;178905;Não;Fabio Garcia;UNIÃO;MT
1228863-61;66828;Sim;Fausto Pinato;UNIÃO;SP
1228863-61;204398;Não;Felipe Francischini;PODE;PR
1228863-61;220529;Não;Gilson Daniel;PODE;ES
1228863-61;178884;Não;Hildo Rocha;MDB;MA
1228863-61;204474;Não;Juarez Costa;REPUBLICANOS;MT
1228863-61;66385;Não;Julio Arcoverde;PP;PI
1228863-61;204372;Não;Julio Cesar Ribeiro;REPUBLICANOS;DF
1228863-61;74856;Sim;Laura Carneiro;PSD;RJ
1228863-61;139285;Sim;Lídice da Mata;PSB;BA
1228863-61;204404;Não;Lucas Redecker;PSD;RS
1228863-61;220547;Não;Marcos Pollon;PL;MS
1228863-61;220668;Sim;Maria Arraes;PSB;PE
1228863-61;74428;Não;Mendonça Filho;PL;PE
1228863-61;209787;Não;Nikolas Ferreira;PL;MG
1228863-61;178987;Sim;Orlando Silva;PCDOB;SP
1228863-61;178860;Não;Paulo Azi;UNIÃO;BA
1228863-61;74574;Não;Paulo Magalhães;PSD;BA
1228863-61;160601;Não;Pr. Marco Feliciano;PL;SP
1228863-61;221338;Sim;Professora Luciene Cavalcante;PSOL;SP
1228863-61;74161;Sim;Reginaldo Lopes;PT;MG
1228863-61;153423;Não;Renilce Nicodemos;MDB;PA
1228863-61;235088;Não;Ribeiro Neto;SOLIDARIEDADE;MA
1228863-61;220543;Não;Ricardo Ayres;REPUBLICANOS;TO
1228863-61;220588;Não;Roberto Duarte;REPUBLICANOS;AC
1228863-61;220546;Não;Rodolfo Nogueira;PL;MS
1228863-61;141531;Não;Rodrigo de Castro;UNIÃO;MG
1228863-61;204535;Sim;Sâmia Bomfim;PSOL;SP
1228863-61;235776;Não;Sérgio Turra;PP;RS
1228863-61;204360;Não;Silvia Cristina;PP;RO
1228863-61;178934;Não;Toninho Wandscheer;PP;PR
1228863-61;157130;Sim;Túlio Gadêlha;PSD;PE
1228863-61;220558;Não;Zé Trovão;PL;SC
1228863-64;220576;Não;Alfredo Gaspar;PL;AL
1228863-64;178881;Não;Aluisio Mendes;REPUBLICANOS;MA
