id_proposicao;uri_proposicao;sigla_tipo;numero;ano;ementa;ementa_detalhada;keywords;descricao_situacao
2599885;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599885;PL;1;2026;Altera a Lei nº 11.892, de 29 de dezembro de 2008, que institui a Rede Federal de Educação Profissional, Científica e Tecnológica, para criar o Instituto Federal do Sertão Paraibano.;;Alteração, Lei da Rede Federal de Educação Profissional, Científica e Tecnológica (2008), criação, Instituto Federal de Educação, Ciência e Tecnologia do Sertão da Paraíba (IFSPB), Patos (PB), Desmembramento, Instituto Federal de Educação, Ciência e Tecnologia da Paraíba (IFPB), Nomeação, Ministro de Estado da Educação, Quadro de pessoal, Rede Federal de Educação Profissional, Científica e Tecnológica, Reitor, Prazo determinado, Interiorização, Educação técnica, Educação tecnológica, previsão, Dotação orçamentária.;Arquivada
2599886;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599886;PROC;2;2026;Nos termos do art. 9 do Regimento Interno da Câmara dos Deputados (RICD), o Partido Socialista Brasileiro (PSB), mediante assinatura da maioria da Bancada, comunica à Mesa a indicação do Deputado Jonas Donizette (PSB/SP) como Líder da Bancada.;;;Arquivada
2599888;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599888;MPV;1333;2026;Abre crédito extraordinário, em favor do Ministério da Integração e do Desenvolvimento Regional, no valor de R$ 250.000.000,00, para os fins que especifica.;;Autorização, Crédito extraordinário, Ministério da Integração e do Desenvolvimento Regional, Gerenciamento de risco, Desastre ambiental, Defesa civil, Departamento Nacional de Obras Contra as Secas (DNOCS), implantação, Infraestrutura hídrica, Segurança hídrica, Minas Gerais.;
2599890;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599890;MSC;18;2026;"Comunica a sanção do Projeto de Lei nº 935, de 2022, que “Institui o Dia Nacional de Luto e de Memória às Mulheres Vítimas de Feminicídio.”; e restitui para o arquivo do Congresso Nacional, o autógrafo do texto ora convertido na Lei nº 15.334, de 8 de janeiro de 2026.";;;
2599891;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599891;MSC;19;2026;"Comunica a sanção do Projeto de Lei nº 1.521, de 2023, que “Altera a Lei nº 6.615, de 16 de dezembro de 1978, para disciplinar a emissão da carteira profissional de Radialista.”; e restitui para o arquivo do Congresso Nacional, o autógrafo do texto ora convertido na Lei nº 15.335, de 8 de janeiro de 2026.";;;
2599892;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599892;MSC;20;2026;"Comunica a sanção do Projeto de Lei nº 5.881, de 2023, que “Altera a Lei nº 14.232, de 28 de outubro de 2021, para determinar a publicação periódica de relatórios do Registro Unificado de Dados e Informações sobre Violência contra as Mulheres.”; e restitui para o arquivo do Congresso Nacional, o autógrafo do texto ora convertido na Lei nº 15.336, de 8 de janeiro de 2026.";;;
2599893;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599893;MSC;11;2026;"Comunica a sanção do Projeto de Lei nº 1.456, de 2022, que “Institui o Dia Nacional do Sociólogo.”; e restitui para o arquivo do Congresso Nacional, o autógrafo do texto ora convertido na Lei nº 15.328, de 7 de janeiro de 2026.";;;
2599894;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599894;MSC;12;2026;"Comunica a sanção do Projeto de Lei nº 2.490, de 2022, que “Altera o Decreto-Lei nº 401, de 30 de dezembro de 1968, para dispor sobre a responsabilidade pela retenção e pelo recolhimento do Imposto sobre a Renda na fonte incidente sobre os juros remetidos para o exterior devidos em razão da compra de bens a prazo.”; e restitui para o arquivo do Congresso Nacional, o autógrafo do texto ora convertido na Lei nº 15.329, de 7 de janeiro de 2026.";;;
2599895;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599895;MSC;13;2026;"Comunica a sanção do Projeto de Lei nº 2.787, de 2011, que “Altera o art. 1º da Lei nº 11.675, de 19 de maio de 2008, para designar o açaí como fruta nacional.”; e restitui para o arquivo do Congresso Nacional, o autógrafo do texto ora convertido na Lei nº 15.330, de 7 de janeiro de 2026.";;;
2599896;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599896;MSC;14;2026;"Comunica a sanção do Projeto de Lei nº 3.650, de 2023, que “Institui o Mês Nacional das Olimpíadas Científicas e do Conhecimento, a ser celebrado, anualmente, no mês de julho.”; e restitui para o arquivo do Congresso Nacional, o autógrafo do texto ora convertido na Lei nº 15.331, de 7 de janeiro de 2026.";;;
