id_votacao;id_proposicao;uri_proposicao;titulo_proposicao;ementa_proposicao;sigla_tipo_proposicao;numero_proposicao;ano_proposicao
2555417-29;2592069;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2592069;PAR 25/2025 => MPV 1312/2025;Recebido PARECER (CN) Nº 25, DE 2025, da COMISSÃO MISTA DE PLANOS, ORÇAMENTOS PÚBLICOS E FISCALIZAÇÃO, sobre a Medida Provisória n° 1312, de 2025, que Abre crédito extraordinário, em favor do Ministério da Agricultura e Pecuária, no valor de R$ 83.500.000,00, para o fim que especifica.;PAR;25;2025
2555417-29;2600556;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600556;RDF 1 => MPV 1312/2025;Redação Final ao MPV 1312/2025;RDF;1;
2555417-31;2592069;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2592069;PAR 25/2025 => MPV 1312/2025;Recebido PARECER (CN) Nº 25, DE 2025, da COMISSÃO MISTA DE PLANOS, ORÇAMENTOS PÚBLICOS E FISCALIZAÇÃO, sobre a Medida Provisória n° 1312, de 2025, que Abre crédito extraordinário, em favor do Ministério da Agricultura e Pecuária, no valor de R$ 83.500.000,00, para o fim que especifica.;PAR;25;2025
2555417-31;2600556;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600556;RDF 1 => MPV 1312/2025;Redação Final ao MPV 1312/2025;RDF;1;
2555417-34;2592069;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2592069;PAR 25/2025 => MPV 1312/2025;Recebido PARECER (CN) Nº 25, DE 2025, da COMISSÃO MISTA DE PLANOS, ORÇAMENTOS PÚBLICOS E FISCALIZAÇÃO, sobre a Medida Provisória n° 1312, de 2025, que Abre crédito extraordinário, em favor do Ministério da Agricultura e Pecuária, no valor de R$ 83.500.000,00, para o fim que especifica.;PAR;25;2025
2555417-34;2600556;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600556;RDF 1 => MPV 1312/2025;Redação Final ao MPV 1312/2025;RDF;1;
2555417-35;2592069;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2592069;PAR 25/2025 => MPV 1312/2025;Recebido PARECER (CN) Nº 25, DE 2025, da COMISSÃO MISTA DE PLANOS, ORÇAMENTOS PÚBLICOS E FISCALIZAÇÃO, sobre a Medida Provisória n° 1312, de 2025, que Abre crédito extraordinário, em favor do Ministério da Agricultura e Pecuária, no valor de R$ 83.500.000,00, para o fim que especifica.;PAR;25;2025
2555417-35;2600556;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600556;RDF 1 => MPV 1312/2025;Redação Final ao MPV 1312/2025;RDF;1;
2557414-24;2600192;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600192;ERD 1 => MPV 1313/2025;"Altera a Lei nº 14.237, de 19 de novembro de 2021, para modificar a denominação do Auxílio Gás dos Brasileiros para Auxílio Gás do Povo, criar modalidades de operacionalização do auxílio e instituir o Programa de Acesso ao Cozimento Limpo; e altera as Leis nº 8.176, de 8 de fevereiro de 1991, nº 9.478, de 6 de agosto de 1997, nº 13.203, de 8 de dezembro de 2015, nº 14.601, de 19 de junho de 2023, e Lei nº 14.871, de 28 de maio de 2024.";ERD;1;
2557414-24;2600217;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600217;DTQ 1 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;1;
2557414-24;2600219;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600219;RPD 1 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;1;
2557414-24;2600230;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600230;RPD 2 => MPV 1313/2025;Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;2;
2557414-24;2600231;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600231;RPD 3 => MPV 1313/2025;Votação Nominal do Requerimento de Retirada de Pauta - MPV 1313/2025-Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;3;
2557414-24;2600232;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600232;RPD 4 => MPV 1313/2025;Requerimento de Votação Nominal - MPV 1313/2025;RPD;4;
2557414-24;2600243;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600243;DTQ 2 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;2;
2557414-24;2600244;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600244;RPD 5 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;5;
2557414-24;2600245;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600245;DTQ 3 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;3;
2557414-24;2600246;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600246;RPD 6 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;6;
2557414-24;2600252;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600252;DTQ 4 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;4;
2557414-24;2600253;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600253;RPD 7 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;7;
2557414-24;2600264;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600264;RPD 8 => MPV 1313/2025;Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025;RPD;8;
2557414-24;2600265;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600265;RPD 9 => MPV 1313/2025;Votação Nominal do Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025-Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025;RPD;9;
2557414-24;2600266;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600266;RPD 10 => MPV 1313/2025;Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025;RPD;10;
2557414-24;2600267;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600267;RPD 11 => MPV 1313/2025;Votação Nominal do Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025-Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025;RPD;11;
2557414-24;2600268;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600268;RPD 12 => MPV 1313/2025;Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;12;
2557414-24;2600269;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600269;RPD 13 => MPV 1313/2025;Votação Nominal do Requerimento de Retirada de Pauta - MPV 1313/2025-Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;13;
2557414-24;2600270;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600270;RPD 14 => MPV 1313/2025;Requerimento de Votação Nominal - MPV 1313/2025;RPD;14;
2557414-24;2600274;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600274;RPD 15 => MPV 1313/2025;Requerimento Procedimental Genérico - MPV 1313/2025;RPD;15;
2557414-24;2601418;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2601418;RDF 1 => MPV 1313/2025;Redação Final ao MPV 1313/2025;RDF;1;
2557414-29;2600192;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600192;ERD 1 => MPV 1313/2025;"Altera a Lei nº 14.237, de 19 de novembro de 2021, para modificar a denominação do Auxílio Gás dos Brasileiros para Auxílio Gás do Povo, criar modalidades de operacionalização do auxílio e instituir o Programa de Acesso ao Cozimento Limpo; e altera as Leis nº 8.176, de 8 de fevereiro de 1991, nº 9.478, de 6 de agosto de 1997, nº 13.203, de 8 de dezembro de 2015, nº 14.601, de 19 de junho de 2023, e Lei nº 14.871, de 28 de maio de 2024.";ERD;1;
2557414-29;2600217;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600217;DTQ 1 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;1;
2557414-29;2600219;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600219;RPD 1 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;1;
2557414-29;2600230;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600230;RPD 2 => MPV 1313/2025;Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;2;
2557414-29;2600231;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600231;RPD 3 => MPV 1313/2025;Votação Nominal do Requerimento de Retirada de Pauta - MPV 1313/2025-Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;3;
