id_votacao;sigla_bancada;orientacao;sigla_orgao;descricao
2447983-57;FDRPT-PCDOB-PV;Sim;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;FDRPSOL-REDE;Sim;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;OPOSICAO;Sim;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;PSB;;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;PDT;;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;NOVO;Sim;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;BLUNIPPPSD...;;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;MISSAO;;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;GOVERNO;Sim;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;MINORIA;Sim;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;PL;Sim;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;PRD;;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;AVANTE;;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;MAIORIA;Sim;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2447983-57;SOLIDARIED;;PLEN;"Aprovado o Projeto de Lei Complementar nº 262, de 2019. Sim: 442; Não: 2; Total: 444."
2422887-23;FDRPSOL-REDE;Sim;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;MISSAO;Nao;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;PSB;;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;PL;Nao;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;MINORIA;Nao;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;MAIORIA;Sim;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;PRD;;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;NOVO;Nao;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;SOLIDARIED;;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;GOVERNO;Sim;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;AVANTE;;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;FDRPT-PCDOB-PV;Sim;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;PDT;;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;BLUNIPPPSD...;Nao;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2422887-23;OPOSICAO;Nao;PLEN;"Rejeitado o Requerimento. Sim: 126; Não: 274; Abstenção: 2; Total: 402."
2565804-8;FDRPT-PCDOB-PV;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 284; Não: 127; Abstenção: 1; Total: 412."
2565804-8;PRD;;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 284; Não: 127; Abstenção: 1; Total: 412."
