ano_dados;id_votacao;id_deputado;voto;nome_deputado;sigla_partido;sigla_uf
2023;1197773-90;220714;Sim;Adail Filho;REPUBLICANOS;AM
2023;1197773-90;221328;Nao;Adilson Barroso;PL;SP
2023;1197773-90;204560;Sim;Adolfo Viana;PSDB;BA
2023;1197773-90;204528;Nao;Adriana Ventura;NOVO;SP
2023;1197773-90;121948;Sim;Adriano do Baldy;PP;GO
2023;1197773-90;74646;Sim;Aécio Neves;PSDB;MG
2023;1197773-90;178835;Sim;Afonso Motta;PDT;RS
2023;1197773-90;204495;Sim;Airton Faleiro;PT;PA
2023;1197773-90;204549;Sim;AJ Albuquerque;PP;CE
2023;1197773-90;73579;Sim;Alberto Fraga;PL;DF
2023;1197773-90;74696;Sim;Alberto Mourão;MDB;SP
2023;1197773-90;160559;Sim;Alceu Moreira;MDB;RS
2023;1197773-90;160545;Sim;Alexandre Leite;UNIAO;SP
2023;1197773-90;220554;Sim;Alexandre Lindenmeyer;PT;RS
2023;1197773-90;221148;Sim;Alfredinho;PT;SP
2023;1197773-90;220576;Sim;Alfredo Gaspar;UNIAO;AL
2023;1197773-90;178881;Sim;Aluisio Mendes;REPUBLICANOS;MA
2023;1197773-90;220596;Nao;Amália Barros;PL;MT
2023;1197773-90;220707;Sim;Amanda Gentil;PP;MA
2023;1197773-90;204356;Sim;Amaro Neto;REPUBLICANOS;ES
2023;1197773-90;107970;Sim;Ana Paula Leão;PP;MG
2023;1197773-90;220632;Sim;Ana Pimentel;PT;MG
2023;1197773-90;220657;Nao;André Fernandes;PL;CE
2023;1197773-90;204423;Sim;André Ferreira;PL;PE
2023;1197773-90;133439;Sim;André Figueiredo;PDT;CE
2023;1197773-90;178882;Sim;André Fufuca;PP;MA
2023;1197773-90;204515;Sim;André Janones;AVANTE;MG
2023;1197773-90;220544;Sim;Antonio Andrade;REPUBLICANOS;TO
2023;1197773-90;220638;Sim;Antonio Carlos Rodrigues;PL;SP
2023;1197773-90;73433;Sim;Arlindo Chinaglia;PT;SP
2023;1197773-90;141391;Sim;Arnaldo Jardim;CIDADANIA;SP
2023;1197773-90;160541;Artigo 17;Arthur Lira;PP;AL
2023;1197773-90;74090;Sim;Átila Lins;PSD;AM
