deputy_id;name;party;valid_votes;missing_votes;kept_after_filter;reason_if_removed
100689;Hildo do Candango;REPUBLICANOS;97;0;True;
103758;Luciano Azevedo;PSD;335;0;True;
104552;Socorro Neri;PP;803;0;True;
107283;Gleisi Hoffmann;PT;375;1;True;
107970;Ana Paula Leão;PP;847;0;True;
109429;Benes Leocádio;UNIAO;972;2;True;
115200;Raniery Paulino;REPUBLICANOS;60;1;True;
116379;Darci de Matos;PSD;225;0;True;
121948;Adriano do Baldy;PP;886;0;True;
122158;Pedro Paulo;PSD;523;0;True;
122195;Leonardo Gadelha;PODE;55;0;True;
122974;Pedro Lucas Fernandes;UNIAO;693;1;True;
123086;Átila Lira;PP;970;0;True;
123756;Antônia Lúcia;REPUBLICANOS;752;1;True;
128760;Paulo Marinho Jr;PL;132;4;True;
129618;Gorete Pereira;MDB;25;0;True;
133439;André Figueiredo;PDT;844;0;True;
133810;Marcelo Moraes;PL;739;61;True;
136811;Afonso Hamm;PP;754;0;True;
137070;Vicentinho Júnior;PSDB;713;0;True;
138286;Luciano Alves;PSD;639;0;True;
139285;Lídice da Mata;PSB;900;0;True;
141391;Arnaldo Jardim;CIDADANIA;679;1;True;
141398;Carlos Zarattini;PT;877;3;True;
141408;Cleber Verde;MDB;886;1;True;
141411;Dagoberto Nogueira;PP;903;4;True;
141421;Eduardo da Fonte;PP;799;1;True;
141431;Fernando Coelho Filho;UNIAO;730;8;True;
141450;Hugo Leal;PSD;662;0;True;
141456;Jilmar Tatto;PT;768;0;True;
141458;João Carlos Bacelar;PL;534;1;True;
141459;João Maia;PP;806;4;True;
141464;José Airton Félix Cirilo;PT;676;4;True;
141470;José Guimarães;PT;932;5;True;
141480;Lázaro Botelho;PP;674;1;True;
141485;Luiz Carlos Busato;UNIAO;872;0;True;
141487;Luiz Fernando Faria;PSD;785;1;True;
141488;Paulo Teixeira;PT;33;0;True;
141516;Paulo Abi-Ackel;PSDB;708;0;True;
141518;Paulinho da Força;SOLIDARIEDADE;348;0;True;
141531;Rodrigo de Castro;UNIAO;816;2;True;
141533;Rodrigo Rollemberg;PSB;264;0;True;
141555;Vinicius Carvalho;REPUBLICANOS;644;0;True;
143084;Tiago Dimas;PODE;254;0;True;
143632;Domingos Neto;PSD;533;1;True;
143942;Caio Vianna;PSD;548;0;True;
150418;Márcio Marinho;REPUBLICANOS;812;1;True;
152605;Glauber Braga;PSOL;712;49;True;
153423;Renilce Nicodemos;MDB;640;0;True;
154178;Milton Vieira;REPUBLICANOS;73;0;True;
156190;Marcel van Hattem;NOVO;921;104;True;
157130;Túlio Gadêlha;REDE;796;4;True;
160161;Marcelo Queiroz;PSDB;723;13;True;
160508;Afonso Florence;PT;49;0;True;
160510;Luis Tibé;AVANTE;418;0;True;
160512;Aureo Ribeiro;SOLIDARIEDADE;747;4;True;
160517;Paulo Folletto;PSB;687;12;True;
160518;Weliton Prado;SOLIDARIEDADE;721;24;True;
160527;Aguinaldo Ribeiro;PP;575;3;True;
160535;Marcon;PT;862;5;True;
160538;Bohn Gass;PT;910;4;True;
160541;Arthur Lira;PP;94;318;True;
160545;Alexandre Leite;UNIAO;395;2;True;
160548;Jonas Donizette;PSB;896;2;True;
160552;Danrlei de Deus Hinterholz;PSD;398;0;True;
160553;Antonio Brito;PSD;353;0;True;
160556;Padre João;PT;924;2;True;
160558;Paulo Freire Costa;PL;812;72;True;
160559;Alceu Moreira;MDB;849;0;True;
160561;Missionário José Olimpio;PL;271;0;True;
160569;Waldenor Pereira;PT;767;0;True;
160575;Erika Kokay;PT;1026;3;True;
160588;Diego Andrade;PSD;579;0;True;
160591;Vinicius Gurgel;PL;677;39;True;
160592;Zeca Dirceu;PT;809;8;True;
160598;Flávia Morais;PDT;729;1;True;
160599;Dimas Fabiano;PP;829;5;True;
160600;Arthur Oliveira Maia;UNIAO;616;4;True;
160601;Pr. Marco Feliciano;PL;900;49;True;
160604;Pedro Uczai;PT;844;5;True;
160610;Valmir Assunção;PT;803;4;True;
160621;Sandro Alex;PSD;50;0;True;
160629;Romero Rodrigues;PODE;908;18;True;
160632;Zé Silva;SOLIDARIEDADE;746;0;True;
160635;Ruy Carneiro;PODE;726;1;True;
160640;Eros Biondini;PL;825;69;True;
160641;Professora Marcivania;PCDOB;282;0;True;
160642;Pastor Eurico;PL;816;49;True;
160665;Augusto Coutinho;REPUBLICANOS;879;1;True;
160666;Félix Mendonça Júnior;PDT;896;4;True;
