statistic;value
n_deputies_total;636
n_rollcalls_total;1566
matrix_rows;636
matrix_cols;1566
n_deputies_retained;634
n_deputies_removed;2
n_rollcalls_retained;1325
n_rollcalls_removed;241
filtered_matrix_rows;634
filtered_matrix_cols;1325
valid_cells;455336
na_cells;540640
na_percentage;54.2824
matrix_sparsity;0.542824
avg_valid_votes_per_deputy;715.9371
median_valid_votes_per_deputy;831
min_valid_votes_per_deputy;16
max_valid_votes_per_deputy;1317
avg_deputies_per_rollcall;290.7637
median_deputies_per_rollcall;377
min_deputies_per_rollcall;1
max_deputies_per_rollcall;502
