vote_id;year;date;valid_votes;yes_votes;no_votes;yes_percentage;no_percentage;missing_votes;kept_after_filter;reason_if_removed
106701-223;2025;2025-11-05;428;427;1;0.9976635514018691;0.002336448598130841;1;False;nearly_unanimous (majority >= 97%)
106701-227;2025;2025-11-05;423;269;154;0.6359338061465721;0.3640661938534279;1;True;
1197773-140;2024;2024-12-04;427;23;404;0.053864168618266976;0.9461358313817331;2;True;
1197773-90;2023;2023-08-09;384;335;49;0.8723958333333334;0.12760416666666666;2;True;
1197773-99;2023;2023-08-09;381;117;264;0.30708661417322836;0.6929133858267716;2;True;
1212491-84;2024;2024-12-11;51;31;20;0.6078431372549019;0.39215686274509803;0;True;
1228863-61;2026;2026-05-19;49;10;39;0.20408163265306123;0.7959183673469388;0;True;
1228863-64;2026;2026-05-19;43;5;38;0.11627906976744186;0.8837209302325582;0;True;
1228863-73;2026;2026-05-27;49;7;42;0.14285714285714285;0.8571428571428571;0;True;
1243686-66;2025;2025-04-02;26;0;26;0.0;1.0;0;False;nearly_unanimous (majority >= 97%)
1301025-111;2023;2023-10-24;36;8;28;0.2222222222222222;0.7777777777777778;0;True;
1301141-69;2024;2024-04-16;41;3;38;0.07317073170731707;0.926829268292683;0;True;
1301241-77;2023;2023-11-07;41;15;26;0.36585365853658536;0.6341463414634146;0;True;
1302214-101;2025;2025-11-18;36;12;24;0.3333333333333333;0.6666666666666666;0;True;
1302214-120;2025;2025-12-17;58;15;43;0.25862068965517243;0.7413793103448276;0;True;
1302214-128;2025;2025-12-17;56;41;15;0.7321428571428571;0.26785714285714285;0;True;
1302214-131;2025;2025-12-17;58;44;14;0.7586206896551724;0.2413793103448276;0;True;
135198-114;2025;2025-09-03;14;13;1;0.9285714285714286;0.07142857142857142;0;False;low_participation (<20 valid votes)
146708-38;2025;2025-08-12;406;397;9;0.9778325123152709;0.022167487684729065;2;False;nearly_unanimous (majority >= 97%)
1548579-109;2023;2023-12-21;319;52;267;0.16300940438871472;0.8369905956112853;55;True;
1548579-114;2023;2023-12-21;337;56;281;0.1661721068249258;0.8338278931750742;49;True;
1548579-122;2023;2023-12-21;346;51;295;0.14739884393063585;0.8526011560693642;62;True;
1548579-126;2023;2023-12-21;402;299;103;0.7437810945273632;0.2562189054726368;8;True;
1548579-144;2023;2023-12-21;382;301;81;0.7879581151832461;0.21204188481675393;10;True;
1548579-186;2024;2024-11-19;368;36;332;0.09782608695652174;0.9021739130434783;1;True;
1548579-194;2024;2024-11-19;374;336;38;0.8983957219251337;0.10160427807486631;3;True;
1555327-87;2023;2023-12-05;35;2;33;0.05714285714285714;0.9428571428571428;1;True;
1555497-56;2023;2023-06-20;41;15;26;0.36585365853658536;0.6341463414634146;0;True;
1555497-62;2023;2023-08-01;42;21;21;0.5;0.5;0;True;
1570646-104;2023;2023-10-25;44;19;25;0.4318181818181818;0.5681818181818182;0;True;
1570646-109;2023;2023-10-25;45;21;24;0.4666666666666667;0.5333333333333333;0;True;
1594768-93;2024;2024-12-04;35;17;18;0.4857142857142857;0.5142857142857142;0;True;
1672171-148;2025;2025-10-02;315;19;296;0.06031746031746032;0.9396825396825397;1;True;
1672576-221;2024;2024-08-28;421;27;394;0.06413301662707839;0.9358669833729216;1;True;
1701755-60;2023;2023-12-05;415;395;20;0.9518072289156626;0.04819277108433735;2;True;
1713431-105;2023;2023-05-16;43;21;22;0.4883720930232558;0.5116279069767442;1;True;
1713431-120;2023;2023-05-30;44;18;26;0.4090909090909091;0.5909090909090909;0;True;
1713431-125;2023;2023-05-30;55;23;32;0.41818181818181815;0.5818181818181818;0;True;
1713431-127;2023;2023-05-30;53;36;17;0.6792452830188679;0.32075471698113206;0;True;
1738740-118;2023;2023-08-22;51;21;30;0.4117647058823529;0.5882352941176471;0;True;
1738740-144;2023;2023-10-25;44;19;25;0.4318181818181818;0.5681818181818182;0;True;
1738740-150;2023;2023-10-25;40;30;10;0.75;0.25;0;True;
2053121-98;2025;2025-10-08;17;15;2;0.8823529411764706;0.11764705882352941;0;False;low_participation (<20 valid votes)
2076754-115;2023;2023-12-18;12;2;10;0.16666666666666666;0.8333333333333334;0;False;low_participation (<20 valid votes)
2076754-124;2023;2023-12-21;12;9;3;0.75;0.25;0;False;low_participation (<20 valid votes)
2076875-108;2024;2024-05-22;15;11;4;0.7333333333333333;0.26666666666666666;0;False;low_participation (<20 valid votes)
2079477-63;2024;2024-04-17;37;0;37;0.0;1.0;0;False;nearly_unanimous (majority >= 97%)
2079477-74;2024;2024-05-15;44;16;28;0.36363636363636365;0.6363636363636364;0;True;
2079477-80;2024;2024-05-15;47;34;13;0.723404255319149;0.2765957446808511;0;True;
2079700-179;2024;2024-08-27;50;16;34;0.32;0.68;0;True;
2079700-191;2024;2024-10-09;44;9;35;0.20454545454545456;0.7954545454545454;0;True;
2079700-200;2024;2024-10-09;46;13;33;0.2826086956521739;0.717391304347826;0;True;
2079700-204;2024;2024-10-09;48;36;12;0.75;0.25;0;True;
2115253-104;2023;2023-05-17;397;184;213;0.4634760705289673;0.5365239294710328;1;True;
2115253-111;2023;2023-05-17;419;187;232;0.44630071599045346;0.5536992840095465;1;True;
2115253-116;2023;2023-05-17;394;173;221;0.43908629441624364;0.5609137055837563;1;True;
2115253-118;2023;2023-05-17;397;217;180;0.5465994962216625;0.4534005037783375;1;True;
