"party","mean_dim1","n_deputies","bolognesi_score"
"PT",-0.8867135996881285,76,2.679
"PCDOB",-0.8658697280016813,11,1.778
"PV",-0.7925951182842255,6,4.123
"PSOL",-0.7409577171007792,15,1.415
"REDE",-0.7211084280695234,7,3.692
"PSB",-0.6693384030035564,14,3.589
"PDT",-0.5891383745168385,19,3.855
"AVANTE",-0.3751637088134885,8,6.473
"SOLIDARIEDADE",-0.327392571605742,8,6.007
"PSD",-0.3245973949822096,65,6.937
"MDB",-0.2558689984274382,49,6.499
"REPUBLICANOS",-0.2538443190692845,59,8.333
"PODE",-0.2502468305415121,29,7.437
"PSDB",-0.23730985657311976,16,6.759
"UNIAO",-0.16995320436094077,62,8.485
"PP",-0.15639370815858009,63,8.153
"PRD",-0.06845144803325336,6,8.161
"CIDADANIA",-0.06569411456584931,5,6.17
"PL",0.4157455363226208,110,8.796
"MISSAO",0.47554847598075867,1,7.75
"NOVO",0.814928412437439,5,8.666
