sigla_original;sigla_normalizada;classe_regra;aplicar_automaticamente;preservar_score_historico;partido_sucessor;entra_join_ideologia;acao_recomendada;observacao
PODEMOS;PODE;alias_textual;sim;nao;;sim;normalizar_automaticamente;Forma extensa da sigla PODE usada pela API da Camara. Correspondencia inequivoca. 1 orientacao + 15 proposicoes.
REP;REPUBLICANOS;sigla_truncada;sim;nao;;sim;normalizar_automaticamente;Abreviacao de Republicanos na API da Camara. 1 proposicao.
REPUB;REPUBLICANOS;sigla_truncada;sim;nao;;sim;normalizar_automaticamente;Abreviacao de Republicanos na API da Camara. 1 proposicao.
REPUBLICA;REPUBLICANOS;sigla_truncada;sim;nao;;sim;normalizar_automaticamente;Abreviacao de Republicanos na API da Camara. 1 proposicao.
REPUBLICAN;REPUBLICANOS;sigla_truncada;sim;nao;;sim;normalizar_automaticamente;Forma truncada de Republicanos em votacoes_orientacoes. 1 orientacao.
SOLIDARIED;SOLIDARIEDADE;sigla_truncada;sim;nao;;sim;normalizar_automaticamente;Forma truncada de Solidariedade em votacoes_orientacoes. 121 orientacoes.
DEM;UNIAO;fusao_partidaria;nao;nao;UNIAO;nao;normalizar_com_rastreio;DEM fundiu-se ao PSL para formar Uniao Brasil em 2022. Sem score proprio na v2. 2 proposicoes. Normalizacao para UNIAO e segura pois nao ha score historico a preservar, mas deve ser registrada como fusao, nao como alias.
PSL;UNIAO;fusao_partidaria;nao;nao;UNIAO;nao;normalizar_com_rastreio;PSL fundiu-se ao DEM para formar Uniao Brasil em 2022. Sem score proprio na v2. 11 proposicoes. Normalizacao para UNIAO e segura pois nao ha score historico a preservar, mas deve ser registrada como fusao, nao como alias.
PATRIOTA;PRD;incorporacao_partidaria;nao;sim;PRD;sim;manter_sigla_historica_com_score_proprio;Patriota incorporado ao PRD em 2023. Score Bolognesi proprio: 8.601 (Extrema direita). 2422 registros nos dados (992 votos, 15 orientacoes, 1415 autores). Mapear automaticamente para PRD distorceria a classificacao ideologica dos registros historicos (score PRD=8.161 vs PATRIOTA=8.601).
PROS;SOLIDARIEDADE;incorporacao_partidaria;nao;sim;SOLIDARIEDADE;sim;manter_sigla_historica_com_score_proprio;PROS incorporado ao Solidariedade em 2023. Score Bolognesi proprio: 7.445 (Direita). 240 registros nos dados (9 votos, 231 autores). Mapear para SOLIDARIEDADE distorceria a classificacao (score SOLIDARIEDADE=6.007 vs PROS=7.445, diferenca de 1.4 pontos e mudanca de faixa).
PSC;PODE;incorporacao_partidaria;nao;sim;PODE;sim;manter_sigla_historica_com_score_proprio;PSC incorporado ao Podemos em 2023. Score Bolognesi proprio: 8.410 (Direita). 817 registros nos dados (249 votos, 568 autores). Mapear para PODE distorceria a classificacao (score PODE=7.437 vs PSC=8.410, diferenca de ~1 ponto).
PTB;PRD;incorporacao_partidaria;nao;sim;PRD;sim;manter_sigla_historica_com_score_proprio;PTB incorporado ao PRD em 2022. Score Bolognesi proprio: 7.720 (Direita). 1 registro nos dados (1 proposicao). Baixo impacto quantitativo, mas score proprio existe e deve ser preservado para consistencia metodologica.
S.PART.;S.PART.;codigo_especial;nao;nao;;nao;tratar_como_sem_partido;Codigo interno de ausencia de filiacao partidaria. 345 registros (183 gastos, 77 votos, 85 proposicoes). Nao e partido. Nao recebe score ideologico. Deve ser excluido ou tratado como NULL em joins ideologicos.
ARENA;;historico_fora_do_escopo;nao;nao;;nao;excluir_do_universo_analitico;Alianca Renovadora Nacional, extinta em 1979. Zero registros nos dados da 57a Legislatura. Fora do escopo temporal. Nao classificar. Nao normalizar.
