sigla_original;nome_original;status_catalogo;classe_operacional;partido_atual_normalizado;aparece_deputados;aparece_gastos;aparece_votos;aparece_orientacoes;aparece_autores;aparece_q9_q10_q11;entra_universo_analitico;precisa_classificacao_ideologica;acao_recomendada;observacao
AVANTE;Avante;ativo;partido_analitico_atual;AVANTE;NAO;SIM;SIM;SIM;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 (score 6.473)
CIDADANIA;Cidadania;ativo;partido_analitico_atual;CIDADANIA;NAO;SIM;SIM;NAO;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 via equivalencia PPS/cdd (score 6.170)
MDB;Movimento Democratico Brasileiro;ativo;partido_analitico_atual;MDB;NAO;SIM;SIM;SIM;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 (score 6.499)
MISSAO;Missao;ativo;partido_analitico_atual;MISSAO;NAO;SIM;SIM;SIM;SIM;SIM;SIM;SIM - pendente regra complementar;Classificar com regra complementar;Ausente em Bolognesi 2022 (partido fundado em 2024). Presente nos dados com 582 gastos, 67 votos, 123 proposicoes. Deputado Kim Kataguiri.
NOVO;Novo;ativo;partido_analitico_atual;NOVO;NAO;SIM;SIM;SIM;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 (score 8.666)
PCDOB;Partido Comunista do Brasil;ativo;partido_analitico_atual;PCDOB;NAO;SIM;SIM;NAO;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 (score 1.778). Orientacao via federacao FDRPT-PCDOB-PV.
PDT;Partido Democratico Trabalhista;ativo;partido_analitico_atual;PDT;NAO;SIM;SIM;SIM;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 (score 3.855)
PL;Partido Liberal;ativo;partido_analitico_atual;PL;NAO;SIM;SIM;SIM;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 via equivalencia PR/pl (score 8.796)
PODE;Podemos;ativo;partido_analitico_atual;PODE;NAO;SIM;SIM;SIM;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 via equivalencia podemos (score 7.437)
PP;Progressistas;ativo;partido_analitico_atual;PP;NAO;SIM;SIM;SIM;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 via equivalencia progressistas/progre (score 8.153)
