Q10 - alinhamento interno dos partidos
Resumo executivo
 ano_dados | partidos | media_alinhamento | menor_alinhamento | maior_alinhamento 
-----------+----------+-------------------+-------------------+-------------------
      2023 |       23 |            0.9217 |            0.7911 |            1.0000
      2024 |       20 |            0.9374 |            0.8160 |            1.0000
      2025 |       20 |            0.9109 |            0.7903 |            1.0000
      2026 |       21 |            0.9124 |            0.7667 |            1.0000


Tabela principal - partidos por alinhamento interno
 ano_dados | sigla_partido | votos_alinhados | votos_total | alinhamento_interno 
-----------+---------------+-----------------+-------------+---------------------
      2023 | REDE          |             251 |         251 |              1.0000
      2023 | S.PART.       |              75 |          75 |              1.0000
      2023 | PROS          |               9 |           9 |              1.0000
      2023 | NOVO          |             826 |         832 |              0.9928
      2023 | PCDOB         |            1797 |        1818 |              0.9884
      2023 | PSOL          |            3280 |        3323 |              0.9871
      2023 | PT            |           17759 |       18076 |              0.9825
      2023 | PV            |            1399 |        1444 |              0.9688
      2023 | PDT           |            4456 |        4668 |              0.9546
      2023 | PSB           |            3717 |        3950 |              0.9410
      2023 | PSC           |             229 |         249 |              0.9197
      2023 | PSD           |            9269 |       10139 |              0.9142
      2023 | REPUBLICANOS  |            9702 |       10622 |              0.9134
      2023 | AVANTE        |            1534 |        1691 |              0.9072
      2023 | SOLIDARIEDADE |            1013 |        1120 |              0.9045
      2023 | PP            |           10535 |       11930 |              0.8831
      2023 | MDB           |            8748 |        9932 |              0.8808
      2023 | PL            |           18892 |       21523 |              0.8778
      2023 | PODE          |            3233 |        3686 |              0.8771
      2023 | PSDB          |            2833 |        3352 |              0.8452
      2023 | CIDADANIA     |             702 |         835 |              0.8407
      2023 | UNIAO         |           11868 |       14305 |              0.8296
      2023 | PATRIOTA      |             784 |         991 |              0.7911
      2024 | REDE          |              28 |          28 |              1.0000
      2024 | PSOL          |             530 |         532 |              0.9962
      2024 | PCDOB         |             307 |         309 |              0.9935
      2024 | NOVO          |             137 |         138 |              0.9928
      2024 | PT            |            2514 |        2549 |              0.9863
      2024 | PV            |             187 |         193 |              0.9689
      2024 | PSB           |             504 |         526 |              0.9582
      2024 | PDT           |             605 |         635 |              0.9528
      2024 | REPUBLICANOS  |            1588 |        1668 |              0.9520
      2024 | PSDB          |             406 |         428 |              0.9486
      2024 | PODE          |             516 |         558 |              0.9247
      2024 | PL            |            3165 |        3433 |              0.9219
      2024 | PSD           |            1312 |        1424 |              0.9213
      2024 | SOLIDARIEDADE |             138 |         150 |              0.9200
      2024 | PP            |            1599 |        1746 |              0.9158
      2024 | CIDADANIA     |             126 |         138 |              0.9130
      2024 | UNIAO         |            1971 |        2208 |              0.8927
      2024 | AVANTE        |             214 |         240 |              0.8917
      2024 | MDB           |            1263 |        1434 |              0.8808
      2024 | PRD           |             133 |         163 |              0.8160
      2025 | NOVO          |             163 |         163 |              1.0000
      2025 | PV            |             144 |         145 |              0.9931
      2025 | PT            |            2327 |        2346 |              0.9919
      2025 | PSOL          |             455 |         460 |              0.9891
      2025 | REDE          |              44 |          45 |              0.9778
      2025 | PCDOB         |             307 |         314 |              0.9777
      2025 | PDT           |             547 |         566 |              0.9664
      2025 | SOLIDARIEDADE |             135 |         143 |              0.9441
      2025 | PSB           |             481 |         516 |              0.9322
      2025 | REPUBLICANOS  |            1330 |        1462 |              0.9097
      2025 | AVANTE        |             223 |         246 |              0.9065
      2025 | PODE          |             460 |         508 |              0.9055
      2025 | PL            |            2467 |        2781 |              0.8871
      2025 | PSDB          |             365 |         422 |              0.8649
      2025 | MDB           |            1050 |        1218 |              0.8621
      2025 | PSD           |            1156 |        1350 |              0.8563
      2025 | PP            |            1277 |        1503 |              0.8496
      2025 | PRD           |             114 |         140 |              0.8143
      2025 | CIDADANIA     |              88 |         110 |              0.8000
      2025 | UNIAO         |            1489 |        1884 |              0.7903
      2026 | MISSAO        |              49 |          49 |              1.0000
      2026 | NOVO          |             376 |         378 |              0.9947
      2026 | PSOL          |             831 |         836 |              0.9940
      2026 | PT            |            4916 |        4946 |              0.9939
      2026 | PV            |             324 |         326 |              0.9939
      2026 | PCDOB         |             738 |         747 |              0.9880
      2026 | PDT           |            1056 |        1074 |              0.9832
      2026 | REDE          |             294 |         303 |              0.9703
      2026 | PSB           |            1102 |        1161 |              0.9492
      2026 | SOLIDARIEDADE |             328 |         350 |              0.9371
      2026 | REPUBLICANOS  |            2750 |        3045 |              0.9031
      2026 | PODE          |            1090 |        1218 |              0.8949
      2026 | PL            |            5639 |        6314 |              0.8931
      2026 | PSDB          |             945 |        1074 |              0.8799
      2026 | PSD           |            2651 |        3038 |              0.8726
      2026 | AVANTE        |             470 |         542 |              0.8672
      2026 | MDB           |            2006 |        2377 |              0.8439
      2026 | PP            |            2571 |        3094 |              0.8310
      2026 | PRD           |             231 |         283 |              0.8163
      2026 | UNIAO         |            2792 |        3542 |              0.7883
      2026 | CIDADANIA     |             161 |         210 |              0.7667

