SET
    partido    |      alinhamento       
---------------+------------------------
 MISSÃO        | 1.00000000000000000000
 NOVO          | 0.99470899470899470899
 PSOL          | 0.99401913875598086124
 PT            | 0.99393449251920744036
 PV            | 0.99386503067484662577
 PCDOB         | 0.98795180722891566265
 PDT           | 0.98324022346368715084
 REDE          | 0.97029702970297029703
 PSB           | 0.94918173987941429802
 SOLIDARIEDADE | 0.93714285714285714286
 REPUBLICANOS  | 0.90311986863711001642
 PODE          | 0.89490968801313628900
 PL            | 0.89309471016788089959
 PSDB          | 0.87988826815642458101
 PSD           | 0.87261356155365371955
 AVANTE        | 0.86715867158671586716
 MDB           | 0.84392090870845603702
 PP            | 0.83096315449256625727
 PRD           | 0.81625441696113074205
 UNIÃO         | 0.78825522303783173348
 CIDADANIA     | 0.76666666666666666667
(21 rows)

