Q11 complemento - nuvem de palavras completa por partido
 ano_dados | sigla_partido |                      token                       | frequencia 
-----------+---------------+--------------------------------------------------+------------
      2023 | ARENA         | braga                                            |          1
      2023 | ARENA         | deste                                            |          1
      2023 | ARENA         | relator                                          |          1
      2023 | ARENA         | dep                                              |          1
      2023 | ARENA         | pela                                             |          1
      2023 | ARENA         | luiz                                             |          1
      2023 | ARENA         | aprovação                                        |          1
      2023 | ARENA         | parecer                                          |          1
      2023 | AVANTE        | requer                                           |        848
      2023 | AVANTE        | parlamentar                                      |        784
      2023 | AVANTE        | frente                                           |        749
      2023 | AVANTE        | registro                                         |        473
      2023 | AVANTE        | mista                                            |        368
      2023 | AVANTE        | defesa                                           |        297
      2023 | AVANTE        | criação                                          |        196
      2023 | AVANTE        | câmara                                           |        185
      2023 | AVANTE        | deputados                                        |        184
      2023 | AVANTE        | lei                                              |        142
      2023 | AVANTE        | federal                                          |        141
      2023 | AVANTE        | termos                                           |        125
      2023 | AVANTE        | realização                                       |        123
      2023 | AVANTE        | sessão                                           |        115
      2023 | AVANTE        | solene                                           |        111
      2023 | AVANTE        | mesa                                             |        108
      2023 | AVANTE        | pela                                             |        107
      2023 | AVANTE        | constituição                                     |         99
      2023 | AVANTE        | nacional                                         |         95
      2023 | AVANTE        | dia                                              |         90
      2023 | AVANTE        | pública                                          |         89
      2023 | AVANTE        | art                                              |         82
      2023 | AVANTE        | social                                           |         71
      2023 | AVANTE        | brasil                                           |         69
      2023 | AVANTE        | saúde                                            |         68
      2023 | AVANTE        | homenagem                                        |         67
      2023 | AVANTE        | ato                                              |         67
      2023 | AVANTE        | apoio                                            |         65
      2023 | AVANTE        | altera                                           |         63
      2023 | AVANTE        | instalação                                       |         61
      2023 | AVANTE        | comissão                                         |         54
      2023 | AVANTE        | perante                                          |         53
      2023 | AVANTE        | âmbito                                           |         51
      2023 | AVANTE        | segurança                                        |         49
      2023 | AVANTE        | legislatura                                      |         47
      2023 | AVANTE        | requerimento                                     |         46
      2023 | AVANTE        | 57ª                                              |         45
      2023 | AVANTE        | alteração                                        |         45
      2023 | AVANTE        | projeto                                          |         45
      2023 | AVANTE        | urgência                                         |         45
      2023 | AVANTE        | institucional                                    |         44
      2023 | AVANTE        | dep                                              |         43
      2023 | AVANTE        | sistema                                          |         43
      2023 | AVANTE        | 1988                                             |         43
      2023 | AVANTE        | regimentais                                      |         42
      2023 | AVANTE        | parecer                                          |         42
      2023 | AVANTE        | apreciação                                       |         41
      2023 | AVANTE        | desenvolvimento                                  |         40
      2023 | AVANTE        | direitos                                         |         40
      2023 | AVANTE        | 2023                                             |         39
      2023 | AVANTE        | contribuição                                     |         38
      2023 | AVANTE        | inquérito                                        |         38
      2023 | AVANTE        | contra                                           |         38
      2023 | AVANTE        | recursos                                         |         38
      2023 | AVANTE        | anos                                             |         37
      2023 | AVANTE        | estado                                           |         37
      2023 | AVANTE        | combate                                          |         36
      2023 | AVANTE        | civil                                            |         34
      2023 | AVANTE        | regimento                                        |         34
      2023 | AVANTE        | violência                                        |         34
      2023 | AVANTE        | interno                                          |         34
      2023 | AVANTE        | mulher                                           |         33
      2023 | AVANTE        | aprovação                                        |         33
      2023 | AVANTE        | regime                                           |         33
      2023 | AVANTE        | serviços                                         |         32
      2023 | AVANTE        | 10112005                                         |         32
      2023 | AVANTE        | prevenção                                        |         31
      2023 | AVANTE        | artigo                                           |         31
      2023 | AVANTE        | polícia                                          |         30
      2023 | AVANTE        | plenário                                         |         29
      2023 | AVANTE        | penal                                            |         29
      2023 | AVANTE        | tributária                                       |         28
      2023 | AVANTE        | reinstalação                                     |         28
      2023 | AVANTE        | público                                          |         28
      2023 | AVANTE        | brasileira                                       |         27
      2023 | AVANTE        | institui                                         |         27
      2023 | AVANTE        | pelo                                             |         26
      2023 | AVANTE        | requeiro                                         |         26
      2023 | AVANTE        | energia                                          |         26
      2023 | AVANTE        | avantemg                                         |         25
      2023 | AVANTE        | pessoa                                           |         25
      2023 | AVANTE        | inclusão                                         |         25
      2023 | AVANTE        | instituição                                      |         25
      2023 | AVANTE        | único                                            |         24
      2023 | AVANTE        | diretrizes                                       |         24
      2023 | AVANTE        | públicos                                         |         24
      2023 | AVANTE        | como                                             |         24
      2023 | AVANTE        | relator                                          |         23
      2023 | AVANTE        | crianças                                         |         23
      2023 | AVANTE        | dispor                                           |         23
      2023 | AVANTE        | união                                            |         23
      2023 | AVANTE        | aniversário                                      |         22
      2023 | AVANTE        | audiência                                        |         22
      2023 | AVANTE        | substitutivo                                     |         22
      2023 | AVANTE        | sexual                                           |         22
      2023 | AVANTE        | agentes                                          |         22
      2023 | AVANTE        | finalidade                                       |         21
      2023 | AVANTE        | administração                                    |         21
      2023 | AVANTE        | crime                                            |         21
      2023 | AVANTE        | nova                                             |         21
      2023 | AVANTE        | imunidade                                        |         21
      2023 | AVANTE        | dezembro                                         |         21
      2023 | AVANTE        | janeiro                                          |         21
      2023 | AVANTE        | enfrentamento                                    |         21
      2023 | AVANTE        | emenda                                           |         21
      2023 | AVANTE        | previdência                                      |         21
      2023 | AVANTE        | transporte                                       |         21
      2023 | AVANTE        | vossa                                            |         20
      2023 | AVANTE        | participação                                     |         20
      2023 | AVANTE        | brasileiro                                       |         20
      2023 | AVANTE        | código                                           |         20
      2023 | AVANTE        | pauta                                            |         20
      2023 | AVANTE        | educação                                         |         20
      2023 | AVANTE        | excelência                                       |         20
      2023 | AVANTE        | prol                                             |         20
      2023 | AVANTE        | investigação                                     |         20
      2023 | AVANTE        | exploração                                       |         20
      2023 | AVANTE        | acrescenta                                       |         19
      2023 | AVANTE        | gestão                                           |         19
      2023 | AVANTE        | delegada                                         |         19
      2023 | AVANTE        | inciso                                           |         19
      2023 | AVANTE        | investigar                                       |         19
      2023 | AVANTE        | adolescentes                                     |         19
      2023 | AVANTE        | promoção                                         |         19
      2023 | AVANTE        | obrigatoriedade                                  |         19
      2023 | AVANTE        | municípios                                       |         18
      2023 | AVANTE        | justiça                                          |         18
      2023 | AVANTE        | cpi                                              |         18
      2023 | AVANTE        | indústria                                        |         17
      2023 | AVANTE        | pessoas                                          |         17
      2023 | AVANTE        | estatuto                                         |         17
      2023 | AVANTE        | luta                                             |         17
      2023 | AVANTE        | relatora                                         |         17
      2023 | AVANTE        | 2005                                             |         17
      2023 | AVANTE        | ione                                             |         17
      2023 | AVANTE        | comemoração                                      |         17
      2023 | AVANTE        | partidos                                         |         17
      2023 | AVANTE        | criança                                          |         17
      2023 | AVANTE        | outras                                           |         16
      2023 | AVANTE        | fortalecimento                                   |         16
      2023 | AVANTE        | novembro                                         |         16
      2023 | AVANTE        | rio                                              |         16
      2023 | AVANTE        | profissionais                                    |         16
      2023 | AVANTE        | elétrica                                         |         16
      2023 | AVANTE        | providências                                     |         15
      2023 | AVANTE        | congresso                                        |         15
      2023 | AVANTE        | legislativa                                      |         15
      2023 | AVANTE        | deficiência                                      |         15
      2023 | AVANTE        | comunitários                                     |         15
      2023 | AVANTE        | doenças                                          |         15
      2023 | AVANTE        | adolescente                                      |         15
      2023 | AVANTE        | cultural                                         |         15
      2023 | AVANTE        | proteção                                         |         15
      2023 | AVANTE        | inovação                                         |         15
      2023 | AVANTE        | mulheres                                         |         15
