 sigla_partido | votos_registrados | deputados_votantes | votacoes 
---------------+-------------------+--------------------+----------
 PL            |              6346 |                111 |      100
 PT            |              4949 |                 71 |      100
 UNIAO         |              3550 |                 84 |      100
 PP            |              3098 |                 62 |       99
 REPUBLICANOS  |              3083 |                 68 |      100
 PSD           |              3051 |                 65 |       98
 MDB           |              2388 |                 53 |       97
 PODE          |              1223 |                 32 |       94
 PSB           |              1163 |                 22 |      100
 PDT           |              1081 |                 19 |       91
 PSDB          |              1080 |                 25 |       91
 PSOL          |               838 |                 14 |       96
 PCDOB         |               747 |                 11 |       98
 AVANTE        |               545 |                 10 |       95
 NOVO          |               388 |                  5 |       86
 SOLIDARIEDADE |               353 |                  9 |       93
 PV            |               326 |                  6 |       94
 REDE          |               306 |                  8 |       93
 PRD           |               289 |                  8 |       90
 CIDADANIA     |               210 |                  4 |       81
 MISSAO        |                50 |                  1 |       50
(21 rows)

 sigla_partido | qtd_proposicoes 
---------------+-----------------
 PL            |            6469
 PT            |            3056
 PSD           |            2114
 PODE          |            2097
 REPUBLICANOS  |            1982
 UNIAO         |            1409
 PP            |            1292
 MDB           |             774
 PSOL          |             749
 NOVO          |             723
 PDT           |             663
 PSB           |             615
 PSDB          |             609
 PCDOB         |             314
 SOLIDARIEDADE |             230
 PRD           |             229
 CIDADANIA     |             203
 AVANTE        |             199
 REDE          |             185
 PV            |             128
 MISSAO        |              98
(21 rows)

 sigla_partido | gasto_total 
---------------+-------------
 PL            | 12659054.05
 PT            |  9624015.22
 UNIAO         |  7416424.41
 PP            |  6679734.11
 PSD           |  6360643.92
 REPUBLICANOS  |  6014140.10
 MDB           |  4866793.43
 PODE          |  4226933.28
 PSB           |  2226076.81
 PSDB          |  2070063.27
 PDT           |  1537516.30
 PSOL          |  1436847.31
 PCDOB         |  1313315.48
 PV            |   855673.45
 SOLIDARIEDADE |   685154.03
 REDE          |   622298.78
 AVANTE        |   462504.25
 NOVO          |   449730.43
 PRD           |   319177.61
 CIDADANIA     |   169470.51
 MISSAO        |    13179.92
(21 rows)

 sigla_partido |             token             | frequencia 
---------------+-------------------------------+------------
 AVANTE        | pela                          |         85
 AVANTE        | lei                           |         83
 AVANTE        | requer                        |         69
 AVANTE        | comissão                      |         62
 AVANTE        | aprovação                     |         39
 AVANTE        | altera                        |         36
 AVANTE        | parecer                       |         35
 AVANTE        | dep                           |         33
 AVANTE        | constituição                  |         33
 AVANTE        | projeto                       |         31
 AVANTE        | penal                         |         31
 AVANTE        | federal                       |         31
 AVANTE        | pública                       |         30
 AVANTE        | nacional                      |         30
 AVANTE        | saúde                         |         28
 AVANTE        | parlamentar                   |         27
 AVANTE        | criação                       |         27
 AVANTE        | substitutivo                  |         26
 AVANTE        | outras                        |         25
 AVANTE        | providências                  |         25
 AVANTE        | crime                         |         25
 AVANTE        | social                        |         24
 AVANTE        | código                        |         23
 AVANTE        | deficiência                   |         23
 AVANTE        | plenário                      |         22
 AVANTE        | contra                        |         22
 AVANTE        | realização                    |         22
 AVANTE        | relatora                      |         22
 AVANTE        | justiça                       |         21
 AVANTE        | defesa                        |         21
 AVANTE        | relator                       |         20
 AVANTE        | mulher                        |         20
 AVANTE        | assistência                   |         20
 AVANTE        | art                           |         20
 AVANTE        | inclusão                      |         20
 AVANTE        | câmara                        |         19
 AVANTE        | diretrizes                    |         19
 AVANTE        | direitos                      |         18
 AVANTE        | conclui                       |         18
 AVANTE        | alteração                     |         17
 AVANTE        | violência                     |         17
 AVANTE        | pessoa                        |         17
 AVANTE        | sistema                       |         17
 AVANTE        | proteção                      |         17
 AVANTE        | cidadania                     |         16
 AVANTE        | banco                         |         16
 AVANTE        | deputados                     |         16
 AVANTE        | frente                        |         15
 AVANTE        | segurança                     |         15
 AVANTE        | dia                           |         14
 AVANTE        | requerimento                  |         14
 AVANTE        | moção                         |         14
 AVANTE        | decretolei                    |         14
 AVANTE        | legislativa                   |         14
 AVANTE        | educação                      |         13
 AVANTE        | atendimento                   |         13
 AVANTE        | tributação                    |         12
 AVANTE        | 2025                          |         12
 AVANTE        | digital                       |         12
 AVANTE        | adolescente                   |         12
 AVANTE        | apoio                         |         12
 AVANTE        | avantemg                      |         12
 AVANTE        | inquérito                     |         12
 AVANTE        | avanteba                      |         11
 AVANTE        | sexo                          |         11
 AVANTE        | obrigatoriedade               |         11
 AVANTE        | como                          |         11
 AVANTE        | adotado                       |         11
 AVANTE        | forma                         |         11
 AVANTE        | matéria                       |         11
 AVANTE        | técnica                       |         11
 AVANTE        | criança                       |         11
 AVANTE        | institui                      |         11
 AVANTE        | ensino                        |         10
 AVANTE        | constitucionalidade           |         10
 AVANTE        | interno                       |         10
 AVANTE        | ione                          |         10
 AVANTE        | serviços                      |         10
 AVANTE        | delegada                      |         10
 AVANTE        | combate                       |         10
 AVANTE        | união                         |         10
 AVANTE        | âmbito                        |         10
 AVANTE        | ordem                         |         10
 AVANTE        | único                         |         10
 AVANTE        | regimento                     |         10
 AVANTE        | imposto                       |         10
 AVANTE        | audiência                     |          9
 AVANTE        | distrito                      |          9
 AVANTE        | sargento                      |          9
 AVANTE        | vítimas                       |          9
 AVANTE        | sus                           |          9
 AVANTE        | apreciação                    |          9
 AVANTE        | pastor                        |          9
 AVANTE        | juridicidade                  |          9
 AVANTE        | isidório                      |          9
 AVANTE        | termos                        |          9
 AVANTE        | despesas                      |          9
 AVANTE        | prevenção                     |          9
 AVANTE        | processo                      |          9
 AVANTE        | pelo                          |          9
 AVANTE        | 2026                          |          9
 AVANTE        | master                        |          8
 AVANTE        | dispor                        |          8
 AVANTE        | acessibilidade                |          8
 AVANTE        | rejeição                      |          8
 AVANTE        | brb                           |          8
 AVANTE        | brasília                      |          8
 AVANTE        | crueldade                     |          8
 AVANTE        | mérito                        |          8
 AVANTE        | debater                       |          8
 AVANTE        | institucional                 |          8
 AVANTE        | complementar                  |          8
 AVANTE        | ministério                    |          8
 AVANTE        | idade                         |          8
 AVANTE        | emendas                       |          8
 AVANTE        | emenda                        |          8
 AVANTE        | previdência                   |          8
 AVANTE        | imediata                      |          8
 AVANTE        | finanças                      |          8
 AVANTE        | mulheres                      |          8
 AVANTE        | redução                       |          8
 AVANTE        | trabalho                      |          8
 AVANTE        | pessoas                       |          8
 AVANTE        | aplauso                       |          8
 AVANTE        | civil                         |          7
 AVANTE        | sexual                        |          7
 AVANTE        | mutualismo                    |          7
 AVANTE        | estado                        |          7
 AVANTE        | pauta                         |          7
 AVANTE        | profissional                  |          7
 AVANTE        | tribunal                      |          7
 AVANTE        | família                       |          7
 AVANTE        | instituição                   |          7
 AVANTE        | transporte                    |          7
 AVANTE        | julho                         |          7
 AVANTE        | feminino                      |          7
 AVANTE        | redação                       |          7
 AVANTE        | sessão                        |          7
 AVANTE        | critério                      |          7
 AVANTE        | estabelece                    |          7
 AVANTE        | desenvolvimento               |          7
 AVANTE        | solene                        |          7
 AVANTE        | carga                         |          7
 AVANTE        | poder                         |          7
 AVANTE        | não                           |          7
 AVANTE        | europeia                      |          6
 AVANTE        | integração                    |          6
 AVANTE        | animal                        |          6
 AVANTE        | ato                           |          6
 AVANTE        | sociais                       |          6
 AVANTE        | louvor                        |          6
 AVANTE        | sua                           |          6
 AVANTE        | crimes                        |          6
 AVANTE        | extrema                       |          6
 AVANTE        | boa                           |          6
 AVANTE        | instalação                    |          6
 AVANTE        | mercosul                      |          6
 AVANTE        | execução                      |          6
 AVANTE        | acrescenta                    |          6
 AVANTE        | assédio                       |          6
 AVANTE        | requisição                    |          6
 AVANTE        | adolescência                  |          6
 AVANTE        | maioridade                    |          6
 AVANTE        | cpi                           |          6
 AVANTE        | mutualista                    |          6
 AVANTE        | públicas                      |          6
 AVANTE        | 1997                          |          6
 AVANTE        | proibição                     |          6
 AVANTE        | 2024                          |          6
 AVANTE        | infância                      |          6
 AVANTE        | 1940                          |          6
 AVANTE        | estatuto                      |          6
 AVANTE        | jurídica                      |          6
 AVANTE        | patrimonial                   |          6
 AVANTE        | 1988                          |          6
 AVANTE        | doméstica                     |          6
 AVANTE        | bem                           |          6
 AVANTE        | avantepe                      |          6
 AVANTE        | inciso                        |          6
 AVANTE        | regime                        |          6
 AVANTE        | organizado                    |          6
 AVANTE        | organizações                  |          6
 AVANTE        | animais                       |          6
 AVANTE        | urgência                      |          6
 AVANTE        | oliveira                      |          6
 AVANTE        | contribuição                  |          6
 AVANTE        | utilização                    |          6
 AVANTE        | contas                        |          6
 AVANTE        | deste                         |          6
 AVANTE        | concessão                     |          6
 AVANTE        | investigação                  |          6
 AVANTE        | investigar                    |          6
 AVANTE        | entidades                     |          6
 AVANTE        | acesso                        |          6
 AVANTE        | waldemar                      |          6
 AVANTE        | obrigatória                   |          6
 AVANTE        | mista                         |          6
 AVANTE        | ipva                          |          5
 AVANTE        | digitais                      |          5
 AVANTE        | atuação                       |          5
 AVANTE        | tramitação                    |          5
 AVANTE        | brasil                        |          5
 AVANTE        | pdl                           |          5
 AVANTE        | disposições                   |          5
 AVANTE        | transitórias                  |          5
 AVANTE        | situação                      |          5
 AVANTE        | vítima                        |          5
 AVANTE        | publicidade                   |          5
 AVANTE        | aumento                       |          5
 AVANTE        | seus                          |          5
 AVANTE        | coautoria                     |          5
 AVANTE        | conselho                      |          5
 AVANTE        | básica                        |          5
 AVANTE        | cálculo                       |          5
 AVANTE        | caráter                       |          5
 AVANTE        | realizada                     |          5
 AVANTE        | rede                          |          5
 AVANTE        | 1941                          |          5
 AVANTE        | hediondo                      |          5
 AVANTE        | veículos                      |          5
 AVANTE        | minas                         |          5
 AVANTE        | anos                          |          5
 AVANTE        | gestão                        |          5
 AVANTE        | estabelecer                   |          5
 AVANTE        | 6415                          |          5
 AVANTE        | constitucionais               |          5
 AVANTE        | propriedade                   |          5
 AVANTE        | casos                         |          5
 AVANTE        | penalidade                    |          5
 AVANTE        | reconhecimento                |          5
 AVANTE        | homenagem                     |          5
 AVANTE        | hediondos                     |          5
 AVANTE        | condições                     |          5
 AVANTE        | aluno                         |          5
 AVANTE        | deficiente                    |          5
 AVANTE        | eleitoral                     |          5
 AVANTE        | 155                           |          5
 AVANTE        | setembro                      |          5
 AVANTE        | direito                       |          5
 AVANTE        | moral                         |          5
 AVANTE        | adotada                       |          5
 AVANTE        | finalidade                    |          5
 AVANTE        | base                          |          5
 AVANTE        | automotores                   |          5
 AVANTE        | dignidade                     |          5
 AVANTE        | final                         |          5
 AVANTE        | morte                         |          5
 AVANTE        | relação                       |          4
 AVANTE        | públicos                      |          4
 AVANTE        | 3984                          |          4
 AVANTE        | cão                           |          4
 AVANTE        | especializado                 |          4
 AVANTE        | maustratos                    |          4
 AVANTE        | 228                           |          4
 AVANTE        | estudantes                    |          4
 AVANTE        | regional                      |          4
 AVANTE        | regras                        |          4
 AVANTE        | relacionamento                |          4
 AVANTE        | meio                          |          4
 AVANTE        | define                        |          4
 AVANTE        | menor                         |          4
 AVANTE        | excepcional                   |          4
 AVANTE        | repúdio                       |          4
 AVANTE        | req                           |          4
 AVANTE        | resolução                     |          4
 AVANTE        | retirada                      |          4
 AVANTE        | militares                     |          4
 AVANTE        | familiar                      |          4
 AVANTE        | automotor                     |          4
 AVANTE        | mínima                        |          4
 AVANTE        | financeira                    |          4
 AVANTE        | financeiras                   |          4
 AVANTE        | financeiro                    |          4
 AVANTE        | imputabilidade                |          4
 AVANTE        | suspensão                     |          4
 AVANTE        | município                     |          4
 AVANTE        | deputada                      |          4
 AVANTE        | homicídio                     |          4
 AVANTE        | antissemitismo                |          4
 AVANTE        | adolescentes                  |          4
 AVANTE        | abril                         |          4
 AVANTE        | apensado                      |          4
 AVANTE        | fortalecimento                |          4
 AVANTE        | fraude                        |          4
 AVANTE        | fraudes                       |          4
 AVANTE        | despesa                       |          4
 AVANTE        | tratamento                    |          4
 AVANTE        | tributária                    |          4
 AVANTE        | garantia                      |          4
 AVANTE        | consumidor                    |          4
 AVANTE        | inversão                      |          4
 AVANTE        | veículo                       |          4
 AVANTE        | aplicação                     |          4
 AVANTE        | habilitação                   |          4
 AVANTE        | irregularidade                |          4
 AVANTE        | ocorridas                     |          4
 AVANTE        | orçamentária                  |          4
 AVANTE        | dezembro                      |          4
 AVANTE        | outubro                       |          4
 AVANTE        | direção                       |          4
 AVANTE        | dirigir                       |          4
 AVANTE        | pena                          |          4
 AVANTE        | dispositivos                  |          4
 AVANTE        | atenção                       |          4
 AVANTE        | permissão                     |          4
 AVANTE        | legislativo                   |          4
 AVANTE        | aaaaa                         |          4
 AVANTE        | plp                           |          4
 AVANTE        | duração                       |          4
 AVANTE        | imagem                        |          4
 AVANTE        | política                      |          4
 AVANTE        | 3689                          |          4
 AVANTE        | biológico                     |          4
 AVANTE        | presidência                   |          4
 AVANTE        | limite                        |          4
 AVANTE        | prestação                     |          4
 AVANTE        | eletrônico                    |          4
 AVANTE        | adaptação                     |          4
 AVANTE        | profissionais                 |          4
 AVANTE        | programa                      |          4
 AVANTE        | culposo                       |          4
 AVANTE        | entre                         |          4
 AVANTE        | informações                   |          4
 AVANTE        | 2019                          |          4
 AVANTE        | gênero                        |          3
 AVANTE        | uso                           |          3
 AVANTE        | desta                         |          3
 AVANTE        | apensos                       |          3
 AVANTE        | transtorno                    |          3
 AVANTE        | trânsito                      |          3
 AVANTE        | 2006                          |          3
 AVANTE        | alíquota                      |          3
 AVANTE        | plataforma                    |          3
 AVANTE        | plataformas                   |          3
 AVANTE        | trajetória                    |          3
 AVANTE        | medida                        |          3
 AVANTE        | 8069                          |          3
 AVANTE        | cmulher                       |          3
 AVANTE        | agentes                       |          3
 AVANTE        | regulação                     |          3
 AVANTE        | alimentos                     |          3
 AVANTE        | registro                      |          3
 AVANTE        | pnajov                        |          3
 AVANTE        | leitura                       |          3
 AVANTE        | autorização                   |          3
 AVANTE        | polícia                       |          3
 AVANTE        | terapia                       |          3
 AVANTE        | tecnologia                    |          3
 AVANTE        | 1990                          |          3
 AVANTE        | estudante                     |          3
 AVANTE        | fiscalização                  |          3
 AVANTE        | econômica                     |          3
 AVANTE        | suicídio                      |          3
 AVANTE        | portaria                      |          3
 AVANTE        | bens                          |          3
 AVANTE        | sugere                        |          3
 AVANTE        | prática                       |          3
 AVANTE        | educacional                   |          3
 AVANTE        | artigo                        |          3
 AVANTE        | autor                         |          3
 AVANTE        | crianças                      |          3
 AVANTE        | estadual                      |          3
 AVANTE        | acusado                       |          3
 AVANTE        | 104062002                     |          3
 AVANTE        | substitutiva                  |          3
 AVANTE        | limitar                       |          3
 AVANTE        | consolidação                  |          3
 AVANTE        | máxima                        |          3
 AVANTE        | equiparação                   |          3
 AVANTE        | subemenda                     |          3
 AVANTE        | sob                           |          3
 AVANTE        | composição                    |          3
 AVANTE        | integral                      |          3
 AVANTE        | ser                           |          3
 AVANTE        | especial                      |          3
 AVANTE        | automutilação                 |          3
 AVANTE        | escolar                       |          3
 AVANTE        | agressores                    |          3
 AVANTE        | feminina                      |          3
 AVANTE        | 72101984                      |          3
 AVANTE        | arts                          |          3
 AVANTE        | celebração                    |          3
 AVANTE        | santa                         |          3
 AVANTE        | atos                          |          3
 AVANTE        | privados                      |          3
 AVANTE        | milhões                       |          3
 AVANTE        | rocha                         |          3
 AVANTE        | exercício                     |          3
 AVANTE        | cspcco                        |          3
 AVANTE        | executivo                     |          3
 AVANTE        | requisitos                    |          3
 AVANTE        | exclusivamente                |          3
 AVANTE        | proferido                     |          3
 AVANTE        | energia                       |          3
 AVANTE        | enfermagem                    |          3
 AVANTE        | maio                          |          3
 AVANTE        | 2848                          |          3
 AVANTE        | exclusiva                     |          3
 AVANTE        | maria                         |          3
 AVANTE        | mental                        |          3
 AVANTE        | inclusiva                     |          3
 AVANTE        | incluir                       |          3
 AVANTE        | organização                   |          3
 AVANTE        | acerca                        |          3
 AVANTE        | definição                     |          3
 AVANTE        | jornada                       |          3
 AVANTE        | pec                           |          3
 AVANTE        | assembleia                    |          3
 AVANTE        | janeiro                       |          3
 AVANTE        | comitê                        |          3
 AVANTE        | comunitário                   |          3
 AVANTE        | vulnerabilidade               |          3
 AVANTE        | comissões                     |          3
 AVANTE        | 2942                          |          3
 AVANTE        | comemoração                   |          3
 AVANTE        | grave                         |          3
 AVANTE        | 80721990                      |          3
 AVANTE        | penha                         |          3
 AVANTE        | relevante                     |          3
 AVANTE        | conteúdo                      |          3
 AVANTE        | acolhimento                   |          3
 AVANTE        | público                       |          3
 AVANTE        | 80691990                      |          3
 AVANTE        | 28481940                      |          3
 AVANTE        | xxi                           |          2
 AVANTE        | apologia                      |          2
 AVANTE        | homens                        |          2
 AVANTE        | compatibilidade               |          2
 AVANTE        | 1969                          |          2
 AVANTE        | 9503                          |          2
 AVANTE        | apresentadas                  |          2
 AVANTE        | idoso                         |          2
 AVANTE        | 9637                          |          2
 AVANTE        | impacto                       |          2
 AVANTE        | implementação                 |          2
 AVANTE        | implicação                    |          2
 AVANTE        | conclusiva                    |          2
 AVANTE        | concurso                      |          2
 AVANTE        | imprensa                      |          2
 AVANTE        | imunidade                     |          2
 AVANTE        | condomínio                    |          2
 AVANTE        | condômino                     |          2
 AVANTE        | conduta                       |          2
 AVANTE        | inclusive                     |          2
 AVANTE        | indenização                   |          2
 AVANTE        | áreas                         |          2
 AVANTE        | abusiva                       |          2
 AVANTE        | abuso                         |          2
 AVANTE        | congresso                     |          2
 AVANTE        | artificial                    |          2
 AVANTE        | consequências                 |          2
 AVANTE        | 32912023                      |          2
 AVANTE        | instituições                  |          2
 AVANTE        | instituir                     |          2
 AVANTE        | instruir                      |          2
 AVANTE        | consultor                     |          2
 AVANTE        | integrantes                   |          2
 AVANTE        | inteligência                  |          2
 AVANTE        | intermédio                    |          2
 AVANTE        | internacional                 |          2
 AVANTE        | internet                      |          2
 AVANTE        | intimação                     |          2
