Q12 - deputado x fornecedor
Resumo executivo
 ano_dados | pares_deputado_fornecedor | deputados | fornecedores | lancamentos |  total_pago  
-----------+---------------------------+-----------+--------------+-------------+--------------
      2023 |                     50248 |       788 |        23101 |      235917 | 252001267.45
      2024 |                     47858 |       582 |        22288 |      231356 | 251412826.30
      2025 |                     45828 |       562 |        21953 |      207398 | 241218715.73
      2026 |                     22153 |       549 |        12813 |       51974 |  70008746.67


Tabela principal - top 30 pares por total pago
 ano_dados | id_deputado |         nome          |                           fornecedor                            | qtd_lancamentos | total_pago | pct_total 
-----------+-------------+-----------------------+-----------------------------------------------------------------+-----------------+------------+-----------
      2023 |       74454 | Eunício Oliveira      | CARNAUBA ASSESSORIA DE COM E PIBLICIDADE                        |              10 |  430617.49 |      0.17
      2023 |      220582 | Daniel Barbosa        | FEAT WORK LTDA                                                  |              10 |  345000.00 |      0.14
      2023 |      220573 | Dorinaldo Malafaia    | ORBE PRODUTORA & SERVIÇOS LTDA                                  |               7 |  332000.00 |      0.13
      2023 |      204570 | Pastor Gil            | GRÁFICA E EDITORA SHALOM LTDA.                                  |               5 |  299480.00 |      0.12
      2023 |      178887 | Rubens Pereira Júnior | STEVAM GREGORY ROCHA POLLON                                     |              10 |  276775.00 |      0.11
      2023 |      220674 | Dra. Alessandra Haber | CALIGRAFIA LTDA                                                 |               7 |  275100.00 |      0.11
      2023 |       74467 | Damião Feliciano      | MAIS PROPAGANDA LTDA.                                           |              13 |  270443.10 |      0.11
      2023 |      220599 | Marcelo Crivella      | MONTENEGRO LOPES E MAIA AGENCIA DE PUBLICIDADE LTDA             |              11 |  267000.00 |      0.11
      2023 |      204517 | Zé Vitor              | Cidade Positiva Assessoria Publicitaria LTDA                    |               9 |  244528.00 |      0.10
      2023 |      224117 | Gabriel Mota          | CK INFO DESIGN E MIDIA SOCIAIS                                  |              18 |  243000.00 |      0.10
      2023 |      204498 | Olival Marques        | Dinamic Comercio e Serviços Eireli                              |              14 |  236850.00 |      0.09
      2023 |       74057 | Alice Portugal        | ON - Z IMPRESSAO, DIVULGACAO & MARKETING DIGITAL LTDA           |               7 |  233696.00 |      0.09
      2023 |      204479 | Nicoletti             | ELDORADO COMUNICACAO E JORNALISMO LTDA                          |              12 |  233388.80 |      0.09
      2023 |      220649 | Delegado da Cunha     | EDUARDO KALLEL DE FREITAS BRANDAO                               |              10 |  229800.00 |      0.09
      2023 |      204379 | Acácio Favacho        | I. RODRUGUES DE ALMEIDA                                         |               9 |  225000.00 |      0.09
      2023 |      160161 | Marcelo Queiroz       | Facebook Serviços Online do Brasil                              |               8 |  223162.00 |      0.09
      2023 |      141480 | Lázaro Botelho        | Centro de Treinamento Digital AZ Mais Eireli                    |               7 |  222056.70 |      0.09
      2023 |      220607 | Max Lemos             | J D L SEM CORTES LTDA                                           |              11 |  219554.94 |      0.09
      2023 |      160601 | Pr. Marco Feliciano   | STUDIO AB - CRIATIVIDADE VISUAL EIRELI - EPP                    |               2 |  217500.00 |      0.09
      2023 |      220714 | Adail Filho           | ANIMAÇAO PROMOÇOES E PUBLICIDADE LTDA                           |              10 |  217000.00 |      0.09
      2023 |      160575 | Erika Kokay           | MAPEO SERVICOS DE INOVACAO TECNOLOGICA LTDA                     |               8 |  216978.00 |      0.09
      2023 |      205550 | Jorge Braz            | NBF DESENVOLVIMENTO PROFISSIONAL E GERENCIAL LTDA               |              12 |  216000.00 |      0.09
      2023 |       74383 | Giacobo               | GALZON EDITORA GRAFICA LTDA                                     |               6 |  214413.30 |      0.09
      2023 |      204356 | Amaro Neto            | TERCEIRA PONTE MIDIA E TECNOLOGIA LTDA                          |              20 |  211700.00 |      0.08
      2023 |      141456 | Jilmar Tatto          | URISSANÊ COMUNICAÇÃO lLTDA                                      |              14 |  210000.00 |      0.08
      2023 |      220635 | Bruno Ganem           | Facebook Serviços Online do Brasil                              |               8 |  209690.70 |      0.08
      2023 |      220548 | Camila Jara           | EVERSON VIANA TAVARES STUDIO FOTOGRAFICO                        |              11 |  209000.00 |      0.08
      2023 |      204557 | Sidney Leite          | CTA - CLEITON TAXI AEREO LTDA                                   |               5 |  206900.00 |      0.08
      2023 |      204506 | Marcos Pereira        | MIND COMUNICACAO LTDA                                           |              12 |  205000.00 |      0.08
      2023 |      220628 | Mauricio do Vôlei     | +BRASIL CONSULTORIA ORCAMENTARIA E LEGISLATIVA TECNICA LTDA     |               9 |  205000.00 |      0.08
      2024 |       74454 | Eunício Oliveira      | CARNAUBA ASSESSORIA DE COM E PIBLICIDADE                        |              12 |  505900.00 |      0.20
      2024 |      220573 | Dorinaldo Malafaia    | ORBE PRODUTORA & SERVIÇOS LTDA                                  |              12 |  428000.00 |      0.17
      2024 |      224117 | Gabriel Mota          | CK INFO DESIGN E MIDIA SOCIAIS                                  |              25 |  404166.67 |      0.16
      2024 |      160575 | Erika Kokay           | WORKING ASSOCIAÇÃO DE INTEGRAÇÃO PROFISSIONAL                   |              12 |  377178.00 |      0.15
      2024 |      220628 | Mauricio do Vôlei     | DIAMOND COMERCIO E SERVICOS LTDA - DIAMOND                      |              12 |  360000.00 |      0.14
      2024 |       74383 | Giacobo               | GALZON EDITORA GRAFICA LTDA                                     |               8 |  321930.00 |      0.13
      2024 |       88256 | Clodoaldo Magalhães   | Duporto agencia de publicidade ltda                             |              11 |  296000.00 |      0.12
      2024 |      204498 | Olival Marques        | Dinamic Comercio e Serviços Eireli                              |              13 |  295000.00 |      0.12
      2024 |      220580 | Professora Goreth     | WELLINGTON DE MIRANDA COSTA                                     |              13 |  294400.00 |      0.12
      2024 |       74057 | Alice Portugal        | ON - Z IMPRESSAO, DIVULGACAO & MARKETING DIGITAL LTDA           |              10 |  290970.00 |      0.12
      2024 |      204539 | Hercílio Coelho Diniz | FRAMIN AGENCIA DECOMUNICAÇÃO LTDA                               |               5 |  290000.00 |      0.12
      2024 |       74467 | Damião Feliciano      | MAIS PROPAGANDA LTDA.                                           |              13 |  289000.00 |      0.11
      2024 |      220690 | Capitão Alden         | AGÊNCIA BRANDING MARKETING DIRETO LTDA                          |              30 |  286725.00 |      0.11
      2024 |      220658 | Luiz Gastão           | A DE LIMA CARDOSO                                               |              12 |  285000.00 |      0.11
      2024 |      204517 | Zé Vitor              | Cidade Positiva Assessoria Publicitaria LTDA                    |              12 |  284152.70 |      0.11
      2024 |       74090 | Átila Lins            | CTA - CLEITON TAXI AEREO LTDA                                   |              13 |  272800.00 |      0.11
      2024 |      178887 | Rubens Pereira Júnior | STEVAM GREGORY ROCHA POLLON                                     |              10 |  265500.00 |      0.11
      2024 |      220660 | Yury do Paredão       | Atos Cobrança e Serviços Especializados Unipessoal LTDA         |              10 |  253000.00 |      0.10
      2024 |       73701 | Benedita da Silva     | AGENDA EM FOCO                                                  |              13 |  247000.00 |      0.10
      2024 |      220575 | Sonize Barbosa        | CARLOS BARBOSA DE SOUSA                                         |              12 |  246022.20 |      0.10
      2024 |      220540 | Duda Ramos            | CESAR V. M. SANTANA EIRELI-ME                                   |               2 |  244428.00 |      0.10
      2024 |       73579 | Alberto Fraga         | QUALIGRAFF IMPRESSOS E SERVIÇOS GRÁFICOS LTDA                   |               8 |  240200.00 |      0.10
      2024 |      204422 | Ossesio Silva         | BG10 COMUNICACAO LTDA                                           |              12 |  240000.00 |      0.10
      2024 |      220662 | Lucas Ramos           | ENTRE LNHAS CONSULTORIA EM GESTÃO EMPRESARIAL ltda              |              12 |  240000.00 |      0.10
      2024 |      160601 | Pr. Marco Feliciano   | STUDIO AB - CRIATIVIDADE VISUAL EIRELI - EPP                    |               3 |  234870.00 |      0.09
      2024 |      204506 | Marcos Pereira        | MIND COMUNICACAO LTDA                                           |              12 |  234000.00 |      0.09
      2024 |      141456 | Jilmar Tatto          | URISSANÊ COMUNICAÇÃO lLTDA                                      |              17 |  230000.00 |      0.09
      2024 |      153423 | Renilce Nicodemos     | HEISS TAXI AEREO LTDA - EPP                                     |              10 |  228682.71 |      0.09
      2024 |      143632 | Domingos Neto         | FRAME COMUNICACAO DIGITAL LTDA                                  |              12 |  225000.00 |      0.09
      2024 |      178843 | Marx Beltrão          | FRAME COMUNICACAO DIGITAL LTDA                                  |              12 |  223200.00 |      0.09
      2025 |      224117 | Gabriel Mota          | CK INFO DESIGN E MIDIA SOCIAIS                                  |              24 |  450000.00 |      0.19
