Q13 - categorias de gasto por deputado
Resumo executivo
 ano_dados | pares_deputado_categoria | deputados | categorias | lancamentos | gasto_total  
-----------+--------------------------+-----------+------------+-------------+--------------
      2023 |                     6104 |       788 |         20 |      235917 | 252001267.45
      2024 |                     4603 |       582 |         18 |      231356 | 251412826.30
      2025 |                     4389 |       562 |         19 |      207398 | 241218715.73
      2026 |                     3172 |       549 |         18 |       51974 |  70008746.67


Tabela principal - top 30 deputado x categoria por gasto
 ano_dados | id_deputado |         nome          | sigla_uf | sigla_partido |          descricao_despesa           | qtd_lancamentos | gasto_total | pct_total 
-----------+-------------+-----------------------+----------+---------------+--------------------------------------+-----------------+-------------+-----------
      2023 |       74454 | Eunício Oliveira      | CE       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              12 |   494105.69 |      0.20
      2023 |      220674 | Dra. Alessandra Haber | PA       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              24 |   469783.64 |      0.19
      2023 |      178887 | Rubens Pereira Júnior | MA       | PT            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              35 |   469650.00 |      0.19
      2023 |      220575 | Sonize Barbosa        | AP       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              20 |   442589.10 |      0.18
      2023 |      204570 | Pastor Gil            | MA       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              14 |   437980.00 |      0.17
      2023 |      137070 | Vicentinho Júnior     | TO       | PSDB          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              83 |   436900.00 |      0.17
      2023 |      204391 | José Nelto            | GO       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              41 |   430100.00 |      0.17
      2023 |      220714 | Adail Filho           | AM       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              23 |   421850.00 |      0.17
      2023 |      220538 | Albuquerque           | RR       | REPUBLICANOS  | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              42 |   418655.88 |      0.17
      2023 |       74044 | Wilson Santiago       | PB       | REPUBLICANOS  | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |             110 |   413490.00 |      0.16
      2023 |       74383 | Giacobo               | PR       | PSD           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              11 |   412636.70 |      0.16
      2023 |      178997 | Moses Rodrigues       | CE       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              42 |   409500.00 |      0.16
      2023 |      204506 | Marcos Pereira        | SP       | REPUBLICANOS  | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              20 |   405000.00 |      0.16
      2023 |      204419 | Glaustin da Fokus     | GO       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              13 |   401558.80 |      0.16
      2023 |      178843 | Marx Beltrão          | AL       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              23 |   394540.00 |      0.16
      2023 |      220592 | Zezinho Barbary       | AC       | PP            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              69 |   391000.00 |      0.16
      2023 |      220582 | Daniel Barbosa        | AL       | PP            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              16 |   387000.00 |      0.15
      2023 |       74696 | Alberto Mourão        | SP       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              27 |   383111.71 |      0.15
      2023 |       73806 | Roseana Sarney        | MA       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              40 |   378092.00 |      0.15
      2023 |      141456 | Jilmar Tatto          | SP       | PT            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              50 |   378000.00 |      0.15
      2023 |      141408 | Cleber Verde          | MA       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              18 |   377000.00 |      0.15
      2023 |      220707 | Amanda Gentil         | MA       | PP            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              18 |   373290.80 |      0.15
      2023 |       73486 | Pompeo de Mattos      | RS       | PDT           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              84 |   373069.43 |      0.15
      2023 |      215043 | Josivaldo JP          | MA       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              19 |   367575.00 |      0.15
      2023 |      204396 | Vermelho              | PR       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              65 |   366600.00 |      0.15
      2023 |      204517 | Zé Vitor              | MG       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              25 |   364377.00 |      0.14
      2023 |      220573 | Dorinaldo Malafaia    | AP       | PDT           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              17 |   362611.31 |      0.14
      2023 |      160161 | Marcelo Queiroz       | RJ       | PSDB          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              23 |   361803.10 |      0.14
      2023 |      220671 | Dilvanda Faro         | PA       | PT            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              25 |   361288.00 |      0.14
      2023 |      160635 | Ruy Carneiro          | PB       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |             193 |   358280.00 |      0.14
      2024 |       74454 | Eunício Oliveira      | CE       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              12 |   505900.00 |      0.20
      2024 |      220660 | Yury do Paredão       | CE       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              34 |   483000.00 |      0.19
      2024 |      178887 | Rubens Pereira Júnior | MA       | PT            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              35 |   460664.42 |      0.18
      2024 |      178997 | Moses Rodrigues       | CE       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              46 |   456000.00 |      0.18
      2024 |      204419 | Glaustin da Fokus     | GO       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              16 |   446131.00 |      0.18
      2024 |      178843 | Marx Beltrão          | AL       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              25 |   444390.00 |      0.18
      2024 |      204360 | Silvia Cristina       | RO       | PP            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |             198 |   443946.78 |      0.18
      2024 |      220538 | Albuquerque           | RR       | REPUBLICANOS  | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              36 |   438700.00 |      0.17
      2024 |      141456 | Jilmar Tatto          | SP       | PT            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              69 |   437527.54 |      0.17
      2024 |      204506 | Marcos Pereira        | SP       | REPUBLICANOS  | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              21 |   434000.00 |      0.17
      2024 |      220573 | Dorinaldo Malafaia    | AP       | PDT           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              15 |   429580.00 |      0.17
      2024 |      204498 | Olival Marques        | PA       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              18 |   425700.00 |      0.17
      2024 |      178876 | Célio Silveira        | GO       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              15 |   421650.00 |      0.17
      2024 |      220671 | Dilvanda Faro         | PA       | PT            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              43 |   415750.00 |      0.17
      2024 |      220591 | Meire Serafim         | AC       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              26 |   415428.00 |      0.17
      2024 |      220592 | Zezinho Barbary       | AC       | PP            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              81 |   410150.00 |      0.16
      2024 |       74383 | Giacobo               | PR       | PSD           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              10 |   406930.00 |      0.16
      2024 |      204517 | Zé Vitor              | MG       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              44 |   400128.70 |      0.16
      2024 |      160575 | Erika Kokay           | DF       | PT            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              14 |   400046.00 |      0.16
      2024 |      141485 | Luiz Carlos Busato    | RS       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              51 |   396334.09 |      0.16
      2024 |      204391 | José Nelto            | GO       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              72 |   393600.00 |      0.16
      2024 |      141408 | Cleber Verde          | MA       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              25 |   389000.00 |      0.15
      2024 |      220536 | Zé Haroldo Cathedral  | RR       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              47 |   388715.00 |      0.15
      2024 |      220580 | Professora Goreth     | AP       | PDT           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              37 |   384400.00 |      0.15
      2024 |      220599 | Marcelo Crivella      | RJ       | REPUBLICANOS  | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              24 |   381120.00 |      0.15
      2024 |      204534 | Tabata Amaral         | SP       | PSB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              61 |   373017.82 |      0.15
      2024 |      220664 | Guilherme Uchoa       | PE       | PSD           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              30 |   370842.86 |      0.15
      2024 |      178909 | Hélio Leite           | PA       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              38 |   370683.40 |      0.15
      2024 |      220647 | Mauricio Neves        | SP       | PP            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              32 |   369994.95 |      0.15
      2024 |      220714 | Adail Filho           | AM       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              23 |   369100.00 |      0.15
      2025 |      178997 | Moses Rodrigues       | CE       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              54 |   515000.00 |      0.21
      2025 |      220538 | Albuquerque           | RR       | REPUBLICANOS  | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              62 |   501500.00 |      0.21
      2025 |      204360 | Silvia Cristina       | RO       | PP            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |             196 |   469975.70 |      0.19
      2025 |      123756 | Antônia Lúcia         | AC       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              19 |   463772.00 |      0.19
      2025 |      141408 | Cleber Verde          | MA       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              41 |   451500.00 |      0.19
      2025 |      220676 | Andreia Siqueira      | PA       | PSB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              25 |   442514.49 |      0.18
      2025 |      204506 | Marcos Pereira        | SP       | REPUBLICANOS  | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              20 |   440000.00 |      0.18
      2025 |      178887 | Rubens Pereira Júnior | MA       | PT            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              50 |   439250.00 |      0.18
      2025 |      220574 | Cabo Gilberto Silva   | PB       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              47 |   437600.00 |      0.18
      2025 |      220681 | Fábio Macedo          | MA       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              13 |   435000.00 |      0.18
      2025 |      178876 | Célio Silveira        | GO       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              15 |   422500.00 |      0.18
      2025 |      178843 | Marx Beltrão          | AL       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              24 |   417700.00 |      0.17
      2025 |      204498 | Olival Marques        | PA       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              14 |   410500.00 |      0.17
      2025 |      141456 | Jilmar Tatto          | SP       | PT            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              65 |   410167.09 |      0.17
      2025 |      204517 | Zé Vitor              | MG       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              63 |   409441.00 |      0.17
      2025 |      220697 | Jadyel Alencar        | PI       | REPUBLICANOS  | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              80 |   404213.40 |      0.17
      2025 |      204391 | José Nelto            | GO       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              62 |   399110.80 |      0.17
      2025 |      220592 | Zezinho Barbary       | AC       | PP            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              68 |   389802.00 |      0.16
      2025 |      220628 | Mauricio do Vôlei     | MG       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              22 |   388890.00 |      0.16
      2025 |      204491 | Gilberto Abramo       | MG       | REPUBLICANOS  | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              50 |   388316.29 |      0.16
      2025 |       74043 | Wellington Roberto    | PB       | PSD           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              19 |   385000.00 |      0.16
      2025 |      160575 | Erika Kokay           | DF       | PT            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              12 |   384930.00 |      0.16
      2025 |      220589 | Eduardo Velloso       | AC       | SOLIDARIEDADE | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              87 |   384441.70 |      0.16
      2025 |       74400 | Paulo Pimenta         | RS       | PT            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              38 |   383600.00 |      0.16
      2025 |      204396 | Vermelho              | PR       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              67 |   380652.97 |      0.16
      2025 |      220573 | Dorinaldo Malafaia    | AP       | PDT           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              13 |   379468.00 |      0.16
      2025 |      204539 | Hercílio Coelho Diniz | MG       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              24 |   378558.90 |      0.16
      2025 |      220599 | Marcelo Crivella      | RJ       | REPUBLICANOS  | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              25 |   375400.00 |      0.16
      2025 |      220660 | Yury do Paredão       | CE       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              39 |   374106.66 |      0.16
      2025 |       74383 | Giacobo               | PR       | PSD           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              13 |   372624.10 |      0.15
      2026 |       74454 | Eunício Oliveira      | CE       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |               5 |   222000.00 |      0.32
      2026 |      220676 | Andreia Siqueira      | PA       | PSB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              12 |   216489.10 |      0.31
      2026 |      160591 | Vinicius Gurgel       | AP       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |               9 |   193000.00 |      0.28
      2026 |       74090 | Átila Lins            | AM       | PSD           | LOCAÇÃO OU FRETAMENTO DE AERONAVES   |               9 |   183400.00 |      0.26
      2026 |      220599 | Marcelo Crivella      | RJ       | REPUBLICANOS  | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              12 |   180500.00 |      0.26
      2026 |      204498 | Olival Marques        | PA       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |               8 |   179000.00 |      0.26
      2026 |      178997 | Moses Rodrigues       | CE       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              17 |   174000.00 |      0.25
      2026 |      204360 | Silvia Cristina       | RO       | PP            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              72 |   172950.00 |      0.25
      2026 |       74158 | Mário Heringer        | MG       | PDT           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              15 |   172880.00 |      0.25
      2026 |      220628 | Mauricio do Vôlei     | MG       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |               5 |   167500.00 |      0.24
      2026 |      220693 | Roberta Roma          | BA       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              19 |   161510.00 |      0.23
      2026 |      204557 | Sidney Leite          | AM       | PSD           | LOCAÇÃO OU FRETAMENTO DE AERONAVES   |               3 |   160000.00 |      0.23
      2026 |      220681 | Fábio Macedo          | MA       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |               3 |   159000.00 |      0.23
      2026 |      220624 | Robinson Faria        | RN       | PP            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              13 |   154000.00 |      0.22
      2026 |       73778 | Luiz Carlos Hauly     | PR       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              21 |   151796.00 |      0.22
      2026 |      220574 | Cabo Gilberto Silva   | PB       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              16 |   149200.00 |      0.21
      2026 |      220610 | Dr. Fernando Máximo   | RO       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              14 |   146460.88 |      0.21
      2026 |       74383 | Giacobo               | PR       | PSD           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |               4 |   145513.70 |      0.21
      2026 |       73486 | Pompeo de Mattos      | RS       | PDT           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              55 |   144732.00 |      0.21
      2026 |      129618 | Gorete Pereira        | CE       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              10 |   143093.60 |      0.20
      2026 |      160601 | Pr. Marco Feliciano   | SP       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              11 |   142250.00 |      0.20
      2026 |      220536 | Zé Haroldo Cathedral  | RR       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              24 |   140320.00 |      0.20
      2026 |      204419 | Glaustin da Fokus     | GO       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |               4 |   138280.00 |      0.20
      2026 |      204396 | Vermelho              | PR       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              19 |   138000.00 |      0.20
      2026 |      234788 | Heloísa Helena        | RJ       | REDE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |               6 |   137446.40 |      0.20
      2026 |       74044 | Wilson Santiago       | PB       | REPUBLICANOS  | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR. |              41 |   136700.00 |      0.20
