Q13 complemento - ranking completo deputado x categoria de gasto
 ano_dados | id_deputado |                nome                 |                     descricao_despesa                     | qtd_lancamentos | gasto_total 
-----------+-------------+-------------------------------------+-----------------------------------------------------------+-----------------+-------------
      2023 |      220593 | Abilio Brunini                      | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             |              27 |   107235.86
      2023 |      220593 | Abilio Brunini                      | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR |              41 |   106502.66
      2023 |      220593 | Abilio Brunini                      | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              21 |    76420.00
      2023 |      220593 | Abilio Brunini                      | PASSAGEM AÉREA - SIGEPA                                   |              76 |    71705.28
      2023 |      220593 | Abilio Brunini                      | COMBUSTÍVEIS E LUBRIFICANTES.                             |             379 |    63991.11
      2023 |      220593 | Abilio Brunini                      | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    |              46 |    14906.36
      2023 |      220593 | Abilio Brunini                      | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               |               2 |      498.00
      2023 |      220593 | Abilio Brunini                      | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                |               5 |      423.56
      2023 |      220593 | Abilio Brunini                      | TELEFONIA                                                 |              12 |      302.36
      2023 |      220593 | Abilio Brunini                      | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 |               1 |       30.00
      2023 |      204554 | Abílio Santana                      | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             |               1 |    12500.00
      2023 |      204554 | Abílio Santana                      | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |               2 |    12000.00
      2023 |      204554 | Abílio Santana                      | PASSAGEM AÉREA - SIGEPA                                   |               5 |     7351.02
      2023 |      204554 | Abílio Santana                      | CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.             |               1 |     6000.00
      2023 |      204554 | Abílio Santana                      | SERVIÇOS POSTAIS                                          |               1 |      318.48
      2023 |      204554 | Abílio Santana                      | COMBUSTÍVEIS E LUBRIFICANTES.                             |               1 |      310.04
      2023 |      204554 | Abílio Santana                      | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                |               1 |       89.90
      2023 |      204521 | Abou Anni                           | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR |               4 |     8761.70
      2023 |      204521 | Abou Anni                           | COMBUSTÍVEIS E LUBRIFICANTES.                             |               5 |     1048.25
      2023 |      204521 | Abou Anni                           | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                |              16 |      704.56
      2023 |      204521 | Abou Anni                           | SERVIÇOS POSTAIS                                          |               4 |      631.42
      2023 |      204521 | Abou Anni                           | TELEFONIA                                                 |               3 |      255.97
      2023 |      204521 | Abou Anni                           | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 |               4 |       19.00
      2023 |      204379 | Acácio Favacho                      | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              43 |   351600.00
      2023 |      204379 | Acácio Favacho                      | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             |              11 |   110000.00
      2023 |      204379 | Acácio Favacho                      | PASSAGEM AÉREA - SIGEPA                                   |              95 |   105524.45
      2023 |      204379 | Acácio Favacho                      | COMBUSTÍVEIS E LUBRIFICANTES.                             |              70 |    18543.34
      2023 |      204379 | Acácio Favacho                      | TELEFONIA                                                 |              40 |     5978.73
      2023 |      204379 | Acácio Favacho                      | PASSAGEM AÉREA - REEMBOLSO                                |               3 |     4373.95
      2023 |      204379 | Acácio Favacho                      | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR |               1 |      809.60
      2023 |      220714 | Adail Filho                         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              23 |   421850.00
      2023 |      220714 | Adail Filho                         | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             |              11 |    66000.00
      2023 |      220714 | Adail Filho                         | COMBUSTÍVEIS E LUBRIFICANTES.                             |             154 |    38141.26
      2023 |      220714 | Adail Filho                         | PASSAGEM AÉREA - SIGEPA                                   |              41 |    33471.17
      2023 |      220714 | Adail Filho                         | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR |               1 |      945.20
      2023 |      220714 | Adail Filho                         | TELEFONIA                                                 |              16 |      653.45
      2023 |      221328 | Adilson Barroso                     | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              13 |   168000.00
      2023 |      221328 | Adilson Barroso                     | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             |              27 |   123900.00
      2023 |      221328 | Adilson Barroso                     | PASSAGEM AÉREA - SIGEPA                                   |              69 |    61033.01
      2023 |      221328 | Adilson Barroso                     | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR |              12 |    44352.13
      2023 |      221328 | Adilson Barroso                     | COMBUSTÍVEIS E LUBRIFICANTES.                             |             161 |    33505.39
      2023 |      221328 | Adilson Barroso                     | PASSAGEM AÉREA - RPA                                      |               9 |    14771.44
      2023 |      221328 | Adilson Barroso                     | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    |               7 |     6628.86
      2023 |      221328 | Adilson Barroso                     | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                |              63 |     5593.34
      2023 |      221328 | Adilson Barroso                     | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 |             142 |     4893.95
      2023 |      221328 | Adilson Barroso                     | TELEFONIA                                                 |              18 |     1435.45
      2023 |      204560 | Adolfo Viana                        | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             |              13 |   137713.00
      2023 |      204560 | Adolfo Viana                        | PASSAGEM AÉREA - SIGEPA                                   |             111 |   114500.78
      2023 |      204560 | Adolfo Viana                        | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              32 |   106000.00
      2023 |      204560 | Adolfo Viana                        | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        |               3 |    62512.80
      2023 |      204560 | Adolfo Viana                        | TELEFONIA                                                 |              50 |    10820.73
      2023 |      204560 | Adolfo Viana                        | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR |              14 |    10234.40
      2023 |      204560 | Adolfo Viana                        | COMBUSTÍVEIS E LUBRIFICANTES.                             |              25 |     7274.07
      2023 |      204560 | Adolfo Viana                        | PASSAGEM AÉREA - RPA                                      |               3 |     7258.95
      2023 |      204560 | Adolfo Viana                        | CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.             |               1 |     5000.00
      2023 |      204528 | Adriana Ventura                     | PASSAGEM AÉREA - SIGEPA                                   |              89 |    39713.83
      2023 |      204528 | Adriana Ventura                     | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR |              81 |    15513.44
      2023 |      204528 | Adriana Ventura                     | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    |               2 |     5442.50
      2023 |      204528 | Adriana Ventura                     | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 |             126 |     4862.25
      2023 |      204528 | Adriana Ventura                     | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |               2 |     4421.00
      2023 |      204528 | Adriana Ventura                     | TELEFONIA                                                 |              21 |     1288.53
      2023 |      204528 | Adriana Ventura                     | ASSINATURA DE PUBLICAÇÕES                                 |              28 |     1243.20
      2023 |      121948 | Adriano do Baldy                    | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              52 |   113489.13
      2023 |      121948 | Adriano do Baldy                    | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             |              24 |   108153.60
      2023 |      121948 | Adriano do Baldy                    | COMBUSTÍVEIS E LUBRIFICANTES.                             |             189 |   101923.71
      2023 |      121948 | Adriano do Baldy                    | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR |              58 |    69880.26
      2023 |      121948 | Adriano do Baldy                    | TELEFONIA                                                 |              72 |    11427.65
      2023 |      121948 | Adriano do Baldy                    | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    |              35 |     6430.00
      2023 |      121948 | Adriano do Baldy                    | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 |              77 |     3166.55
      2023 |      121948 | Adriano do Baldy                    | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               |               2 |      139.76
      2023 |       74646 | Aécio Neves                         | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR |             147 |   157599.45
      2023 |       74646 | Aécio Neves                         | PASSAGEM AÉREA - SIGEPA                                   |             149 |   153211.34
      2023 |       74646 | Aécio Neves                         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              39 |   127393.98
      2023 |       74646 | Aécio Neves                         | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             |               9 |    29943.63
      2023 |       74646 | Aécio Neves                         | TELEFONIA                                                 |              38 |     4687.21
      2023 |       74646 | Aécio Neves                         | COMBUSTÍVEIS E LUBRIFICANTES.                             |              19 |     4093.97
      2023 |       74646 | Aécio Neves                         | CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.             |               1 |     2500.00
      2023 |       74646 | Aécio Neves                         | PASSAGEM AÉREA - REEMBOLSO                                |               1 |     1625.54
      2023 |       74646 | Aécio Neves                         | ASSINATURA DE PUBLICAÇÕES                                 |               5 |     1219.14
      2023 |       74646 | Aécio Neves                         | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               |               4 |      703.66
      2023 |       74646 | Aécio Neves                         | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 |               7 |      111.42
      2023 |      141372 | Aelton Freitas                      | CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.             |               1 |    13500.00
      2023 |      141372 | Aelton Freitas                      | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |               1 |    10000.00
      2023 |      141372 | Aelton Freitas                      | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             |               2 |     8500.00
      2023 |      141372 | Aelton Freitas                      | COMBUSTÍVEIS E LUBRIFICANTES.                             |              14 |     3376.38
      2023 |      141372 | Aelton Freitas                      | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                |              10 |      621.82
      2023 |      141372 | Aelton Freitas                      | SERVIÇOS POSTAIS                                          |               2 |       20.49
      2023 |      141372 | Aelton Freitas                      | TELEFONIA                                                 |               1 |        1.59
      2023 |      160508 | Afonso Florence                     | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |               1 |    19000.00
      2023 |      160508 | Afonso Florence                     | PASSAGEM AÉREA - SIGEPA                                   |              26 |    18620.10
      2023 |      160508 | Afonso Florence                     | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR |               2 |     5231.95
      2023 |      160508 | Afonso Florence                     | TELEFONIA                                                 |               5 |      561.26
