Ranking global - todos os anos
 id_deputado |                nome                 | sigla_uf | sigla_partido | gasto_total 
-------------+-------------------------------------+----------+---------------+-------------
       73486 | Pompeo de Mattos                    | RS       | PDT           |  2151269.58
      220538 | Albuquerque                         | RR       | REPUBLICANOS  |  2005136.28
      160591 | Vinicius Gurgel                     | AP       | PL            |  2002973.04
      224117 | Gabriel Mota                        | RR       | UNIAO         |  1991150.28
      220590 | Coronel Ulysses                     | AC       | UNIAO         |  1984600.81
      204473 | General Girão                       | RN       | PL            |  1982581.09
      141459 | João Maia                           | RN       | PP            |  1981642.48
      204360 | Silvia Cristina                     | RO       | PP            |  1974301.77
      204426 | Carlos Veras                        | PE       | PT            |  1974100.25
      220536 | Zé Haroldo Cathedral                | RR       | UNIAO         |  1959268.02
      220537 | Helena Lima                         | RR       | PSD           |  1947635.51
      191923 | Flávio Nogueira                     | PI       | PT            |  1938355.70
       74090 | Átila Lins                          | AM       | PSD           |  1937947.57
      204479 | Nicoletti                           | RR       | UNIAO         |  1931589.78
      204406 | Pedro Westphalen                    | RS       | PP            |  1925457.52
      204388 | Bibo Nunes                          | RS       | PL            |  1922741.66
      204423 | André Ferreira                      | PE       | PL            |  1911453.23
      220539 | Defensor Stélio Dener               | RR       | UNIAO         |  1910414.03
      220608 | Cristiane Lopes                     | RO       | PODE          |  1909531.25
      220591 | Meire Serafim                       | AC       | UNIAO         |  1904160.60
      178908 | Delegado Éder Mauro                 | PA       | PL            |  1898018.87
      141408 | Cleber Verde                        | MA       | REPUBLICANOS  |  1897974.19
      220551 | Franciane Bayer                     | RS       | REPUBLICANOS  |  1884207.45
      220610 | Dr. Fernando Máximo                 | RO       | PL            |  1884112.44
      188097 | Merlong Solano                      | PI       | PT            |  1880281.29
       74374 | Geraldo Resende                     | MS       | UNIAO         |  1876540.50
      204453 | Natália Bonavides                   | RN       | PT            |  1870545.17
      178954 | Lucio Mosquini                      | RO       | PL            |  1866135.48
      178997 | Moses Rodrigues                     | CE       | UNIAO         |  1865084.27
      204557 | Sidney Leite                        | AM       | PSD           |  1861396.48
       74060 | Daniel Almeida                      | BA       | PCDOB         |  1860644.73
      178835 | Afonso Motta                        | RS       | PDT           |  1857252.84
      220574 | Cabo Gilberto Silva                 | PB       | PL            |  1855761.30
      204431 | Marcos Aurélio Sampaio              | PI       | PSD           |  1852505.72
       91228 | Waldemar Oliveira                   | PE       | AVANTE        |  1848401.62
      204358 | Beto Pereira                        | MS       | REPUBLICANOS  |  1847835.88
      220578 | Josenildo                           | AP       | PDT           |  1846435.37
      204498 | Olival Marques                      | PA       | PODE          |  1846388.66
      178866 | Luizianne Lins                      | CE       | REDE          |  1845496.44
      220546 | Rodolfo Nogueira                    | MS       | PL            |  1844297.51
      204378 | Coronel Chrisóstomo                 | RO       | PL            |  1843928.72
      123756 | Antônia Lúcia                       | AC       | MDB           |  1841879.18
