SET
 id_dep |                nome                 |                    eixo                     | qtd_proposicoes 
--------+-------------------------------------+---------------------------------------------+-----------------
 204379 | Acácio Favacho                      | Viação, Transporte e Mobilidade             |               2
 204379 | Acácio Favacho                      | Direito Penal e Processual Penal            |               1
 204379 | Acácio Favacho                      | Administração Pública                       |               1
 204379 | Acácio Favacho                      | Direito e Defesa do Consumidor              |               1
 204379 | Acácio Favacho                      | Meio Ambiente e Desenvolvimento Sustentável |               1
 204379 | Acácio Favacho                      | Finanças Públicas e Orçamento               |               1
 204379 | Acácio Favacho                      | Direitos Humanos e Minorias                 |               1
 220714 | Adail Filho                         | Energia, Recursos Hídricos e Minerais       |               1
 220714 | Adail Filho                         | Administração Pública                       |               1
 220714 | Adail Filho                         | Finanças Públicas e Orçamento               |               1
 221328 | Adilson Barroso                     | Direito Penal e Processual Penal            |               4
 221328 | Adilson Barroso                     | Direitos Humanos e Minorias                 |               3
 221328 | Adilson Barroso                     | Meio Ambiente e Desenvolvimento Sustentável |               2
 221328 | Adilson Barroso                     | Finanças Públicas e Orçamento               |               1
 221328 | Adilson Barroso                     | Arte, Cultura e Religião                    |               1
 221328 | Adilson Barroso                     | Administração Pública                       |               1
 221328 | Adilson Barroso                     | Defesa e Segurança                          |               1
 221328 | Adilson Barroso                     | Viação, Transporte e Mobilidade             |               1
 204528 | Adriana Ventura                     | Administração Pública                       |              67
 204528 | Adriana Ventura                     | Finanças Públicas e Orçamento               |              43
 204528 | Adriana Ventura                     | Economia                                    |              22
 204528 | Adriana Ventura                     | Defesa e Segurança                          |              19
 204528 | Adriana Ventura                     | Viação, Transporte e Mobilidade             |              19
 204528 | Adriana Ventura                     | Indústria, Comércio e Serviços              |              16
 204528 | Adriana Ventura                     | Energia, Recursos Hídricos e Minerais       |              13
 204528 | Adriana Ventura                     | Direitos Humanos e Minorias                 |              11
 204528 | Adriana Ventura                     | Previdência e Assistência Social            |               9
 204528 | Adriana Ventura                     | Meio Ambiente e Desenvolvimento Sustentável |               8
 204528 | Adriana Ventura                     | Trabalho e Emprego                          |               8
 204528 | Adriana Ventura                     | Comunicações                                |               6
 204528 | Adriana Ventura                     | Relações Internacionais e Comércio Exterior |               6
 204528 | Adriana Ventura                     | Saúde                                       |               6
 204528 | Adriana Ventura                     | Direito Penal e Processual Penal            |               5
 204528 | Adriana Ventura                     | Direito e Defesa do Consumidor              |               5
 204528 | Adriana Ventura                     | Turismo                                     |               3
 204528 | Adriana Ventura                     | Educação                                    |               3
 204528 | Adriana Ventura                     | Direito e Justiça                           |               2
 204528 | Adriana Ventura                     | Processo Legislativo e Atuação Parlamentar  |               2
 204528 | Adriana Ventura                     | Direito Civil e Processual Civil            |               2
 204528 | Adriana Ventura                     | Ciência, Tecnologia e Inovação              |               2
 204528 | Adriana Ventura                     | Direito Constitucional                      |               2
 204528 | Adriana Ventura                     | Arte, Cultura e Religião                    |               1
 204528 | Adriana Ventura                     | Agricultura, Pecuária, Pesca e Extrativismo |               1
 121948 | Adriano do Baldy                    | Homenagens e Datas Comemorativas            |               1
 121948 | Adriano do Baldy                    | Meio Ambiente e Desenvolvimento Sustentável |               1
 121948 | Adriano do Baldy                    | Direito Penal e Processual Penal            |               1
  74646 | Aécio Neves                         | Finanças Públicas e Orçamento               |               2
  74646 | Aécio Neves                         | Meio Ambiente e Desenvolvimento Sustentável |               2
  74646 | Aécio Neves                         | Trabalho e Emprego                          |               1
  74646 | Aécio Neves                         | Previdência e Assistência Social            |               1
  74646 | Aécio Neves                         | Indústria, Comércio e Serviços              |               1
  74646 | Aécio Neves                         | Administração Pública                       |               1
  74646 | Aécio Neves                         | Arte, Cultura e Religião                    |               1
  74646 | Aécio Neves                         | Direitos Humanos e Minorias                 |               1
  74646 | Aécio Neves                         | Economia                                    |               1
  74646 | Aécio Neves                         | Homenagens e Datas Comemorativas            |               1
 160508 | Afonso Florence                     | Administração Pública                       |               4
 160508 | Afonso Florence                     | Defesa e Segurança                          |               4
 160508 | Afonso Florence                     | Ciência, Tecnologia e Inovação              |               2
 160508 | Afonso Florence                     | Indústria, Comércio e Serviços              |               2
 160508 | Afonso Florence                     | Energia, Recursos Hídricos e Minerais       |               2
 160508 | Afonso Florence                     | Comunicações                                |               1
 160508 | Afonso Florence                     | Esporte e Lazer                             |               1
 160508 | Afonso Florence                     | Finanças Públicas e Orçamento               |               1
 160508 | Afonso Florence                     | Saúde                                       |               1
 160508 | Afonso Florence                     | Trabalho e Emprego                          |               1
 160508 | Afonso Florence                     | Viação, Transporte e Mobilidade             |               1
 160508 | Afonso Florence                     | Direito e Defesa do Consumidor              |               1
 160508 | Afonso Florence                     | Agricultura, Pecuária, Pesca e Extrativismo |               1
 160508 | Afonso Florence                     | Economia                                    |               1
 160508 | Afonso Florence                     | Direitos Humanos e Minorias                 |               1
 136811 | Afonso Hamm                         | Direitos Humanos e Minorias                 |               4
 136811 | Afonso Hamm                         | Meio Ambiente e Desenvolvimento Sustentável |               3
 136811 | Afonso Hamm                         | Energia, Recursos Hídricos e Minerais       |               2
 136811 | Afonso Hamm                         | Direito Penal e Processual Penal            |               2
 136811 | Afonso Hamm                         | Agricultura, Pecuária, Pesca e Extrativismo |               2
 136811 | Afonso Hamm                         | Indústria, Comércio e Serviços              |               1
 136811 | Afonso Hamm                         | Administração Pública                       |               1
 136811 | Afonso Hamm                         | Cidades e Desenvolvimento Urbano            |               1
 136811 | Afonso Hamm                         | Economia                                    |               1
 136811 | Afonso Hamm                         | Processo Legislativo e Atuação Parlamentar  |               1
 136811 | Afonso Hamm                         | Saúde                                       |               1
 136811 | Afonso Hamm                         | Viação, Transporte e Mobilidade             |               1
 178835 | Afonso Motta                        | Administração Pública                       |               1
 178835 | Afonso Motta                        | Processo Legislativo e Atuação Parlamentar  |               1
 178835 | Afonso Motta                        | Economia                                    |               1
 204495 | Airton Faleiro                      | Defesa e Segurança                          |               5
 204495 | Airton Faleiro                      | Direitos Humanos e Minorias                 |               5
 204495 | Airton Faleiro                      | Administração Pública                       |               4
 204495 | Airton Faleiro                      | Indústria, Comércio e Serviços              |               2
 204495 | Airton Faleiro                      | Trabalho e Emprego                          |               2
