Q2 complemento - tema mais atuante por deputado no periodo 2023-2026
Tema mais atuante por deputado - consolidado
id_deputado |                                nome |                           tema_mais_atuante | qtd_proposicoes | proposicoes_aprovadas
------------+-------------------------------------+---------------------------------------------+-----------------+----------------------
      74084 |                     Raimundo Santos |                 Direitos Humanos e Minorias |             374 |                     1
     220715 |                         Amom Mandel |                       Administração Pública |             329 |                     0
     204528 |                     Adriana Ventura |                       Administração Pública |             229 |                     0
      74356 |                        Silas Câmara |                                Comunicações |             168 |                     0
     220604 |                      Marcos Tavares |                                       Saúde |             140 |                     0
     156190 |                   Marcel van Hattem |                       Administração Pública |             135 |                     0
     204365 |                      Gilson Marques |                       Administração Pública |             132 |                     0
     220568 |                       Gustavo Gayer |                       Administração Pública |             123 |                     0
     204572 |                Capitão Alberto Neto |                       Administração Pública |             116 |                     0
     178871 |                Evair Vieira de Melo |                       Administração Pública |              93 |                     0
      74856 |                      Laura Carneiro |                 Direitos Humanos e Minorias |              81 |                     7
     220713 |                       Saullo Vianna |                          Defesa e Segurança |              73 |                     0
     204455 |                           Luiz Lima |                       Administração Pública |              72 |                     0
     178947 |                 Sóstenes Cavalcante |                    Arte, Cultura e Religião |              66 |                     0
     220547 |                       Marcos Pollon |                          Defesa e Segurança |              65 |                     0
     220574 |                 Cabo Gilberto Silva |                          Defesa e Segurança |              63 |                     0
     204472 |                       José Medeiros |                       Administração Pública |              61 |                     0
     220695 |                      Rogéria Santos |                 Direitos Humanos e Minorias |              59 |                     2
     204462 |                      Chris Tonietto |                 Direitos Humanos e Minorias |              57 |                     0
     220701 |             Delegado Matheus Laiola | Meio Ambiente e Desenvolvimento Sustentável |              57 |                     0
     204536 |                       Kim Kataguiri |            Direito Penal e Processual Penal |              55 |                     1
     178989 |                        Renata Abreu |                 Direitos Humanos e Minorias |              55 |                     1
     220618 |                   Sargento Portugal |                          Defesa e Segurança |              54 |                     0
     220690 |                       Capitão Alden |                          Defesa e Segurança |              51 |                     0
     220616 |                      Luciano Vieira |              Direito e Defesa do Consumidor |              50 |                     0
     204526 | Luiz Philippe de Orleans e Bragança |                       Administração Pública |              50 |                     0
     220673 |                    Delegado Caveira |                       Administração Pública |              49 |                     0
     220686 |                          Duarte Jr. |                                       Saúde |              49 |                     0
     160548 |                     Jonas Donizette |                 Direitos Humanos e Minorias |              48 |                     1
      73579 |                       Alberto Fraga |                          Defesa e Segurança |              48 |                     0
     220556 |                      Ana Paula Lima |                 Direitos Humanos e Minorias |              46 |                     2
     220623 |                       Duda Salabert |                 Direitos Humanos e Minorias |              46 |                     0
     220642 |                 Delegado Bruno Lima | Meio Ambiente e Desenvolvimento Sustentável |              45 |                     0
     204534 |                       Tabata Amaral |                 Direitos Humanos e Minorias |              44 |                     1
     178887 |               Rubens Pereira Júnior |                       Administração Pública |              44 |                     0
     220553 |                       Denise Pessôa |                 Direitos Humanos e Minorias |              43 |                     1
     220550 |                     Mauricio Marcon |                       Administração Pública |              43 |                     0
     220530 |                      Messias Donato |                       Administração Pública |              43 |                     0
     220548 |                         Camila Jara |                 Direitos Humanos e Minorias |              41 |                     2
     178829 |                     Capitão Augusto |                          Defesa e Segurança |              40 |                     0
     220645 |                        Erika Hilton |                 Direitos Humanos e Minorias |              39 |                     1
     220640 |                     Juliana Cardoso |                 Direitos Humanos e Minorias |              39 |                     1
     220654 |            Delegado Paulo Bilynskyj |                          Defesa e Segurança |              39 |                     0
     220569 |                        Silvye Alves |                 Direitos Humanos e Minorias |              39 |                     0
     204535 |                        Sâmia Bomfim |                 Direitos Humanos e Minorias |              39 |                     0
      74171 |                       Chico Alencar |                       Administração Pública |              38 |                     0
     220559 |                       Julia Zanatta |                 Direitos Humanos e Minorias |              38 |                     0
     220665 |                     Clarissa Tércio |                 Direitos Humanos e Minorias |              37 |                     0
     220630 |                        Pedro Aihara |                          Defesa e Segurança |              36 |                     0
     220635 |                         Bruno Ganem | Meio Ambiente e Desenvolvimento Sustentável |              35 |                     0
     204518 |                       Dr. Frederico |                       Administração Pública |              35 |                     0
     204444 |                         Helio Lopes |                 Direitos Humanos e Minorias |              35 |                     0
     206018 |                      Célia Xakriabá |                 Direitos Humanos e Minorias |              34 |                     2
     204369 |                    Caroline de Toni |                       Administração Pública |              34 |                     0
     178929 |                        Diego Garcia |                                       Saúde |              34 |                     0
     220646 |                       Felipe Becari | Meio Ambiente e Desenvolvimento Sustentável |              34 |                     0
     204494 |                          Fred Costa | Meio Ambiente e Desenvolvimento Sustentável |              34 |                     0
     235088 |                        Ribeiro Neto |                 Direitos Humanos e Minorias |              34 |                     0
     220534 |                       Fred Linhares |                 Direitos Humanos e Minorias |              33 |                     1
     220576 |                      Alfredo Gaspar |                          Defesa e Segurança |              33 |                     0
     220663 |                   Eriberto Medeiros |                          Defesa e Segurança |              33 |                     0
     220615 |              Pastor Henrique Vieira |                 Direitos Humanos e Minorias |              33 |                     0
     160598 |                       Flávia Morais |                                       Saúde |              32 |                     2
     160575 |                         Erika Kokay |                       Administração Pública |              32 |                     0
      89536 |                Prof. Paulo Fernando |                 Direitos Humanos e Minorias |              31 |                     1
     104552 |                        Socorro Neri |                                    Educação |              31 |                     1
     204488 |                       Célio Studart | Meio Ambiente e Desenvolvimento Sustentável |              31 |                     0
     220583 |                Delegado Fabio Costa |                          Defesa e Segurança |              31 |                     0
     204479 |                           Nicoletti |                          Defesa e Segurança |              31 |                     0
     209787 |                    Nikolas Ferreira |                 Direitos Humanos e Minorias |              31 |                     0
      74253 |                         Julio Lopes |               Finanças Públicas e Orçamento |              30 |                     1
     204464 |                     Talíria Petrone |                 Direitos Humanos e Minorias |              30 |                     1
     141421 |                    Eduardo da Fonte |                 Direitos Humanos e Minorias |              30 |                     0
     160161 |                     Marcelo Queiroz | Meio Ambiente e Desenvolvimento Sustentável |              30 |                     0
     220595 |                    Coronel Fernanda |                 Direitos Humanos e Minorias |              29 |                     1
     220644 |                      Rosangela Moro |                                       Saúde |              29 |                     1
     234788 |                      Heloísa Helena |                 Direitos Humanos e Minorias |              29 |                     0
     220621 |                  Sargento Gonçalves |                          Defesa e Segurança |              29 |                     0
     220564 |                        Yandra Moura |                 Direitos Humanos e Minorias |              29 |                     0
     220704 |                       Carol Dartora |                 Direitos Humanos e Minorias |              28 |                     1
      74398 |                    Maria do Rosário |                 Direitos Humanos e Minorias |              27 |                     1
     220652 |                    Delegado Palumbo |            Direito Penal e Processual Penal |              27 |                     0
     220712 |                          Fausto Jr. |                          Defesa e Segurança |              27 |                     0
     204520 |                        Junio Amaral |                          Defesa e Segurança |              27 |                     0
     220669 |                       Lula da Fonte |                 Direitos Humanos e Minorias |              26 |                     1
     220558 |                           Zé Trovão |               Finanças Públicas e Orçamento |              26 |                     1
     220657 |                     André Fernandes |            Direito Penal e Processual Penal |              26 |                     0
     220594 |                       Coronel Assis |                          Defesa e Segurança |              26 |                     0
     220666 |                       Coronel Meira |                          Defesa e Segurança |              26 |                     0
     220557 |                     Daniela Reinehr |                          Defesa e Segurança |              26 |                     0
     220540 |                          Duda Ramos |                 Direitos Humanos e Minorias |              26 |                     0
     122974 |               Pedro Lucas Fernandes |                          Defesa e Segurança |              26 |                     0
     220546 |                    Rodolfo Nogueira |                          Defesa e Segurança |              26 |                     0
     220579 |                       Silvia Waiãpi |                          Defesa e Segurança |              26 |                     0
     123756 |                       Antônia Lúcia |                                    Educação |              25 |                     0
     123756 |                       Antônia Lúcia |                                       Saúde |              25 |                     0
     204407 |                 Fernanda Melchionna |                 Direitos Humanos e Minorias |              25 |                     0
     220648 |                           Marangoni |               Finanças Públicas e Orçamento |              25 |                     0
     220667 |                        Pedro Campos |                 Direitos Humanos e Minorias |              25 |                     0
     220613 |                Roberto Monteiro Pai |                                       Saúde |              25 |                     0
     204374 |                           Bia Kicis |                 Direitos Humanos e Minorias |              24 |                     0
     220526 |                   Gilvan da Federal |                          Defesa e Segurança |              24 |                     0
     204570 |                          Pastor Gil |                 Direitos Humanos e Minorias |              24 |                     0
      73486 |                    Pompeo de Mattos |               Finanças Públicas e Orçamento |              24 |                     0
     165470 |                   Rodrigo Valadares |                       Administração Pública |              24 |                     0
     220629 |                             Dandara |                 Direitos Humanos e Minorias |              23 |                     1
     221338 |       Professora Luciene Cavalcante |                                    Educação |              23 |                     1
     220538 |                         Albuquerque |               Finanças Públicas e Orçamento |              23 |                     0
     160512 |                       Aureo Ribeiro |               Finanças Públicas e Orçamento |              23 |                     0
     220702 |                      Geraldo Mendes |               Finanças Públicas e Orçamento |              23 |                     0
     220586 |                        Rafael Brito |                                    Educação |              23 |                     0
     160629 |                    Romero Rodrigues |                 Direitos Humanos e Minorias |              23 |                     0
     220598 |                      Tarcísio Motta |                 Direitos Humanos e Minorias |              23 |                     0
     220555 |                       Daiana Santos |                 Direitos Humanos e Minorias |              22 |                     0
     220655 |                         Mario Frias |                          Defesa e Segurança |              22 |                     0
     220655 |                         Mario Frias |                 Direitos Humanos e Minorias |              22 |                     0
     204387 |                      Sargento Fahur |                          Defesa e Segurança |              22 |                     0
     204491 |                     Gilberto Abramo |                 Direitos Humanos e Minorias |              21 |                     2
     214694 |                       Jorge Goetten |               Finanças Públicas e Orçamento |              21 |                     1
      74041 |                          Luiz Couto |                 Direitos Humanos e Minorias |              21 |                     1
     139285 |                      Lídice da Mata |                 Direitos Humanos e Minorias |              21 |                     1
     160518 |                       Weliton Prado |                                       Saúde |              21 |                     1
     220531 |                       Gilvan Maximo |               Finanças Públicas e Orçamento |              21 |                     0
     178843 |                        Marx Beltrão |                 Direitos Humanos e Minorias |              21 |                     0
     220607 |                           Max Lemos |               Finanças Públicas e Orçamento |              21 |                     0
     160604 |                         Pedro Uczai |                 Direitos Humanos e Minorias |              21 |                     0
     220543 |                       Ricardo Ayres |               Finanças Públicas e Orçamento |              21 |                     0
     204416 |                           Sanderson |                          Defesa e Segurança |              21 |                     0
      73701 |                   Benedita da Silva |                 Direitos Humanos e Minorias |              20 |                     2
     204460 |                        Carlos Jordy |                 Direitos Humanos e Minorias |              20 |                     1
      72442 |                     Felipe Carreras |               Finanças Públicas e Orçamento |              20 |                     1
     178970 |                         João Daniel |                 Direitos Humanos e Minorias |              20 |                     1
     178866 |                      Luizianne Lins |                 Direitos Humanos e Minorias |              20 |                     1
     220668 |                        Maria Arraes |                 Direitos Humanos e Minorias |              20 |                     1
     204540 |                         Maria Rosas |                 Direitos Humanos e Minorias |              20 |                     1
     220606 |                             Reimont |                 Direitos Humanos e Minorias |              20 |                     1
     204517 |                            Zé Vitor |               Finanças Públicas e Orçamento |              20 |                     1
      98148 |                          Cobalchini | Agricultura, Pecuária, Pesca e Extrativismo |              20 |                     0
     220659 |                  Dayany Bittencourt |                 Direitos Humanos e Minorias |              20 |                     0
     204457 |                     Juninho do Pneu |                 Direitos Humanos e Minorias |              20 |                     0
     220632 |                        Ana Pimentel |                 Direitos Humanos e Minorias |              19 |                     1
     204411 |                       Filipe Barros |               Finanças Públicas e Orçamento |              19 |                     1
     220529 |                       Gilson Daniel |               Finanças Públicas e Orçamento |              19 |                     1
     220641 |                     Rodrigo Gambale |                 Direitos Humanos e Minorias |              19 |                     1
     137070 |                   Vicentinho Júnior |               Finanças Públicas e Orçamento |              19 |                     1
     204411 |                       Filipe Barros |                                    Economia |              19 |                     0
     220566 |                         Lêda Borges |                 Direitos Humanos e Minorias |              19 |                     0
     220633 |                      Ricardo Salles |               Finanças Públicas e Orçamento |              19 |                     0
     204406 |                    Pedro Westphalen |               Finanças Públicas e Orçamento |              18 |                     1
     160601 |                 Pr. Marco Feliciano |                 Direitos Humanos e Minorias |              18 |                     1
     220549 |                           Any Ortiz |                 Direitos Humanos e Minorias |              18 |                     0
     204388 |                          Bibo Nunes |                          Defesa e Segurança |              18 |                     0
     222142 |                     Coronel Telhada |                          Defesa e Segurança |              18 |                     0
     204410 |                      Luisa Canziani |                                    Educação |              18 |                     0
     220707 |                       Amanda Gentil |                 Direitos Humanos e Minorias |              17 |                     2
     220625 |                       Delegada Ione |                 Direitos Humanos e Minorias |              17 |                     1
      74784 |                      Luiza Erundina |                 Direitos Humanos e Minorias |              17 |                     1
     220703 |                       Neto Carletto |                 Direitos Humanos e Minorias |              17 |                     1
     157130 |                       Túlio Gadêlha |                 Direitos Humanos e Minorias |              17 |                     1
     220593 |                      Abilio Brunini |                                       Saúde |              17 |                     0
     220608 |                     Cristiane Lopes |                          Defesa e Segurança |              17 |                     0
     204511 |                        David Soares |  Processo Legislativo e Atuação Parlamentar |              17 |                     0
     220705 |                    Deltan Dallagnol |                       Administração Pública |              17 |                     0
     160666 |               Félix Mendonça Júnior |               Finanças Públicas e Orçamento |              17 |                     0
      74428 |                      Mendonça Filho |               Finanças Públicas e Orçamento |              17 |                     0
     161440 |                             Pezenti |  Processo Legislativo e Atuação Parlamentar |              17 |                     0
     204559 |                             Zé Neto |               Finanças Públicas e Orçamento |              17 |                     0
     143632 |                       Domingos Neto |               Finanças Públicas e Orçamento |              16 |                     1
     220674 |               Dra. Alessandra Haber |                 Direitos Humanos e Minorias |              16 |                     1
     220551 |                     Franciane Bayer |                 Direitos Humanos e Minorias |              16 |                     1
      74585 |                     Lincoln Portela |                 Direitos Humanos e Minorias |              16 |                     1
     224333 |                              Welter |               Finanças Públicas e Orçamento |              16 |                     1
     213762 |                       Carla Dickson |                 Direitos Humanos e Minorias |              16 |                     0
     220590 |                     Coronel Ulysses |                          Defesa e Segurança |              16 |                     0
     220687 |                     Márcio Honaiser |               Finanças Públicas e Orçamento |              16 |                     0
      74057 |                      Alice Portugal |                       Administração Pública |              15 |                     1
     220614 |                   Dr. Daniel Soranz |                                       Saúde |              15 |                     1
     220628 |                   Mauricio do Vôlei |               Finanças Públicas e Orçamento |              15 |                     1
      74371 |                        Rubens Otoni |                 Direitos Humanos e Minorias |              15 |                     1
      74696 |                      Alberto Mourão |                       Administração Pública |              15 |                     0
     178972 |                        Alex Manente |                 Direitos Humanos e Minorias |              15 |                     0
     204378 |                 Coronel Chrisóstomo |                          Defesa e Segurança |              15 |                     0
     220610 |                 Dr. Fernando Máximo |                          Defesa e Segurança |              15 |                     0
     204427 |                    Fernando Rodolfo |               Finanças Públicas e Orçamento |              15 |                     0
     204473 |                       General Girão |                          Defesa e Segurança |              15 |                     0
     220611 |                    General Pazuello |  Processo Legislativo e Atuação Parlamentar |              15 |                     0
     204391 |                          José Nelto |                                       Saúde |              15 |                     0
     160642 |                       Pastor Eurico |                          Defesa e Segurança |              15 |                     0
     220580 |                   Professora Goreth |                                    Educação |              15 |                     0
     220588 |                      Roberto Duarte |               Finanças Públicas e Orçamento |              15 |                     0
     220588 |                      Roberto Duarte |  Processo Legislativo e Atuação Parlamentar |              15 |                     0
     204360 |                     Silvia Cristina |                                       Saúde |              15 |                     0
     160610 |                     Valmir Assunção |                 Direitos Humanos e Minorias |              15 |                     0
     204396 |                            Vermelho |               Finanças Públicas e Orçamento |              15 |                     0
     220565 |            Delegada Adriana Accorsi |                 Direitos Humanos e Minorias |              14 |                     2
     220700 |                     Florentino Neto |                 Direitos Humanos e Minorias |              14 |                     2
     220599 |                    Marcelo Crivella |                 Direitos Humanos e Minorias |              14 |                     2
     220542 |                 Alexandre Guimarães |  Processo Legislativo e Atuação Parlamentar |              14 |                     1
     133439 |                    André Figueiredo |               Finanças Públicas e Orçamento |              14 |                     1
      88256 |                 Clodoaldo Magalhães |                 Direitos Humanos e Minorias |              14 |                     1
     204453 |                   Natália Bonavides |                 Direitos Humanos e Minorias |              14 |                     1
     178986 |                         Nilto Tatto |                 Direitos Humanos e Minorias |              14 |                     1
     204395 |                        Pedro Lupion |               Finanças Públicas e Orçamento |              14 |                     1
     204557 |                        Sidney Leite |               Finanças Públicas e Orçamento |              14 |                     1
      74283 |                          Vicentinho |                 Direitos Humanos e Minorias |              14 |                     1
     220536 |                Zé Haroldo Cathedral |                                       Saúde |              14 |                     1
     178937 |                      Altineu Côrtes |  Processo Legislativo e Atuação Parlamentar |              14 |                     0
     204507 |                      Carla Zambelli |                          Defesa e Segurança |              14 |                     0
     204481 |                          Dr. Jaziel |                 Direitos Humanos e Minorias |              14 |                     0
     220587 |                        Gerlen Diniz |               Finanças Públicas e Orçamento |              14 |                     0
      80815 |                          Leo Prates |                                       Saúde |              14 |                     0
      74858 |                    Lindbergh Farias |                          Trabalho e Emprego |              14 |                     0
     204525 |                        Rosana Valle |                 Direitos Humanos e Minorias |              14 |                     0
     220552 |                               Zucco |                          Defesa e Segurança |              14 |                     0
     141555 |                   Vinicius Carvalho |                 Direitos Humanos e Minorias |              13 |                     2
     178908 |                 Delegado Éder Mauro |                 Direitos Humanos e Minorias |              13 |                     1
     220656 |                     Fernanda Pessoa |                 Direitos Humanos e Minorias |              13 |                     1
     220696 |                    Ivoneide Caetano |                 Direitos Humanos e Minorias |              13 |                     1
      74273 |                    Jefferson Campos |                 Direitos Humanos e Minorias |              13 |                     1
     179000 |              Marcelo Álvaro Antônio |                 Direitos Humanos e Minorias |              13 |                     1
     178985 |                     Miguel Lombardi |                 Direitos Humanos e Minorias |              13 |                     1
     220584 |                      Murilo Galdino |                 Direitos Humanos e Minorias |              13 |                     1
     178881 |                      Aluisio Mendes |                          Defesa e Segurança |              13 |                     0
     160665 |                    Augusto Coutinho |               Finanças Públicas e Orçamento |              13 |                     0
      69871 |                             Bacelar |               Finanças Públicas e Orçamento |              13 |                     0
     178993 |              Carlos Henrique Gaguim |                 Direitos Humanos e Minorias |              13 |                     0
     220571 |                      Daniel Agrobom |                 Direitos Humanos e Minorias |              13 |                     0
     178908 |                 Delegado Éder Mauro |  Processo Legislativo e Atuação Parlamentar |              13 |                     0
     220528 |                 Dr. Victor Linhalis |                 Direitos Humanos e Minorias |              13 |                     0
     204412 |                 Dr. Zacharias Calil |                 Direitos Humanos e Minorias |              13 |                     0
     204412 |                 Dr. Zacharias Calil |  Processo Legislativo e Atuação Parlamentar |              13 |                     0
     204412 |                 Dr. Zacharias Calil |                                       Saúde |              13 |                     0
      92346 |                   Eduardo Bolsonaro |                       Administração Pública |              13 |                     0
     220656 |                     Fernanda Pessoa |                                       Saúde |              13 |                     0
      74374 |                     Geraldo Resende |                                       Saúde |              13 |                     0
     178873 |                      Helder Salomão |                       Administração Pública |              13 |                     0
     204539 |               Hercílio Coelho Diniz |                 Direitos Humanos e Minorias |              13 |                     0
     220527 |                          Jack Rocha |                 Direitos Humanos e Minorias |              13 |                     0
     178910 |                  Joaquim Passarinho |               Finanças Públicas e Orçamento |              13 |                     0
      98057 |                Lafayette de Andrada |  Processo Legislativo e Atuação Parlamentar |              13 |                     0
     160569 |                    Waldenor Pereira |                 Direitos Humanos e Minorias |              13 |                     0
     220676 |                    Andreia Siqueira |                 Direitos Humanos e Minorias |              12 |                     1
     204355 |                          Da Vitoria |               Finanças Públicas e Orçamento |              12 |                     1
     178954 |                      Lucio Mosquini |               Finanças Públicas e Orçamento |              12 |                     1
     220554 |               Alexandre Lindenmeyer |                       Administração Pública |              12 |                     0
     220554 |               Alexandre Lindenmeyer |                 Direitos Humanos e Minorias |              12 |                     0
      73433 |                   Arlindo Chinaglia |                       Administração Pública |              12 |                     0
      73441 |                    Celso Russomanno |  Processo Legislativo e Atuação Parlamentar |              12 |                     0
     220619 |                    Delegado Ramagem |                          Defesa e Segurança |              12 |                     0
     220602 |                       Dimas Gadelha |               Finanças Públicas e Orçamento |              12 |                     0
     160758 |                      Domingos Sávio |  Processo Legislativo e Atuação Parlamentar |              12 |                     0
     178857 |                         Jorge Solla |                       Administração Pública |              12 |                     0
     204550 |                         Júnior Mano |                 Direitos Humanos e Minorias |              12 |                     0
     204550 |                         Júnior Mano |               Finanças Públicas e Orçamento |              12 |                     0
     231911 |                      Lenir de Assis |                 Direitos Humanos e Minorias |              12 |                     0
      74156 |                   Leonardo Monteiro |                 Direitos Humanos e Minorias |              12 |                     0
     178954 |                      Lucio Mosquini |                         Estrutura Fundiária |              12 |                     0
     166402 |                       Magda Mofatto |  Processo Legislativo e Atuação Parlamentar |              12 |                     0
     160535 |                              Marcon |                 Direitos Humanos e Minorias |              12 |                     0
     220617 |                      Murillo Gouvea |                 Direitos Humanos e Minorias |              12 |                     0
     220617 |                      Murillo Gouvea |               Finanças Públicas e Orçamento |              12 |                     0
     204441 |                      Otoni de Paula |  Processo Legislativo e Atuação Parlamentar |              12 |                     0
     220597 |                       Thiago Flores |                          Defesa e Segurança |              12 |                     0
     220684 |                       Tião Medeiros |                       Administração Pública |              12 |                     0
     220539 |               Defensor Stélio Dener |                 Direitos Humanos e Minorias |              11 |                     2
     220670 |                          Iza Arruda |                                       Saúde |              11 |                     2
     221148 |                          Alfredinho |                 Direitos Humanos e Minorias |              11 |                     1
     220545 |                      Filipe Martins |                 Direitos Humanos e Minorias |              11 |                     1
     160673 |                     Giovani Cherini |               Finanças Públicas e Orçamento |              11 |                     1
     220563 |                     Icaro de Valmir |               Finanças Públicas e Orçamento |              11 |                     1
      98615 |                              Ismael |                 Direitos Humanos e Minorias |              11 |                     1
     141470 |                      José Guimarães |               Finanças Públicas e Orçamento |              11 |                     1
     219585 |                        Marco Brasil |               Finanças Públicas e Orçamento |              11 |                     1
     178946 |                       Soraya Santos |                 Direitos Humanos e Minorias |              11 |                     1
     221328 |                     Adilson Barroso |  Processo Legislativo e Atuação Parlamentar |              11 |                     0
