Q2 - eixos tematicos, nuvens de eixos e atuacao parlamentar
Resumo executivo - periodo consolidado
  periodo | deputados | temas | registros_deputado_tema | proposicoes | proposicoes_aprovadas
----------+-----------+-------+-------------------------+-------------+----------------------
2023-2026 |       588 |    32 |                   12216 |       61391 |                   927
(1 rows)

Tabela analitica - deputados por tema (2023-2026)
id_deputado |                                nome |                                        tema | qtd_proposicoes | proposicoes_aprovadas | maior_atuacao_no_tema |                                                                                                                                                                                       tema_mais_atuante_deputado
------------+-------------------------------------+---------------------------------------------+-----------------+-----------------------+-----------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      74084 |                     Raimundo Santos |                 Direitos Humanos e Minorias |             374 |                     1 |                   Sim |                                                                                                                                                                                      Direitos Humanos e Minorias
     220715 |                         Amom Mandel |                       Administração Pública |             329 |                     0 |                   Sim |                                                                                                                                                                                            Administração Pública
      74084 |                     Raimundo Santos |                                    Educação |             328 |                     0 |                   Nao |                                                                                                                                                                                      Direitos Humanos e Minorias
      74084 |                     Raimundo Santos | Meio Ambiente e Desenvolvimento Sustentável |             288 |                     0 |                   Nao |                                                                                                                                                                                      Direitos Humanos e Minorias
      74084 |                     Raimundo Santos |                             Esporte e Lazer |             280 |                     0 |                   Nao |                                                                                                                                                                                      Direitos Humanos e Minorias
     220715 |                         Amom Mandel |                                    Educação |             238 |                     1 |                   Nao |                                                                                                                                                                                            Administração Pública
      74084 |                     Raimundo Santos |               Finanças Públicas e Orçamento |             231 |                     1 |                   Nao |                                                                                                                                                                                      Direitos Humanos e Minorias
     204528 |                     Adriana Ventura |                       Administração Pública |             229 |                     0 |                   Sim |                                                                                                                                                                                            Administração Pública
      74084 |                     Raimundo Santos |                          Defesa e Segurança |             176 |                     0 |                   Nao |                                                                                                                                                                                      Direitos Humanos e Minorias
      74084 |                     Raimundo Santos |                                    Economia |             171 |                     0 |                   Nao |                                                                                                                                                                                      Direitos Humanos e Minorias
      74356 |                        Silas Câmara |                                Comunicações |             168 |                     0 |                   Sim |                                                                                                                                                                                                     Comunicações
      74356 |                        Silas Câmara |              Ciência, Tecnologia e Inovação |             167 |                     0 |                   Nao |                                                                                                                                                                                                     Comunicações
      74084 |                     Raimundo Santos |                       Administração Pública |             151 |                     0 |                   Nao |                                                                                                                                                                                      Direitos Humanos e Minorias
      74084 |                     Raimundo Santos |                                Comunicações |             143 |                     0 |                   Nao |                                                                                                                                                                                      Direitos Humanos e Minorias
      74084 |                     Raimundo Santos |                                     Turismo |             143 |                     0 |                   Nao |                                                                                                                                                                                      Direitos Humanos e Minorias
      74084 |                     Raimundo Santos |              Ciência, Tecnologia e Inovação |             142 |                     0 |                   Nao |                                                                                                                                                                                      Direitos Humanos e Minorias
     220604 |                      Marcos Tavares |                                       Saúde |             140 |                     0 |                   Sim |                                                                                                                                                                                                            Saúde
      74084 |                     Raimundo Santos |                          Trabalho e Emprego |             137 |                     0 |                   Nao |                                                                                                                                                                                      Direitos Humanos e Minorias
     220715 |                         Amom Mandel |                 Direitos Humanos e Minorias |             136 |                     0 |                   Nao |                                                                                                                                                                                            Administração Pública
