SET
        token        | freq 
---------------------+------
 arecer              | 5387
 equer               | 5142
 equerimento         | 4439
 pela                | 4347
 auta                | 3818
 omisso              | 3744
 stado               | 3399
 sobre               | 3261
 etirada             | 3095
 atria               | 2706
 otao                | 2447
 acional             | 2291
 aprovao             | 2225
 ltera               | 1749
 providncias         | 1691
 servios             | 1667
 informaes           | 1611
 ominal              | 1597
 elator              | 1562
 ouvor               | 1561
 pelos               | 1514
 realizao            | 1494
 prestados           | 1465
 egozijo             | 1442
 rojeto              | 1367
 excelentes          | 1334
 unicpio             | 1296
 outras              | 1274
 diamento            | 1237
 exarado             | 1207
 aneiro              | 1187
 inistro             | 1152
 ederal              | 1095
 2026                | 1076
 inistrio            | 1043
 pelo                | 1039
 2025                |  987
 acerca              |  984
 elatora             |  923
 nstitui             |  898
 ubstitutivo         |  880
 dezembro            |  880
 art                 |  877
 como                |  836
 ispe                |  820
 nos                 |  818
 blica               |  818
 apreciao            |  790
 pblica              |  759
 nverso              |  757
 olicita             |  748
 substitutivo        |  734
 ugere               |  733
 servio              |  725
 rasil               |  715
 rograma             |  707
 tcnica              |  707
 nio                 |  703
 debater             |  691
 mbito               |  683
 menda               |  681
 ato                 |  677
 ade                 |  672
 adoo                |  645
 radiodifuso         |  634
 incluso             |  616
 iscusso             |  609
 anos                |  608
 legislativa         |  604
 constitucionalidade |  591
 juridicidade        |  581
 medidas             |  542
 direito             |  533
 deste               |  530
 municpio            |  528
 digo                |  526
 pblicas             |  522
 redao               |  516
 sem                 |  509
 adotado             |  503
 executar            |  495
 aes                 |  491
 lenrio              |  490
 enhor               |  488
 ongresso            |  487
 prazo               |  485
 oltica              |  477
 janeiro             |  472
 dispor              |  470
 edao                |  469
 julho               |  463
 nova                |  462
 inal                |  458
 rabalho             |  442
 altera              |  439
 onstituio           |  434
 rgente              |  434
 ustia               |  433
 contra              |  432
 nacional            |  428
 sade                |  425
 setembro            |  415
 exclusividade       |  414
 ilva                |  414
 ficial              |  410
 termos              |  409
 udincia             |  407
 mara                |  404
 egurana             |  403
 proteo              |  402
 istema              |  389
 segurana            |  389
 audincia            |  389
 olene               |  389
 eputados            |  377
 forma               |  376
 efesa               |  376
 enal                |  374
 esenvolvimento      |  373
 ducao               |  369
 dez                 |  368
 omplementar         |  361
 ortaria             |  361
 inas                |  360
 polticas            |  360
 bem                 |  359
 sonora              |  356
 estabelece          |  353
 ubmete              |  350
 enado               |  350
 implantao           |  345
 epblica             |  344
 ecretoei            |  343
 2024                |  342
 novembro            |  340
 esso                |  339
 constante           |  332
 impactos            |  330
 irio                |  329
 aulo                |  326
 ocial               |  324
 antos               |  319
 sua                 |  314
 conclui             |  313
 tda                 |  313
 outubro             |  311
 violncia            |  309
 rdem                |  308
 viabilizar          |  302
 nas                 |  302
 pessoas             |  302
 recursos            |  302
 diretrizes          |  299
 estaque             |  294
 renova              |  294
 ivil                |  292
 publicada           |  292
 encaminha           |  291
 estabelecer         |  290
 pblicos             |  289
 ssociao             |  283
 ncleos              |  281
 frequncia           |  281
 estimular           |  281
 xcelentssimo        |  277
 modulada            |  277
 prova               |  277
 trabalho            |  276
 urgncia             |  270
 ervios              |  270
 implementao         |  269
 entre               |  269
 agentes             |  267
 uso                 |  267
 agosto              |  266
 institui            |  263
 olcia               |  263
 outorga             |  263
 rejeio              |  262
 dispe               |  260
 ireitos             |  256
 regime              |  255
 1990                |  255
 desenvolvimento     |  254
 dio                 |  253
 nico                |  252
 meio                |  251
 homenagem           |  251
 mrito               |  249
 2023                |  248
 comunica            |  248
 special             |  246
 processado          |  242
 idade               |  239
 critrios            |  239
 comunitria          |  236
 maio                |  233
 quanto              |  232
 preveno             |  232
 nterno              |  231
(200 rows)

