Q3 - votos por deputado e eixo de atuacao
 ano_dados | id_deputado |                nome                 |         eixo_maior          | votos_sim | votos_nao | abstencoes | votos_total 
-----------+-------------+-------------------------------------+-----------------------------+-----------+-----------+------------+-------------
      2023 |      220593 | Abilio Brunini                      | Outros                      |        96 |        88 |          7 |         231
      2023 |      220593 | Abilio Brunini                      | Economico                   |        64 |        65 |          6 |         166
      2023 |      220593 | Abilio Brunini                      | Institucional e juridico    |        53 |        52 |          3 |         126
      2023 |      220593 | Abilio Brunini                      | Social                      |        39 |        36 |          1 |          84
      2023 |      220593 | Abilio Brunini                      | Infraestrutura e tecnologia |        16 |         9 |          0 |          38
      2023 |      220593 | Abilio Brunini                      | Ambiental e energetico      |        14 |        12 |          1 |          27
      2023 |      220593 | Abilio Brunini                      | Cultura e sociedade         |         1 |         1 |          0 |           7
      2023 |      220593 | Abilio Brunini                      | Seguranca                   |         5 |         2 |          0 |           7
      2023 |      204379 | Acácio Favacho                      | Outros                      |       122 |        84 |          0 |         206
      2023 |      204379 | Acácio Favacho                      | Economico                   |        82 |        67 |          0 |         149
      2023 |      204379 | Acácio Favacho                      | Institucional e juridico    |        62 |        50 |          0 |         112
      2023 |      204379 | Acácio Favacho                      | Social                      |        41 |        41 |          0 |          82
      2023 |      204379 | Acácio Favacho                      | Infraestrutura e tecnologia |        15 |        21 |          0 |          36
      2023 |      204379 | Acácio Favacho                      | Ambiental e energetico      |        13 |         7 |          0 |          20
      2023 |      204379 | Acácio Favacho                      | Cultura e sociedade         |         4 |         3 |          0 |           7
      2023 |      204379 | Acácio Favacho                      | Seguranca                   |         3 |         4 |          0 |           7
      2023 |      220714 | Adail Filho                         | Outros                      |       150 |        94 |          0 |         244
      2023 |      220714 | Adail Filho                         | Economico                   |        98 |        73 |          0 |         171
      2023 |      220714 | Adail Filho                         | Institucional e juridico    |        85 |        50 |          0 |         135
      2023 |      220714 | Adail Filho                         | Social                      |        51 |        38 |          0 |          89
      2023 |      220714 | Adail Filho                         | Infraestrutura e tecnologia |        20 |        23 |          0 |          43
      2023 |      220714 | Adail Filho                         | Ambiental e energetico      |        18 |         9 |          0 |          27
      2023 |      220714 | Adail Filho                         | Cultura e sociedade         |         4 |         4 |          0 |           8
      2023 |      220714 | Adail Filho                         | Seguranca                   |         4 |         4 |          0 |           8
      2023 |      221328 | Adilson Barroso                     | Outros                      |       109 |        82 |          4 |         240
      2023 |      221328 | Adilson Barroso                     | Economico                   |        76 |        60 |          4 |         171
      2023 |      221328 | Adilson Barroso                     | Institucional e juridico    |        60 |        53 |          1 |         136
      2023 |      221328 | Adilson Barroso                     | Social                      |        43 |        36 |          0 |          89
      2023 |      221328 | Adilson Barroso                     | Infraestrutura e tecnologia |        16 |        12 |          1 |          44
      2023 |      221328 | Adilson Barroso                     | Ambiental e energetico      |        17 |         8 |          0 |          25
      2023 |      221328 | Adilson Barroso                     | Seguranca                   |         4 |         5 |          0 |           9
      2023 |      221328 | Adilson Barroso                     | Cultura e sociedade         |         1 |         1 |          1 |           8
      2023 |      204560 | Adolfo Viana                        | Outros                      |        84 |        44 |          0 |         128
      2023 |      204560 | Adolfo Viana                        | Economico                   |        64 |        35 |          0 |          99
      2023 |      204560 | Adolfo Viana                        | Institucional e juridico    |        41 |        19 |          0 |          60
      2023 |      204560 | Adolfo Viana                        | Social                      |        28 |        10 |          0 |          38
      2023 |      204560 | Adolfo Viana                        | Infraestrutura e tecnologia |         8 |        10 |          0 |          18
      2023 |      204560 | Adolfo Viana                        | Ambiental e energetico      |        12 |         4 |          0 |          16
      2023 |      204560 | Adolfo Viana                        | Seguranca                   |         2 |         3 |          0 |           5
      2023 |      204560 | Adolfo Viana                        | Cultura e sociedade         |         3 |         1 |          0 |           4
      2023 |      204528 | Adriana Ventura                     | Outros                      |       104 |        99 |          0 |         253
      2023 |      204528 | Adriana Ventura                     | Economico                   |        77 |        66 |          0 |         179
      2023 |      204528 | Adriana Ventura                     | Institucional e juridico    |        61 |        58 |          0 |         140
      2023 |      204528 | Adriana Ventura                     | Social                      |        49 |        31 |          0 |          90
      2023 |      204528 | Adriana Ventura                     | Infraestrutura e tecnologia |        13 |        16 |          0 |          43
      2023 |      204528 | Adriana Ventura                     | Ambiental e energetico      |        16 |        11 |          0 |          27
      2023 |      204528 | Adriana Ventura                     | Seguranca                   |         4 |         6 |          0 |          10
      2023 |      204528 | Adriana Ventura                     | Cultura e sociedade         |         1 |         2 |          0 |           8
      2023 |      121948 | Adriano do Baldy                    | Outros                      |       137 |       104 |          0 |         241
      2023 |      121948 | Adriano do Baldy                    | Economico                   |        91 |        79 |          0 |         170
      2023 |      121948 | Adriano do Baldy                    | Institucional e juridico    |        76 |        57 |          0 |         133
      2023 |      121948 | Adriano do Baldy                    | Social                      |        44 |        43 |          0 |          87
      2023 |      121948 | Adriano do Baldy                    | Infraestrutura e tecnologia |        19 |        20 |          0 |          39
      2023 |      121948 | Adriano do Baldy                    | Ambiental e energetico      |        17 |         5 |          0 |          22
      2023 |      121948 | Adriano do Baldy                    | Seguranca                   |         4 |         6 |          0 |          10
      2023 |      121948 | Adriano do Baldy                    | Cultura e sociedade         |         4 |         4 |          0 |           8
      2023 |       74646 | Aécio Neves                         | Outros                      |        95 |        52 |          0 |         147
      2023 |       74646 | Aécio Neves                         | Economico                   |        73 |        42 |          0 |         115
      2023 |       74646 | Aécio Neves                         | Institucional e juridico    |        52 |        32 |          0 |          84
      2023 |       74646 | Aécio Neves                         | Social                      |        37 |        21 |          0 |          58
      2023 |       74646 | Aécio Neves                         | Infraestrutura e tecnologia |         5 |        13 |          0 |          18
      2023 |       74646 | Aécio Neves                         | Ambiental e energetico      |        10 |         5 |          0 |          15
      2023 |       74646 | Aécio Neves                         | Cultura e sociedade         |         2 |         2 |          0 |           4
      2023 |       74646 | Aécio Neves                         | Seguranca                   |         1 |         2 |          0 |           3
      2023 |      160508 | Afonso Florence                     | Economico                   |         1 |         2 |          0 |           3
      2023 |      160508 | Afonso Florence                     | Outros                      |         1 |         2 |          0 |           3
      2023 |      136811 | Afonso Hamm                         | Outros                      |        86 |        90 |          0 |         176
      2023 |      136811 | Afonso Hamm                         | Economico                   |        63 |        75 |          0 |         138
      2023 |      136811 | Afonso Hamm                         | Institucional e juridico    |        43 |        53 |          0 |          96
      2023 |      136811 | Afonso Hamm                         | Social                      |        31 |        35 |          0 |          66
      2023 |      136811 | Afonso Hamm                         | Infraestrutura e tecnologia |        11 |        15 |          0 |          26
      2023 |      136811 | Afonso Hamm                         | Ambiental e energetico      |         9 |        10 |          0 |          19
      2023 |      136811 | Afonso Hamm                         | Seguranca                   |         0 |         1 |          0 |           1
      2023 |      178835 | Afonso Motta                        | Outros                      |       151 |       130 |          0 |         281
      2023 |      178835 | Afonso Motta                        | Economico                   |        90 |        92 |          0 |         182
      2023 |      178835 | Afonso Motta                        | Institucional e juridico    |        81 |        55 |          0 |         136
      2023 |      178835 | Afonso Motta                        | Social                      |        44 |        48 |          0 |          92
      2023 |      178835 | Afonso Motta                        | Infraestrutura e tecnologia |        21 |        40 |          0 |          61
      2023 |      178835 | Afonso Motta                        | Ambiental e energetico      |        14 |         9 |          0 |          23
      2023 |      178835 | Afonso Motta                        | Seguranca                   |         6 |         4 |          0 |          10
      2023 |      178835 | Afonso Motta                        | Cultura e sociedade         |         4 |         4 |          0 |           8
      2023 |      160527 | Aguinaldo Ribeiro                   | Outros                      |        92 |        52 |          0 |         147
      2023 |      160527 | Aguinaldo Ribeiro                   | Economico                   |        67 |        47 |          0 |         117
      2023 |      160527 | Aguinaldo Ribeiro                   | Institucional e juridico    |        54 |        32 |          0 |          89
      2023 |      160527 | Aguinaldo Ribeiro                   | Social                      |        35 |        24 |          0 |          60
      2023 |      160527 | Aguinaldo Ribeiro                   | Ambiental e energetico      |        13 |         8 |          0 |          21
      2023 |      160527 | Aguinaldo Ribeiro                   | Infraestrutura e tecnologia |        10 |         9 |          0 |          19
      2023 |      160527 | Aguinaldo Ribeiro                   | Cultura e sociedade         |         1 |         3 |          0 |           4
      2023 |      160527 | Aguinaldo Ribeiro                   | Seguranca                   |         0 |         2 |          0 |           2
      2023 |      204495 | Airton Faleiro                      | Outros                      |       122 |        91 |          0 |         213
      2023 |      204495 | Airton Faleiro                      | Economico                   |        82 |        73 |          0 |         155
      2023 |      204495 | Airton Faleiro                      | Institucional e juridico    |        62 |        51 |          0 |         113
      2023 |      204495 | Airton Faleiro                      | Social                      |        36 |        41 |          0 |          77
      2023 |      204495 | Airton Faleiro                      | Infraestrutura e tecnologia |        20 |        14 |          0 |          34
      2023 |      204495 | Airton Faleiro                      | Ambiental e energetico      |        11 |        13 |          0 |          24
      2023 |      204495 | Airton Faleiro                      | Seguranca                   |         5 |         4 |          0 |           9
      2023 |      204495 | Airton Faleiro                      | Cultura e sociedade         |         4 |         3 |          0 |           7
      2023 |      204549 | AJ Albuquerque                      | Outros                      |       105 |        74 |          0 |         180
      2023 |      204549 | AJ Albuquerque                      | Economico                   |        69 |        58 |          0 |         127
      2023 |      204549 | AJ Albuquerque                      | Institucional e juridico    |        53 |        37 |          0 |          90
      2023 |      204549 | AJ Albuquerque                      | Social                      |        29 |        32 |          0 |          61
      2023 |      204549 | AJ Albuquerque                      | Infraestrutura e tecnologia |        14 |        14 |          0 |          28
      2023 |      204549 | AJ Albuquerque                      | Ambiental e energetico      |         9 |         4 |          0 |          13
      2023 |      204549 | AJ Albuquerque                      | Seguranca                   |         4 |         3 |          0 |           7
      2023 |      204549 | AJ Albuquerque                      | Cultura e sociedade         |         2 |         0 |          0 |           2
      2023 |       73579 | Alberto Fraga                       | Outros                      |       108 |        97 |          0 |         230
      2023 |       73579 | Alberto Fraga                       | Economico                   |        73 |        72 |          0 |         162
      2023 |       73579 | Alberto Fraga                       | Institucional e juridico    |        62 |        62 |          0 |         137
      2023 |       73579 | Alberto Fraga                       | Social                      |        44 |        43 |          0 |          92
      2023 |       73579 | Alberto Fraga                       | Infraestrutura e tecnologia |        15 |        10 |          0 |          33
      2023 |       73579 | Alberto Fraga                       | Ambiental e energetico      |        18 |        10 |          0 |          28
      2023 |       73579 | Alberto Fraga                       | Seguranca                   |         7 |         4 |          0 |          11
      2023 |       73579 | Alberto Fraga                       | Cultura e sociedade         |         0 |         2 |          0 |           7
      2023 |       74696 | Alberto Mourão                      | Outros                      |       104 |        72 |          0 |         176
      2023 |       74696 | Alberto Mourão                      | Economico                   |        76 |        56 |          0 |         132
      2023 |       74696 | Alberto Mourão                      | Institucional e juridico    |        56 |        38 |          0 |          94
      2023 |       74696 | Alberto Mourão                      | Social                      |        37 |        27 |          0 |          64
      2023 |       74696 | Alberto Mourão                      | Ambiental e energetico      |        16 |         7 |          0 |          23
      2023 |       74696 | Alberto Mourão                      | Infraestrutura e tecnologia |        11 |         6 |          0 |          17
      2023 |       74696 | Alberto Mourão                      | Seguranca                   |         2 |         3 |          0 |           5
      2023 |       74696 | Alberto Mourão                      | Cultura e sociedade         |         1 |         0 |          0 |           1
      2023 |      220538 | Albuquerque                         | Outros                      |       130 |        93 |          0 |         223
      2023 |      220538 | Albuquerque                         | Economico                   |        91 |        76 |          0 |         167
      2023 |      220538 | Albuquerque                         | Institucional e juridico    |        75 |        51 |          0 |         126
      2023 |      220538 | Albuquerque                         | Social                      |        48 |        38 |          0 |          86
      2023 |      220538 | Albuquerque                         | Infraestrutura e tecnologia |        14 |        24 |          0 |          38
      2023 |      220538 | Albuquerque                         | Ambiental e energetico      |        18 |         8 |          0 |          26
      2023 |      220538 | Albuquerque                         | Cultura e sociedade         |         4 |         4 |          0 |           8
      2023 |      220538 | Albuquerque                         | Seguranca                   |         2 |         2 |          0 |           4
      2023 |      160559 | Alceu Moreira                       | Outros                      |       106 |        81 |          0 |         187
      2023 |      160559 | Alceu Moreira                       | Economico                   |        68 |        67 |          0 |         135
      2023 |      160559 | Alceu Moreira                       | Institucional e juridico    |        58 |        37 |          0 |          95
      2023 |      160559 | Alceu Moreira                       | Social                      |        36 |        31 |          0 |          67
      2023 |      160559 | Alceu Moreira                       | Infraestrutura e tecnologia |        15 |        15 |          0 |          30
      2023 |      160559 | Alceu Moreira                       | Ambiental e energetico      |        17 |         6 |          0 |          23
      2023 |      160559 | Alceu Moreira                       | Cultura e sociedade         |         5 |         2 |          0 |           7
      2023 |      160559 | Alceu Moreira                       | Seguranca                   |         2 |         3 |          0 |           5
      2023 |      204501 | Alencar Santana                     | Outros                      |       164 |       148 |          0 |         312
      2023 |      204501 | Alencar Santana                     | Economico                   |        95 |        95 |          0 |         190
      2023 |      204501 | Alencar Santana                     | Institucional e juridico    |        75 |        58 |          0 |         133
      2023 |      204501 | Alencar Santana                     | Social                      |        47 |        53 |          0 |         100
      2023 |      204501 | Alencar Santana                     | Infraestrutura e tecnologia |        33 |        39 |          0 |          72
      2023 |      204501 | Alencar Santana                     | Ambiental e energetico      |        16 |        14 |          0 |          30
      2023 |      204501 | Alencar Santana                     | Seguranca                   |         3 |         6 |          0 |           9
      2023 |      204501 | Alencar Santana                     | Cultura e sociedade         |         4 |         3 |          0 |           7
