q4_escolaridade_complementar

 escolaridade            | sigla_partido | id_deputado | nome                                                
-------------------------+---------------+-------------+-----------------------------------------------------
 Doutorado               | NOVO          |      204528 | ADRIANA MIGUEL VENTURA                              
 Doutorado               | PDT           |      204496 | CELSO SABINO DE OLIVEIRA                            
 Doutorado               | PL            |      204473 | ELIÉSER GIRÃO MONTEIRO FILHO                        
 Doutorado               | PODE          |      220648 | FERNANDO JOSE DE SOUZA MARANGONI                    
 Doutorado               | PP            |      104552 | MARIA DO SOCORRO NERI MEDEIROS DE SOUZA             
 Doutorado               | PSD           |      220614 | DANIEL RICARDO SORANZ PINTO                         
 Doutorado               | PSOL          |      206018 | CÉLIA NUNES CORREA                                  
 Doutorado               | PSOL          |      220598 | TARCISIO MOTTA DE CARVALHO                          
 Doutorado               | PT            |      204503 | ALEXANDRE ROCHA SANTOS PADILHA                      
 Doutorado               | PT            |      220632 | ANA CRISTINA DE LIMA PIMENTEL                       
 Doutorado               | PT            |      229106 | CARLA SIMARA LUCIANA DA SILVA AYRES                 
 Doutorado               | PT            |      132504 | ENIO JOSÉ VERRI                                     
 Doutorado               | PT            |      178857 | JORGE JOSE SANTOS PEREIRA SOLLA                     
 Doutorado               | REDE          |      178866 | LUIZIANNE DE OLIVEIRA LINS                          
 Doutorado               | REDE          |      234310 | RICARDO MAGNUS OSÓRIO GALVÃO                        
 Doutorado               | UNIAO         |      204486 | CARLOS MAURO BENEVIDES FILHO                        
 Doutorado               | UNIAO         |      204512 | MARCELO EDUARDO FREITAS                             
 Doutorado               | UNIAO         |      178997 | MOSES HAENDEL MELO RODRIGUES                        
 Doutorado Incompleto    | AVANTE        |      220686 | HILDELIS SILVA DUARTE JUNIOR                        
 Doutorado Incompleto    | PDT           |      220580 | MARIA GORETH DA SILVA E SOUSA                       
 Doutorado Incompleto    | PL            |       98057 | LAFAYETTE LUIZ DOORGAL DE ANDRADA                   
 Doutorado Incompleto    | PODE          |       77003 | SERGIO AUGUSTO SANTOS RODRIGUES                     
 Doutorado Incompleto    | PT            |      220606 | REIMONT LUIZ OTONI SANTA BARBARA                    
 Doutorado Incompleto    | PT            |      160569 | WALDENOR ALVES PEREIRA FILHO                        
 Doutorado Incompleto    | UNIAO         |      220609 | MAURICIO FONSECA RIBEIRO CARVALHO DE MORAES         
 Ensino Fundamental      | PL            |      161550 | EMIDIO ALVES MADEIRA JUNIOR                         
 Ensino Fundamental      | PL            |      204387 | GILSON CARDOSO FAHUR                                
 Ensino Fundamental      | PL            |      166402 | MAGDA MOFATTO HON                                   
 Ensino Fundamental      | PP            |      220592 | JOSÉ ESTEPHAN AMORIM BARBARY FILHO                  
 Ensino Fundamental      | PSB           |      204489 | MARCOS ROBERIO RIBEIRO MONTEIRO                     
 Ensino Fundamental      | PSD           |      160976 | FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA          
 Ensino Fundamental      | PT            |      204495 | AIRTON LUIZ FALEIRO                                 
 Ensino Fundamental      | PT            |      229585 | ELISANGELA DOS SANTOS ARAUJO                        
 Ensino Fundamental      | PT            |      160610 | VALMIR CARLOS DA ASSUNÇÃO                           
 Ensino Fundamental      | REPUBLICANOS  |      220531 | GILVAM MAXIMO                                       
 Ensino Fundamental      | UNIAO         |      220692 | ADALBERTO ROSA BARRETO                              
 Ensino Fundamental      | UNIAO         |      220600 | JOSE EURIPEDES CLEMENTE                             
 Ensino Médio            | MDB           |      204456 | GUTEMBERG REIS DE OLIVEIRA                          
 Ensino Médio            | MDB           |      220694 | RICARDO MAIA CHAVES DE SOUZA                        
 Ensino Médio            | PL            |      220558 | MARCOS ANTONIO PEREIRA GOMES                        
 Ensino Médio            | PL            |      220655 | MARIO LUIS FRIAS                                    
 Ensino Médio            | PODE          |      220681 | FÁBIO HENRIQUE DIAS DE MACEDO                       
 Ensino Médio            | PODE          |      204449 | NELSON NED PREVIDENTE                               
 Ensino Médio            | PP            |      121948 | ADRIANO ANTÔNIO AVELAR                              
 Ensino Médio            | PP            |      220612 | Carlos Roberto Rodrigues                            
 Ensino Médio            | PP            |      141421 | EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA      
 Ensino Médio            | PP            |      220665 | ERICA CLARISSA BORBA CORDEIRO DE MOURA              
 Ensino Médio            | PP            |      219585 | MARCO AURELIO RIBEIRO                               
 Ensino Médio            | PSD           |      220571 | DANIEL VIEIRA RAMOS                                 
 Ensino Médio            | PSD           |      160552 | DANRLEI DE DEUS HINTERHOLZ                          
 Ensino Médio            | PSD           |      220585 | FRANCISCO EMERSON ASSIS DE LUCENA                   
 Ensino Médio            | PSD           |      227660 | JOSENITO VITALE DE JESUS                            
 Ensino Médio            | PSD           |      228042 | NAUMI GOMES DE AMORIM                               
 Ensino Médio            | PSDB          |      220567 | JEFERSON RODRIGUES LEMOS                            
 Ensino Médio            | PSDB          |      204457 | ROGERIO TEIXEIRA JUNIOR                             
 Ensino Médio            | PT            |      221148 | ALFREDO ALVES CAVALCANTE                            
 Ensino Médio            | PT            |      220671 | DILVANDA FURTADO FARO                               
 Ensino Médio            | PT            |      178970 | JOAO SOMARIVA DANIEL                                
 Ensino Médio            | REPUBLICANOS  |      204571 | ALEX MARCO SANTANA SOUSA                            
 Ensino Médio            | REPUBLICANOS  |      218086 | ELIANE DE SOUSA ALVES                               
 Ensino Médio            | REPUBLICANOS  |      220563 | ICARO BARBOSA COSTA                                 
 Ensino Médio            | S.PART.       |      204476 | JOÃO FRANCISCO INÁCIO BRAZÃO                        
 Ensino Médio            | SOLIDARIEDADE |      141518 | PAULO PEREIRA DA SILVA                              
 Ensino Médio            | UNIAO         |      220659 | DAYANY BITTENCOURT SANTIL                           
 Ensino Médio            | UNIAO         |      215043 | JOSIVALDO DOS SANTOS MELO                           
 Ensino Médio Incompleto | REPUBLICANOS  |      204474 | JUAREZ ALVES DA COSTA                               
 Ensino Médio Incompleto | UNIAO         |      220702 | GERALDO GABRIEL MENDES                              
 Mestrado                | NOVO          |      156190 | MARCEL VAN HATTEM                                   
 Mestrado                | PL            |      204369 | CAROLINE RODRIGUES DE TONI                          
 Mestrado                | PL            |      220611 | EDUARDO PAZUELLO                                    
 Mestrado                | PL            |      220610 | FERNANDO RODRIGUES MÁXIMO                           
 Mestrado                | PL            |      220625 | IONE MARIA MOREIRA DIAS BARBOSA                     
 Mestrado                | PL            |      178829 | JOSE AUGUSTO ROSA                                   
 Mestrado                | PL            |      220552 | LUCIANO LORENZINI ZUCCO                             
 Mestrado                | PL            |      204526 | LUIZ PHILIPPE DE ORLEANS BRAGANÇA                   
 Mestrado                | PL            |      204514 | MARCIO TADEU ANHAIA DE LEMOS                        
 Mestrado                | PL            |      220579 | SILVIA NOBRE LOPES                                  
 Mestrado                | PL            |      141555 | VINICIUS RAPOZO DE CARVALHO                         
 Mestrado                | PODE          |      220705 | DELTAN MARTINAZZO DALLAGNOL                         
 Mestrado                | PODE          |      220529 | GILSON DANIEL BATISTA                               
 Mestrado                | PODE          |      122195 | LEONARDO DE MELO GADELHA                            
 Mestrado                | PODE          |      160629 | ROMERO RODRIGUES VEIGA                              
 Mestrado                | PP            |      220630 | PEDRO DOSHIKAZU PIANCHAO AIHARA                     
 Mestrado                | PSB           |      204533 | ANTONIO IDILVAN DE LIMA ALENCAR                     
 Mestrado                | PSD           |      143632 | DOMINGOS GOMES DE AGUIAR NETO                       
 Mestrado                | PSD           |      204433 | MARCELO CALERO FARIA GARCIA                         
 Mestrado                | PSD           |      204522 | MARCO AURELIO BERTAIOLLI                            
 Mestrado                | PSD           |      122158 | PEDRO PAULO CARVALHO TEIXEIRA                       
 Mestrado                | PSDB          |      204390 | ALCIDES RIBEIRO FILHO                               
 Mestrado                | PSDB          |      160161 | MARCELO ANDRE CID HERACLITO DO PORTO QUEIROZ        
 Mestrado                | PSDB          |      141516 | PAULO ABI-ACKEL                                     
 Mestrado                | PSOL          |       74171 | FRANCISCO RODRIGUES DE ALENCAR FILHO                
 Mestrado                | PSOL          |      220639 | GUILHERME CASTRO BOULOS                             
 Mestrado                | PSOL          |       74784 | LUIZA ERUNDINA DE SOUSA                             
 Mestrado                | PT            |      160508 | AFONSO BANDEIRA FLORENCE                            
 Mestrado                | PT            |      220629 | DANDARA TONANTZIN SILVA CASTRO                      
 Mestrado                | PT            |      141464 | JOSÉ AIRTON FÉLIX CIRILO DA SILVA                   
 Mestrado                | PT            |      141488 | LUIZ PAULO TEIXEIRA FERREIRA                        
 Mestrado                | PT            |       74398 | MARIA DO ROSÁRIO NUNES                              
 Mestrado                | PT            |      188097 | MERLONG SOLANO NOGUEIRA                             
 Mestrado                | PT            |      171786 | MIGUEL ÂNGELO MONTEIRO ANDRADE                      
 Mestrado                | PT            |      204453 | NATÁLIA BASTOS BONAVIDES                            
 Mestrado                | PT            |       74160 | PATRUS ANANIAS DE SOUZA                             
 Mestrado                | PT            |      160604 | PEDRO FRANCISCO UCZAI                               
 Mestrado                | REPUBLICANOS  |      210989 | BRUNO SOUZA FARIAS                                  
 Mestrado                | REPUBLICANOS  |      204395 | PEDRO DEBONI LUPION MELLO                           
 Mestrado                | REPUBLICANOS  |      178945 | ROSANGELA DE SOUZA GOMES                            
 Mestrado                | UNIAO         |      160600 | ARTHUR DE OLIVEIRA MAIA DA SILVA                    
 Mestrado                | UNIAO         |       74467 | DAMIÃO FELICIANO DA SILVA                           
 Mestrado                | UNIAO         |      204410 | LUISA CANZIANI DOS SANTOS SILVEIRA                  
 Mestrado                | UNIAO         |      220530 | Manoel Messias Donato Bezerra                       
 Mestrado                | UNIAO         |      141531 | RODRIGO BATISTA DE CASTRO                           
 Mestrado Incompleto     | MDB           |      220670 | IZA PAULA DE DEUS E MELLO ALBUQUERQUE ARRUDA        
 Mestrado Incompleto     | PSOL          |      220615 | HENRIQUE DOS SANTOS VIEIRA LIMA                     
 Mestrado Incompleto     | PSOL          |      204464 | TALIRIA PETRONE SOARES                              
 Mestrado Incompleto     | REPUBLICANOS  |      220715 | AMOM MANDEL LINS FILHO                              
 Mestrado Incompleto     | REPUBLICANOS  |      220543 | RICARDO AYRES DE CARVALHO                           
 Nao informado           | AVANTE        |      235712 | HEBER GOMES NEIVA                                   
 Nao informado           | MDB           |      220577 | JOSÉ AUGUSTO PUPPIO REIS JÚNIOR                     
 Nao informado           | MDB           |      228837 | JULIANA ROSA DE SOUZA KOLANKIEWICZ                  
 Nao informado           | MDB           |      233218 | RONDINELLE PEREIRA DE FREITAS                       
 Nao informado           | MDB           |      223398 | ULISSES SUAID PORTO GUIMARÃES BORGES                
 Nao informado           | Nao informado |      235869 | JOÃO CARLOS DOS SANTOS MELLO                        
 Nao informado           | PDT           |      229082 | KARLA LUCYANA SOARES CANTO COSTA                    
 Nao informado           | PL            |      220619 | ALEXANDRE RAMAGEM RODRIGUES                         
 Nao informado           | PL            |      227991 | FLAVIO CAMPOS FERREIRA                              
 Nao informado           | PL            |      229333 | GLÁUCIA MARIA SANTIAGO RODRIGUES                    
 Nao informado           | PL            |      225846 | ITAMAR PAIM PRUCH                                   
 Nao informado           | PL            |      227323 | LUCIANO RODRIGUES SEIDEL                            
 Nao informado           | PL            |      229112 | PEDRO SOUZA CATINGUEIRO JUNIOR                      
