Q5 complemento - ranking completo de fornecedores
 ano_dados |                                                                   fornecedor                                                                   | qtd_lancamentos | total_pago  
-----------+------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+-------------
      2023 | TAM                                                                                                                                            |           37266 | 28757204.67
      2023 | GOL                                                                                                                                            |           12343 | 12357495.58
      2023 | AZUL                                                                                                                                           |           11225 |  8573353.72
      2023 | PANTANAL VEÍCULOS LTDA                                                                                                                         |             797 |  3159652.37
      2023 | SUPREMA MOBILIDADE LTDA                                                                                                                        |             339 |  1709093.52
      2023 | Facebook Serviços Online do Brasil                                                                                                             |             507 |  1510546.98
      2023 | NOVACAR LOCADORA DE VEICULOS LTDA                                                                                                              |             228 |  1130880.00
      2023 | Telefônica Brasil S.A. VIVO                                                                                                                    |            2188 |   986861.14
      2023 | Cia Aérea - TAM                                                                                                                                |             654 |   954658.08
      2023 | ELDORADO COMUNICACAO E JORNALISMO LTDA                                                                                                         |             147 |   948856.07
      2023 | HPE AUTOMOTORES DO BRASIL LTDA                                                                                                                 |             105 |   826691.70
      2023 | CELULAR FUNCIONAL                                                                                                                              |            3899 |   820233.20
      2023 | DALETH VEICULOS LTDA EPP                                                                                                                       |             195 |   807914.00
      2023 | VIA LOCADORA DE AUTOMOVEIS LTDA                                                                                                                |             144 |   797938.11
      2023 | Cia Aérea - GOL                                                                                                                                |             689 |   655155.25
      2023 | WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME                                                                                                   |             829 |   633849.66
      2023 | I9 SOLUCOES EM MARKETING E MIDIAS DIGITAIS LTDA                                                                                                |              67 |   623450.00
      2023 | LOCALIZA RENT A CAR SA                                                                                                                         |             301 |   618697.96
      2023 | GOLD CAR BRASILIA LOCADORA DE VEICULOS ME                                                                                                      |             107 |   563514.04
      2023 | HORIZONTE 16 LOCADORA DE VEÍCULOS LTDA                                                                                                         |              62 |   559263.00
      2023 | Cia Aérea - AZUL                                                                                                                               |             482 |   519870.63
      2023 | ELF Locadora de Veículos Ltda                                                                                                                  |              95 |   467832.80
      2023 | Pontual Loc Car ltda                                                                                                                           |              94 |   445581.99
      2023 | MAIS PROPAGANDA LTDA.                                                                                                                          |              22 |   433593.10
      2023 | CARNAUBA ASSESSORIA DE COM E PIBLICIDADE                                                                                                       |              10 |   430617.49
      2023 | CTA - CLEITON TAXI AEREO LTDA                                                                                                                  |              14 |   407770.00
      2023 | AUTO LESTE LTDA                                                                                                                                |              43 |   400237.33
      2023 | +BRASIL CONSULTORIA ORCAMENTARIA E LEGISLATIVA TECNICA LTDA                                                                                    |              17 |   397000.00
      2023 | Latam Linhas Aéreas S.A                                                                                                                        |             203 |   376440.49
      2023 | SERV RIO TERCEIRIZAÇÃO E SERVIÇOS                                                                                                              |              71 |   373983.34
      2023 | NBF DESENVOLVIMENTO PROFISSIONAL E GERENCIAL LTDA                                                                                              |              23 |   368000.00
      2023 | FRAME COMUNICACAO DIGITAL LTDA                                                                                                                 |              23 |   351805.00
      2023 | AMORETTO CAFES EXPRESSO LTDA                                                                                                                   |             509 |   347337.91
      2023 | ON - Z IMPRESSAO, DIVULGACAO & MARKETING DIGITAL LTDA                                                                                          |              16 |   346302.00
      2023 | MAPEO SERVICOS DE INOVACAO TECNOLOGICA LTDA                                                                                                    |              36 |   345058.00
      2023 | FEAT WORK LTDA                                                                                                                                 |              10 |   345000.00
      2023 | LIBRE COMUNICAÇÃO E MARKETING EIRELI                                                                                                           |              44 |   343766.00
      2023 | FLEX MARKETING DIRETO LTDA                                                                                                                     |              40 |   333350.00
      2023 | ORBE PRODUTORA & SERVIÇOS LTDA                                                                                                                 |               7 |   332000.00
      2023 | INOP - INSTITUTO NACIONAL DE ORCAMENTO PUBLICO LTDA                                                                                            |              36 |   329700.00
      2023 | CARAVELAS CONSULTORIA E COMUNICACAO LTDA - EPP                                                                                                 |              28 |   328999.26
      2023 | UBER DO BRASIL TECNOLOGIA LTDA.                                                                                                                |           10979 |   327417.60
      2023 | CARLOS MOREIRA CONEGUNDES 489.909.226-15                                                                                                       |              36 |   327400.00
      2023 | TELEFÔNICA BRASIL S.A                                                                                                                          |             696 |   322216.44
      2023 | QUASAR LOCADORA DE VEICULOS EIRELI                                                                                                             |              72 |   312863.34
      2023 | PANTANAL-VEICULOS LTDA                                                                                                                         |              73 |   311740.00
      2023 | 031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA                                                                                       |            1520 |   311290.71
      2023 | ORN MIDIA COMUNICAÇÃO EIRELI                                                                                                                   |              23 |   307000.00
      2023 | CONSUPORTE TRANSPORTES E SERVIÇOS LTDA - EPP                                                                                                   |              26 |   304258.68
      2023 | STUDIO AB - CRIATIVIDADE VISUAL EIRELI - EPP                                                                                                   |               6 |   303500.00
      2023 | WORKING ASSOCIAÇÃO DE INTEGRAÇÃO PROFISSIONAL                                                                                                  |              30 |   302764.00
      2023 | PARVI LOCADORA LTDA                                                                                                                            |              41 |   301617.00
      2023 | ATLÂNTICO TRANSPORTES LTDA.                                                                                                                    |              27 |   300900.00
      2023 | DELPHOS SERVICOS DE MARKETING E COMUNICACAO LTDA                                                                                               |              26 |   300000.00
      2023 | ANDREONI CAMARGO MARKETING POLITICO LTDA                                                                                                       |              33 |   299900.00
      2023 | GRÁFICA E EDITORA SHALOM LTDA.                                                                                                                 |               5 |   299480.00
      2023 | Gol Linhas Aereas S.A.                                                                                                                         |             150 |   298354.92
      2023 | TARGET RENT A CAR LTDA                                                                                                                         |              70 |   296992.21
      2023 | Centro de Treinamento Digital AZ Mais Eireli                                                                                                   |               9 |   292056.70
      2023 | R.S.FERREIRA RIBEIRO - ME                                                                                                                      |              24 |   289000.00
      2023 | FOGO COMUNICACAO LTDA                                                                                                                          |              19 |   285000.00
      2023 | STEVAM GREGORY ROCHA POLLON                                                                                                                    |              10 |   276775.00
      2023 | CALIGRAFIA LTDA                                                                                                                                |               7 |   275100.00
      2023 | MONTENEGRO LOPES E MAIA AGENCIA DE PUBLICIDADE LTDA                                                                                            |              11 |   267000.00
      2023 | FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.                                                                                                       |             104 |   264908.15
      2023 | TELEMAXIMO SISTEMAS CONSULTORIA E SERVIÇOS LTDA - ME                                                                                           |              22 |   259713.30
      2023 | AUTO POSTO CINCO ESTRELAS LTDA                                                                                                                 |            1291 |   255100.58
      2023 | MINUSSI FILMES PRESTACOES DE SERVICOS PRODUCOES CINEMATOGRAF                                                                                   |              32 |   251100.00
      2023 | LOCALIZA RENT A CAR S/A                                                                                                                        |             134 |   249351.60
      2023 | GMB DE CASTRO REIS - ME                                                                                                                        |              16 |   248103.00
      2023 | PONTA LOCAÇÃO DE VEÍCULOS LTDA                                                                                                                 |              48 |   245503.40
      2023 | ESTRELA LOGISTICA LTDA                                                                                                                         |              49 |   245369.66
      2023 | Cidade Positiva Assessoria Publicitaria LTDA                                                                                                   |               9 |   244528.00
      2023 | CK INFO DESIGN E MIDIA SOCIAIS                                                                                                                 |              18 |   243000.00
      2023 | QUALITYLOC AUTOMÓVEIS LTDA.                                                                                                                    |              33 |   242000.00
      2023 | NOVITTA RENT A CAR TRANSPORTE LTDA ME                                                                                                          |              42 |   241899.99
      2023 | EVAG COMUNICAÇÃO E TECNOLOGIA LTDA                                                                                                             |              50 |   240000.00
      2023 | MIND COMUNICACAO LTDA                                                                                                                          |              14 |   238000.00
      2023 | Dinamic Comercio e Serviços Eireli                                                                                                             |              14 |   236850.00
      2023 | BRASIL LEASING LOCADORA DE VEICULOS LTDA                                                                                                       |              36 |   235065.00
      2023 | EVERSON CARLOS DO NASCIMENTO MOREIRA                                                                                                           |              23 |   233500.00
      2023 | VINICIUS ABRANTES DE OLIVEIRA 02546171151                                                                                                      |              12 |   233000.00
      2023 | EDUARDO KALLEL DE FREITAS BRANDAO                                                                                                              |              10 |   229800.00
      2023 | I. RODRUGUES DE ALMEIDA                                                                                                                        |               9 |   225000.00
      2023 | NATIVA SERVICOS EIRELI - ME                                                                                                                    |              24 |   225000.00
      2023 | TERCEIRA PONTE MIDIA E TECNOLOGIA LTDA                                                                                                         |              21 |   223700.00
      2023 | PARIMA RENT A CAR                                                                                                                              |              27 |   222065.00
      2023 | J D L SEM CORTES LTDA                                                                                                                          |              11 |   219554.94
      2023 | CLAUDIO GOMES DA SILVA ME                                                                                                                      |              36 |   217700.00
      2023 | ANIMAÇAO PROMOÇOES E PUBLICIDADE LTDA                                                                                                          |              10 |   217000.00
      2023 | ALUGUE GRAFICA LTDA - ME                                                                                                                       |               7 |   216875.00
      2023 | GALZON EDITORA GRAFICA LTDA                                                                                                                    |               6 |   214413.30
      2023 | MB Prodruções                                                                                                                                  |              12 |   212419.40
      2023 | JD2 SERVIÇOS E LOCAÇÕES EIRELI                                                                                                                 |              20 |   212200.00
      2023 | AUTO POSTO 303 NORTE LTDA                                                                                                                      |            1056 |   210106.54
      2023 | URISSANÊ COMUNICAÇÃO lLTDA                                                                                                                     |              14 |   210000.00
      2023 | N P IMOVEIS LTDA                                                                                                                               |              71 |   209868.62
      2023 | EVERSON VIANA TAVARES STUDIO FOTOGRAFICO                                                                                                       |              11 |   209000.00
      2023 | LOCADORA DE VEICULOS SÃO SEBASTIÃO LTDA - EPP                                                                                                  |              36 |   205000.00
      2023 | NSF TRANSPORTES ME LTDA.                                                                                                                       |              38 |   204600.00
      2023 | OSIRES PATRICK PARAENSE CORREA EIRELI                                                                                                          |              17 |   203041.20
      2023 | PROSPER - SOCIEDADE CIVIL DE PROFISSIONAIS ASSOCIADOS                                                                                          |              15 |   203000.00
      2023 | HÉLIO PEREIRA GOIANO-EIRELI - ME                                                                                                               |               8 |   203000.00
      2023 | K&A COMUNICAÇÃO E EVENTOS LTDA                                                                                                                 |              14 |   202284.50
      2023 | CGE COMUNICACAO GESTAO E ESTRATEGIA LTDA                                                                                                       |              10 |   200000.00
      2023 | PAX IMÓVEIS LTDA.                                                                                                                              |              12 |   199233.70
      2023 | NB Produções LTDA                                                                                                                              |              11 |   198000.00
      2023 | SEM PARAR INSTITUIÇÃO DE PAGAMENTO LTDA                                                                                                        |             480 |   197978.41
      2023 | POSTO DA TORRE EIRELI EPP                                                                                                                      |             887 |   196596.36
      2023 | P8 Relações Institucionais Ltda                                                                                                                |              17 |   196000.00
      2023 | 063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA                                                                                         |             966 |   194809.55
      2023 | Francisco C. T. Araújo - ME                                                                                                                    |              19 |   191900.00
      2023 | VEGA GRAF DIGITAL LTDA                                                                                                                         |               2 |   191880.00
      2023 | Instituto Mais Cidades Assessoria e Consultoria ltda                                                                                           |              24 |   191300.00
      2023 | LOCALIZA FLEET SA                                                                                                                              |              39 |   190599.75
      2023 | mav - veículos e serviços ltda                                                                                                                 |              33 |   190316.34
      2023 | CALGAN EDITORA GRAFICA LTDA                                                                                                                    |               5 |   190123.40
      2023 | BROADBRASIL LTDA                                                                                                                               |             213 |   188250.00
      2023 | RAUL IMÓVEIS - HARALAMOS BASSOUKOU                                                                                                             |              13 |   187681.75
      2023 | CAMPUS COMUNICAÇÃO E MARKETING LTDA                                                                                                            |               5 |   185420.00
      2023 | TJ COMUNICACAO LTDA                                                                                                                            |              36 |   185400.00
      2023 | JAYME E JAYME DE CASTRO PREST DE SERV LTDA                                                                                                     |              21 |   183910.00
      2023 | BRASPOR GRAFICA E EDITORA LTDA.                                                                                                                |               5 |   183481.10
      2023 | CEARA TAXI AEREO LTDA                                                                                                                          |               9 |   182280.00
      2023 | ML LOCAÇÕES EIRELI                                                                                                                             |              16 |   182033.34
      2023 | MULTIPLICAR E SERVIÇOS LTDA EPP                                                                                                                |              15 |   181734.70
      2023 | Claro NXT Telecomunicações S.A                                                                                                                 |             984 |   180584.07
