Q6 - escolaridade e indicadores medios
Resumo executivo
 ano_dados | deputados_ativos | grupos_escolaridade | media_geral_gasto | media_geral_fidelidade | media_geral_proposicoes | media_geral_presenca_eventos | media_geral_presenca_plenario 
-----------+------------------+---------------------+-------------------+------------------------+-------------------------+------------------------------+-------------------------------
      2023 |             1075 |                  15 |         234419.78 |                  90.77 |                  143.73 |                       100.27 |                        119.70
      2024 |              586 |                  13 |         429032.13 |                  93.61 |                  106.35 |                       132.54 |                         32.22
      2025 |              593 |                  15 |         406776.92 |                  88.55 |                   39.31 |                       185.48 |                         27.67
      2026 |              568 |                  13 |         123254.84 |                  92.32 |                   51.26 |                        64.04 |                         61.73


Tabela principal - medias por escolaridade
 ano_dados |      escolaridade       | qtd_deputados | media_gasto | media_fidelidade | media_proposicoes | media_presenca_eventos | media_presenca_plenario 
-----------+-------------------------+---------------+-------------+------------------+-------------------+------------------------+-------------------------
      2023 | Doutorado               |            27 |   242515.09 |            97.16 |            236.00 |                 113.56 |                  126.19
      2023 | Doutorado Incompleto    |             7 |   409952.14 |            98.53 |            282.14 |                 186.14 |                  208.57
      2023 | Ensino Fundamental      |            15 |   335312.12 |            88.95 |            176.87 |                 109.07 |                  164.73
      2023 | Ensino Médio            |            43 |   253299.24 |            92.38 |            125.00 |                  99.91 |                  133.49
      2023 | Ensino Médio Incompleto |             3 |   295815.71 |            89.21 |            117.33 |                 102.00 |                  138.67
      2023 | Ensino Técnico          |             4 |    15390.74 |                  |              0.75 |                   0.50 |                    0.00
      2023 | Mestrado                |            64 |   286060.61 |            87.79 |            190.38 |                 118.38 |                  149.55
      2023 | Mestrado Incompleto     |             7 |   282619.34 |           100.00 |            377.29 |                 179.14 |                  190.29
      2023 | Nao informado           |            16 |   202467.46 |            95.65 |            113.13 |                 103.00 |                  129.75
      2023 | Pós-Graduação           |           129 |   279929.42 |            89.97 |            222.97 |                 131.75 |                  149.62
      2023 | Primário                |             2 |        0.00 |                  |              1.50 |                   0.00 |                    0.00
      2023 | Primário Incompleto     |             1 |   454138.87 |                  |            622.00 |                 185.00 |                  242.00
      2023 | Secundário              |            23 |    49612.37 |            91.92 |             10.48 |                  17.00 |                   23.26
      2023 | Superior                |           668 |   218526.85 |            90.73 |            123.25 |                  91.40 |                  109.23
      2023 | Superior Incompleto     |            66 |   280384.70 |            89.87 |            139.12 |                 122.36 |                  138.86
      2024 | Doutorado               |            15 |   409760.34 |            96.26 |            167.73 |                 152.40 |                   32.87
      2024 | Doutorado Incompleto    |             6 |   510708.56 |            96.97 |            130.00 |                 175.17 |                   39.17
      2024 | Ensino Fundamental      |            12 |   433312.09 |            82.76 |             61.17 |                 105.67 |                   29.58
      2024 | Ensino Médio            |            28 |   397791.63 |            87.63 |             55.68 |                 120.39 |                   30.61
      2024 | Ensino Médio Incompleto |             2 |   306994.02 |            88.89 |             17.00 |                  83.00 |                   27.00
      2024 | Mestrado                |            43 |   416244.54 |            96.68 |            139.00 |                 132.16 |                   33.05
      2024 | Mestrado Incompleto     |             5 |   417490.77 |           100.00 |            427.20 |                 196.60 |                   45.60
      2024 | Nao informado           |            28 |   234094.72 |            96.36 |             38.54 |                  77.61 |                   19.82
