Q6A - escolaridade x gastos
Tabela principal - media geral de gastos por escolaridade
      escolaridade       | qtd_registros_deputado_ano | qtd_deputados | media_gasto 
-------------------------+----------------------------+---------------+-------------
 Secundário Incompleto   |                          1 |             1 |   511089.19
 Primário Incompleto     |                          4 |             1 |   387618.63
 Doutorado Incompleto    |                         27 |             8 |   353126.03
 Ensino Fundamental      |                         48 |            16 |   331069.76
 Pós-Graduação           |                        370 |           131 |   317397.84
 Ensino Médio Incompleto |                          9 |             3 |   311212.66
 Mestrado                |                        187 |            65 |   306973.88
 Ensino Médio            |                        122 |            45 |   300635.41
 Superior Incompleto     |                        193 |            70 |   296633.87
 Superior                |                       1652 |           714 |   284536.42
 Mestrado Incompleto     |                         23 |             7 |   280036.64
 Doutorado               |                         75 |            31 |   270037.60
 Nao informado           |                         76 |            42 |   206341.03
 Secundário              |                         28 |            23 |   110458.96
 Ensino Técnico          |                          4 |             4 |    15390.74

