Q6B - escolaridade x fidelidade partidaria
Tabela principal - media geral de fidelidade partidaria por escolaridade
      escolaridade       | qtd_registros_deputado_ano | qtd_registros_com_fidelidade | qtd_deputados | media_fidelidade 
-------------------------+----------------------------+------------------------------+---------------+------------------
 Doutorado Incompleto    |                         27 |                           10 |             8 |            95.28
 Mestrado Incompleto     |                         23 |                            4 |             7 |            95.00
 Secundário              |                         28 |                            3 |            23 |            94.61
 Ensino Médio Incompleto |                          9 |                            5 |             3 |            93.46
 Nao informado           |                         76 |                           22 |            42 |            93.26
 Doutorado               |                         75 |                           22 |            31 |            92.44
 Superior                |                       1652 |                          506 |           714 |            91.78
 Mestrado                |                        187 |                           57 |            65 |            90.72
 Superior Incompleto     |                        193 |                           59 |            70 |            90.40
 Pós-Graduação           |                        370 |                          120 |           131 |            90.10
 Ensino Médio            |                        122 |                           31 |            45 |            89.88
 Ensino Fundamental      |                         48 |                           15 |            16 |            83.74

