Q6D - escolaridade x presenca em eventos
Tabela principal - media geral de presenca em eventos por escolaridade
      escolaridade       | qtd_registros_deputado_ano | qtd_deputados | media_presenca_eventos 
-------------------------+----------------------------+---------------+------------------------
 Mestrado Incompleto     |                         23 |             7 |                 177.96
 Doutorado Incompleto    |                         27 |             8 |                 156.52
 Pós-Graduação           |                        370 |           131 |                 140.59
 Doutorado               |                         75 |            31 |                 130.08
 Primário Incompleto     |                          4 |             1 |                 127.50
 Mestrado                |                        187 |            65 |                 123.32
 Superior Incompleto     |                        193 |            70 |                 120.45
 Ensino Médio            |                        122 |            45 |                 114.54
 Superior                |                       1652 |           714 |                 113.38
 Ensino Fundamental      |                         48 |            16 |                 107.38
 Secundário Incompleto   |                          1 |             1 |                  99.00
 Ensino Médio Incompleto |                          9 |             3 |                  98.56
 Nao informado           |                         76 |            42 |                  86.72
 Secundário              |                         28 |            23 |                  31.68
 Ginasial                |                          1 |             1 |                   1.00
 Ensino Técnico          |                          4 |             4 |                   0.50

