Q7 - custo-beneficio por deputado
Resumo executivo
 ano_dados | deputados_com_gasto | media_beneficio | media_custo_beneficio | maior_custo_beneficio 
-----------+---------------------+-----------------+-----------------------+-----------------------
      2023 |                 787 |          422.94 |            0.02377365 |           11.66666667
      2024 |                 575 |          233.55 |            0.02162266 |           10.00000000
      2025 |                 562 |          104.72 |            0.03135565 |            6.66666667
      2026 |                 549 |          118.18 |            0.00128868 |            0.03165940


Tabela principal - top 30 por custo-beneficio
 ano_dados | id_deputado |                nome                 | sigla_uf | sigla_partido | gasto_total | qtd_proposicoes | proposicoes_aprovadas | presenca_total | beneficio |    custo_beneficio     
-----------+-------------+-------------------------------------+----------+---------------+-------------+-----------------+-----------------------+----------------+-----------+------------------------
      2023 |      204503 | Alexandre Padilha                   | SP       | PT            |        0.18 |               1 |                     0 |              1 |       2.1 |    11.6666666666666667
      2023 |      204366 | Rodrigo Coelho                      | SC       | PODE          |        0.02 |               0 |                     0 |              1 |       0.1 |     5.0000000000000000
      2023 |      178886 | Juscelino Filho                     | MA       | PSDB          |        0.18 |               0 |                     0 |              1 |       0.1 | 0.55555555555555555556
      2023 |      211498 | Renato Santana                      | DF       | PSD           |        0.30 |               0 |                     0 |              1 |       0.1 | 0.33333333333333333333
      2023 |      220715 | Amom Mandel                         | AM       | REPUBLICANOS  |    12966.50 |             886 |                     1 |            430 |    1818.0 | 0.14020745767940461960
      2023 |      220637 | Marina Silva                        | SP       | REDE          |        1.13 |               0 |                     0 |              1 |       0.1 | 0.08849557522123893805
      2023 |      204365 | Gilson Marques                      | SC       | NOVO          |   120735.45 |            2996 |                     1 |            575 |    6052.5 | 0.05013026414362972930
      2023 |       74471 | André de Paula                      | PE       | PSD           |      122.55 |               3 |                     0 |              0 |       6.0 | 0.04895960832313341493
      2023 |      204528 | Adriana Ventura                     | SP       | NOVO          |    72484.75 |            1125 |                     1 |            602 |    2313.2 | 0.03191291961412572989
      2023 |      220642 | Delegado Bruno Lima                 | SP       | PODE          |     3127.33 |              48 |                     0 |              2 |      96.2 | 0.03076106455027131771
      2023 |      204506 | Marcos Pereira                      | SP       | REPUBLICANOS  |   479460.34 |            3111 |                     1 |            316 |    6256.6 | 0.01304925450142549851
      2023 |      178937 | Altineu Côrtes                      | RJ       | PL            |   366233.49 |            1827 |                     1 |            177 |    3674.7 | 0.01003376288716796490
      2023 |      204450 | Doutor Luizinho                     | RJ       | PP            |    54253.98 |             254 |                     0 |            117 |     519.7 | 0.00957902074649638607
      2023 |      204572 | Capitão Alberto Neto                | AM       | PL            |   437588.29 |            1783 |                     3 |            557 |    3630.7 | 0.00829706846131554389
      2023 |      220618 | Sargento Portugal                   | RJ       | PODE          |   358084.44 |            1437 |                     1 |            575 |    2934.5 | 0.00819499445438064832
      2023 |       74856 | Laura Carneiro                      | RJ       | PSD           |   440687.09 |            1302 |                    10 |            685 |    2702.5 | 0.00613246918578894608
      2023 |      204536 | Kim Kataguiri                       | SP       | MISSAO        |   296424.00 |             841 |                     3 |            517 |    1742.7 | 0.00587907861711602299
      2023 |      204535 | Sâmia Bomfim                        | SP       | PSOL          |   413524.69 |            1163 |                     0 |            534 |    2379.4 | 0.00575394905682657062
      2023 |       74478 | Luciano Bivar                       | PE       | MDB           |   300290.19 |             837 |                     1 |            154 |    1692.4 | 0.00563588174492147079
