Q7 complemento - ranking completo por custo-beneficio
 ano_dados | id_deputado |                nome                 | gasto_total | qtd_proposicoes | proposicoes_aprovadas | presenca_total | beneficio |      custo_beneficio       
-----------+-------------+-------------------------------------+-------------+-----------------+-----------------------+----------------+-----------+----------------------------
      2023 |      204503 | Alexandre Padilha                   |        0.18 |               1 |                     0 |              1 |       2.1 |        11.6666666666666667
      2023 |      204366 | Rodrigo Coelho                      |        0.02 |               0 |                     0 |              1 |       0.1 |         5.0000000000000000
      2023 |      178886 | Juscelino Filho                     |        0.18 |               0 |                     0 |              1 |       0.1 |     0.55555555555555555556
      2023 |      211498 | Renato Santana                      |        0.30 |               0 |                     0 |              1 |       0.1 |     0.33333333333333333333
      2023 |      220715 | Amom Mandel                         |    12966.50 |             886 |                     1 |            430 |    1818.0 |     0.14020745767940461960
      2023 |      220637 | Marina Silva                        |        1.13 |               0 |                     0 |              1 |       0.1 |     0.08849557522123893805
      2023 |      204365 | Gilson Marques                      |   120735.45 |            2996 |                     1 |            575 |    6052.5 |     0.05013026414362972930
      2023 |       74471 | André de Paula                      |      122.55 |               3 |                     0 |              0 |       6.0 |     0.04895960832313341493
      2023 |      204528 | Adriana Ventura                     |    72484.75 |            1125 |                     1 |            602 |    2313.2 |     0.03191291961412572989
      2023 |      220642 | Delegado Bruno Lima                 |     3127.33 |              48 |                     0 |              2 |      96.2 |     0.03076106455027131771
      2023 |      204506 | Marcos Pereira                      |   479460.34 |            3111 |                     1 |            316 |    6256.6 |     0.01304925450142549851
      2023 |      178937 | Altineu Côrtes                      |   366233.49 |            1827 |                     1 |            177 |    3674.7 |     0.01003376288716796490
      2023 |      204450 | Doutor Luizinho                     |    54253.98 |             254 |                     0 |            117 |     519.7 |     0.00957902074649638607
      2023 |      204572 | Capitão Alberto Neto                |   437588.29 |            1783 |                     3 |            557 |    3630.7 |     0.00829706846131554389
      2023 |      220618 | Sargento Portugal                   |   358084.44 |            1437 |                     1 |            575 |    2934.5 |     0.00819499445438064832
      2023 |       74856 | Laura Carneiro                      |   440687.09 |            1302 |                    10 |            685 |    2702.5 |     0.00613246918578894608
      2023 |      204536 | Kim Kataguiri                       |   296424.00 |             841 |                     3 |            517 |    1742.7 |     0.00587907861711602299
      2023 |      204535 | Sâmia Bomfim                        |   413524.69 |            1163 |                     0 |            534 |    2379.4 |     0.00575394905682657062
      2023 |       74478 | Luciano Bivar                       |   300290.19 |             837 |                     1 |            154 |    1692.4 |     0.00563588174492147079
      2023 |      220676 | Andreia Siqueira                    |   131812.90 |             333 |                     2 |            451 |     717.1 |     0.00544028695218753248
      2023 |      220571 | Daniel Agrobom                      |   111045.09 |             267 |                     0 |            542 |     588.2 |     0.00529694739317154860
      2023 |      220648 | Marangoni                           |   507383.41 |            1275 |                     4 |            515 |    2613.5 |     0.00515093703990045713
      2023 |      204369 | Caroline de Toni                    |   139338.87 |             313 |                     1 |            581 |     687.1 |     0.00493114376483747859
      2023 |      156190 | Marcel van Hattem                   |   260811.70 |             590 |                     0 |            585 |    1238.5 |     0.00474863666008848529
      2023 |       74084 | Raimundo Santos                     |   464852.28 |            1071 |                     3 |            487 |    2199.7 |     0.00473204089694902647
      2023 |      220598 | Tarcísio Motta                      |   382623.77 |             845 |                     0 |            748 |    1764.8 |     0.00461236373265571033
      2023 |      178983 | Marcio Alvino                       |    47922.65 |              88 |                     0 |            429 |     218.9 |     0.00456777744970280233
      2023 |       89536 | Prof. Paulo Fernando                |   243326.07 |             508 |                     2 |            870 |    1109.0 |     0.00455767028991180435
      2023 |      220533 | Prof. Reginaldo Veras               |   147191.10 |             301 |                     0 |            474 |     649.4 |     0.00441195153783075200
      2023 |      204526 | Luiz Philippe de Orleans e Bragança |   238722.55 |             465 |                     0 |            438 |     973.8 |     0.00407921245814440236
      2023 |      178873 | Helder Salomão                      |   328196.17 |             632 |                     0 |            627 |    1326.7 |     0.00404239939789669087
      2023 |      160575 | Erika Kokay                         |   412223.49 |             785 |                     1 |            802 |    1653.2 |     0.00401044588701143644
      2023 |      220654 | Delegado Paulo Bilynskyj            |   364798.42 |             675 |                     1 |            637 |    1416.7 |     0.00388351462706444836
      2023 |      209787 | Nikolas Ferreira                    |   239702.83 |             437 |                     0 |            534 |     927.4 |     0.00386895724176473010
      2023 |      221338 | Professora Luciene Cavalcante       |   278928.77 |             507 |                     1 |            601 |    1077.1 |     0.00386155935079769649
      2023 |      204372 | Julio Cesar Ribeiro                 |   106393.15 |             201 |                     0 |             73 |     409.3 |     0.00384705218334075079
      2023 |      204462 | Chris Tonietto                      |   325209.04 |             599 |                     0 |            381 |    1236.1 |     0.00380093985087253417
      2023 |      220552 | Zucco                               |   278147.80 |             491 |                     2 |            680 |    1056.0 |     0.00379654270139832132
      2023 |       73441 | Celso Russomanno                    |   254932.03 |             456 |                     1 |            406 |     955.6 |     0.00374845012609831727
      2023 |      160598 | Flávia Morais                       |   438621.51 |             776 |                     5 |            635 |    1630.5 |     0.00371732795320503092
      2023 |      204520 | Junio Amaral                        |   336181.79 |             599 |                     1 |            425 |    1243.5 |     0.00369889160266533175
      2023 |      220547 | Marcos Pollon                       |   491300.24 |             819 |                     1 |            673 |    1708.3 |     0.00347709986870757482
      2023 |      178986 | Nilto Tatto                         |   518193.68 |             860 |                     2 |            483 |    1774.3 |     0.00342400933951954026
      2023 |      220673 | Delegado Caveira                    |   184871.81 |             284 |                     0 |            607 |     628.7 |     0.00340073481186774771
      2023 |      220569 | Silvye Alves                        |   250454.66 |             392 |                     1 |            477 |     834.7 |     0.00333273894764026351
      2023 |      178871 | Evair Vieira de Melo                |   524521.94 |             815 |                     0 |            614 |    1691.4 |     0.00322465062185959276
