Q8 - influencia legislativa por autoria aprovada
Resumo executivo
 ano_dados | deputados_com_autoria | proposicoes_autoria | proposicoes_aprovadas | pct_aprovadas_geral 
-----------+-----------------------+---------------------+-----------------------+---------------------
      2023 |                   865 |              154506 |                   411 |                0.27
      2024 |                   554 |               62321 |                     0 |                0.00
      2025 |                   544 |               23313 |                     0 |                0.00
      2026 |                   549 |               29113 |                     1 |                0.00


Tabela principal - top 30 por percentual de aprovacao
 ano_dados | id_deputado |                nome                 | proposicoes_autoria | proposicoes_aprovadas | pct_aprovadas 
-----------+-------------+-------------------------------------+---------------------+-----------------------+---------------
      2023 |      178930 | Roman                               |                   1 |                     1 |        100.00
      2023 |      160565 | MARA GABRILLI                       |                   1 |                     1 |        100.00
      2023 |      178832 | Leandre                             |                   8 |                     1 |         12.50
      2023 |      204431 | Marcos Aurélio Sampaio              |                  21 |                     1 |          4.76
      2023 |      179001 | Márcio Biolchi                      |                  34 |                     1 |          2.94
      2023 |      103758 | Luciano Azevedo                     |                  38 |                     1 |          2.63
      2023 |      160510 | Luis Tibé                           |                  78 |                     2 |          2.56
      2023 |       92699 | Fernando Monteiro                   |                  39 |                     1 |          2.56
      2023 |      154178 | Milton Vieira                       |                  80 |                     2 |          2.50
      2023 |      220670 | Iza Arruda                          |                 131 |                     3 |          2.29
      2023 |      226075 | Priscila Costa                      |                  44 |                     1 |          2.27
      2023 |      220651 | Simone Marquetto                    |                 133 |                     3 |          2.26
      2023 |      204498 | Olival Marques                      |                  45 |                     1 |          2.22
      2023 |      220671 | Dilvanda Faro                       |                  46 |                     1 |          2.17
      2023 |      178975 | Baleia Rossi                        |                  49 |                     1 |          2.04
      2023 |      219585 | Marco Brasil                        |                 105 |                     2 |          1.90
      2023 |      220708 | Gabriel Nunes                       |                  53 |                     1 |          1.89
      2023 |      220627 | Paulinho Freire                     |                 163 |                     3 |          1.84
      2023 |      178933 | Sergio Souza                        |                 112 |                     2 |          1.79
      2023 |      222429 | Luis Carlos Gomes                   |                 117 |                     2 |          1.71
      2023 |      220532 | Rafael Prudente                     |                 120 |                     2 |          1.67
      2023 |      220699 | Castro Neto                         |                  60 |                     1 |          1.67
      2023 |       73806 | Roseana Sarney                      |                  60 |                     1 |          1.67
      2023 |      220614 | Dr. Daniel Soranz                   |                 183 |                     3 |          1.64
      2023 |      122158 | Pedro Paulo                         |                  61 |                     1 |          1.64
      2023 |      141459 | João Maia                           |                  62 |                     1 |          1.61
      2023 |       74467 | Damião Feliciano                    |                  65 |                     1 |          1.54
      2023 |       73768 | Dilceu Sperafico                    |                  69 |                     1 |          1.45
      2023 |      205550 | Jorge Braz                          |                 139 |                     2 |          1.44
      2023 |      220649 | Delegado da Cunha                   |                 142 |                     2 |          1.41
      2024 |      107283 | Gleisi Hoffmann                     |                  32 |                     0 |          0.00
      2024 |       62881 | Danilo Forte                        |                  76 |                     0 |          0.00
      2024 |       66385 | Julio Arcoverde                     |                  19 |                     0 |          0.00
      2024 |       66828 | Fausto Pinato                       |                  73 |                     0 |          0.00
      2024 |       68720 | Fábio Henrique                      |                  16 |                     0 |          0.00
      2024 |       69871 | Bacelar                             |                 146 |                     0 |          0.00
      2024 |       72442 | Felipe Carreras                     |                  74 |                     0 |          0.00
      2024 |       73433 | Arlindo Chinaglia                   |                  64 |                     0 |          0.00
      2024 |       73441 | Celso Russomanno                    |                  54 |                     0 |          0.00
      2024 |       73486 | Pompeo de Mattos                    |                  89 |                     0 |          0.00
      2024 |       73531 | Ivan Valente                        |                 114 |                     0 |          0.00
      2024 |       73579 | Alberto Fraga                       |                 120 |                     0 |          0.00
      2024 |       73604 | Rui Falcão                          |                  16 |                     0 |          0.00
      2024 |       73692 | Osmar Terra                         |                  49 |                     0 |          0.00
      2024 |       73701 | Benedita da Silva                   |                 112 |                     0 |          0.00
      2024 |       73768 | Dilceu Sperafico                    |                  33 |                     0 |          0.00
      2024 |       73778 | Luiz Carlos Hauly                   |                 109 |                     0 |          0.00
      2024 |       73801 | Renildo Calheiros                   |                  31 |                     0 |          0.00
      2024 |       73806 | Roseana Sarney                      |                   7 |                     0 |          0.00
      2024 |       74041 | Luiz Couto                          |                 168 |                     0 |          0.00
      2024 |       74043 | Wellington Roberto                  |                  20 |                     0 |          0.00
      2024 |       74044 | Wilson Santiago                     |                  37 |                     0 |          0.00
      2024 |       74052 | Bosco Costa                         |                   1 |                     0 |          0.00
      2024 |       74057 | Alice Portugal                      |                 104 |                     0 |          0.00
      2024 |       74060 | Daniel Almeida                      |                  68 |                     0 |          0.00
      2024 |       74075 | Elcione Barbalho                    |                  24 |                     0 |          0.00
      2024 |       74079 | José Priante                        |                  13 |                     0 |          0.00
      2024 |       74084 | Raimundo Santos                     |                 761 |                     0 |          0.00
      2024 |       74090 | Átila Lins                          |                  36 |                     0 |          0.00
      2024 |       74095 | Pauderney Avelino                   |                  75 |                     0 |          0.00
      2024 |       74141 | Josias Gomes                        |                  24 |                     0 |          0.00
      2024 |       74156 | Leonardo Monteiro                   |                  41 |                     0 |          0.00
      2024 |       74158 | Mário Heringer                      |                  22 |                     0 |          0.00
      2024 |       74159 | Odair Cunha                         |                 428 |                     0 |          0.00
      2024 |       74160 | Patrus Ananias                      |                 719 |                     0 |          0.00
      2024 |       74161 | Reginaldo Lopes                     |                  44 |                     0 |          0.00
      2024 |       74171 | Chico Alencar                       |                 858 |                     0 |          0.00
      2024 |       74253 | Julio Lopes                         |                 140 |                     0 |          0.00
      2024 |       74262 | Carlos Sampaio                      |                  31 |                     0 |          0.00
      2024 |       74270 | Gilberto Nascimento                 |                  33 |                     0 |          0.00
      2024 |       74273 | Jefferson Campos                    |                  46 |                     0 |          0.00
      2024 |       74283 | Vicentinho                          |                  44 |                     0 |          0.00
      2024 |       74299 | Leônidas Cristino                   |                  13 |                     0 |          0.00
      2024 |       74317 | Júlio Cesar                         |                  14 |                     0 |          0.00
      2024 |       74356 | Silas Câmara                        |                 361 |                     0 |          0.00
      2024 |       74371 | Rubens Otoni                        |                  45 |                     0 |          0.00
      2024 |       74374 | Geraldo Resende                     |                 131 |                     0 |          0.00
      2024 |       74376 | Vander Loubet                       |                  45 |                     0 |          0.00
      2024 |       74383 | Giacobo                             |                  12 |                     0 |          0.00
      2024 |       74398 | Maria do Rosário                    |                  53 |                     0 |          0.00
      2024 |       74428 | Mendonça Filho                      |                  70 |                     0 |          0.00
      2024 |       74454 | Eunício Oliveira                    |                  21 |                     0 |          0.00
      2024 |       74467 | Damião Feliciano                    |                  26 |                     0 |          0.00
      2024 |       74478 | Luciano Bivar                       |                 492 |                     0 |          0.00
      2024 |       74537 | Claudio Cajado                      |                  17 |                     0 |          0.00
      2024 |       74550 | João Leão                           |                  16 |                     0 |          0.00
      2024 |       74554 | José Rocha                          |                  25 |                     0 |          0.00
      2024 |       74574 | Paulo Magalhães                     |                  45 |                     0 |          0.00
      2024 |       74585 | Lincoln Portela                     |                  60 |                     0 |          0.00
      2024 |       74646 | Aécio Neves                         |                   9 |                     0 |          0.00
      2024 |       74696 | Alberto Mourão                      |                   8 |                     0 |          0.00
      2024 |       74784 | Luiza Erundina                      |                  51 |                     0 |          0.00
      2024 |       74848 | Jandira Feghali                     |                 139 |                     0 |          0.00
      2024 |       74856 | Laura Carneiro                      |                1028 |                     0 |          0.00
      2024 |       74858 | Lindbergh Farias                    |                 126 |                     0 |          0.00
      2024 |       80815 | Leo Prates                          |                 124 |                     0 |          0.00
      2024 |       81055 | Márcio Jerry                        |                  55 |                     0 |          0.00
      2024 |       88256 | Clodoaldo Magalhães                 |                  94 |                     0 |          0.00
      2024 |       91228 | Waldemar Oliveira                   |                 185 |                     0 |          0.00
      2024 |       92102 | Leur Lomanto Júnior                 |                  17 |                     0 |          0.00
      2024 |       92346 | Eduardo Bolsonaro                   |                  86 |                     0 |          0.00
      2024 |       92699 | Fernando Monteiro                   |                  38 |                     0 |          0.00
      2024 |       92776 | Stefano Aguiar                      |                  28 |                     0 |          0.00
      2024 |       98057 | Lafayette de Andrada                |                 174 |                     0 |          0.00
      2024 |       98148 | Cobalchini                          |                 159 |                     0 |          0.00
      2024 |       98615 | Ismael                              |                  54 |                     0 |          0.00
      2024 |      103758 | Luciano Azevedo                     |                   6 |                     0 |          0.00
      2024 |      104552 | Socorro Neri                        |                 157 |                     0 |          0.00
      2024 |      107970 | Ana Paula Leão                      |                  54 |                     0 |          0.00
      2024 |      109429 | Benes Leocádio                      |                  91 |                     0 |          0.00
      2024 |      115200 | Raniery Paulino                     |                   2 |                     0 |          0.00
      2024 |      116379 | Darci de Matos                      |                  52 |                     0 |          0.00
      2024 |      121948 | Adriano do Baldy                    |                  28 |                     0 |          0.00
      2024 |      122158 | Pedro Paulo                         |                  37 |                     0 |          0.00
      2024 |      122195 | Leonardo Gadelha                    |                  21 |                     0 |          0.00
      2024 |      122974 | Pedro Lucas Fernandes               |                  28 |                     0 |          0.00
      2024 |      123086 | Átila Lira                          |                  42 |                     0 |          0.00
      2024 |      123756 | Antônia Lúcia                       |                  46 |                     0 |          0.00
      2024 |      130398 | ANDRÉ FERNANDES                     |                   1 |                     0 |          0.00
      2024 |      131578 | JOSIAS GOMES                        |                   1 |                     0 |          0.00
      2024 |      133439 | André Figueiredo                    |                 103 |                     0 |          0.00
      2024 |      133810 | Marcelo Moraes                      |                  54 |                     0 |          0.00
      2024 |      136811 | Afonso Hamm                         |                  60 |                     0 |          0.00
      2024 |      137070 | Vicentinho Júnior                   |                  31 |                     0 |          0.00
      2024 |      138286 | Luciano Alves                       |                  28 |                     0 |          0.00
      2024 |      139285 | Lídice da Mata                      |                 124 |                     0 |          0.00
