Q8 complemento - ranking completo de influencia legislativa
 ano_dados | id_deputado |                nome                 | proposicoes_autoria | proposicoes_aprovadas | pct_aprovadas 
-----------+-------------+-------------------------------------+---------------------+-----------------------+---------------
      2023 |      178930 | Roman                               |                   1 |                     1 |        100.00
      2023 |      160565 | MARA GABRILLI                       |                   1 |                     1 |        100.00
      2023 |      178832 | Leandre                             |                   8 |                     1 |         12.50
      2023 |      204431 | Marcos Aurélio Sampaio              |                  21 |                     1 |          4.76
      2023 |      179001 | Márcio Biolchi                      |                  34 |                     1 |          2.94
      2023 |      103758 | Luciano Azevedo                     |                  38 |                     1 |          2.63
      2023 |      160510 | Luis Tibé                           |                  78 |                     2 |          2.56
      2023 |       92699 | Fernando Monteiro                   |                  39 |                     1 |          2.56
      2023 |      154178 | Milton Vieira                       |                  80 |                     2 |          2.50
      2023 |      220670 | Iza Arruda                          |                 131 |                     3 |          2.29
      2023 |      226075 | Priscila Costa                      |                  44 |                     1 |          2.27
      2023 |      220651 | Simone Marquetto                    |                 133 |                     3 |          2.26
      2023 |      204498 | Olival Marques                      |                  45 |                     1 |          2.22
      2023 |      220671 | Dilvanda Faro                       |                  46 |                     1 |          2.17
      2023 |      178975 | Baleia Rossi                        |                  49 |                     1 |          2.04
      2023 |      219585 | Marco Brasil                        |                 105 |                     2 |          1.90
      2023 |      220708 | Gabriel Nunes                       |                  53 |                     1 |          1.89
      2023 |      220627 | Paulinho Freire                     |                 163 |                     3 |          1.84
      2023 |      178933 | Sergio Souza                        |                 112 |                     2 |          1.79
      2023 |      222429 | Luis Carlos Gomes                   |                 117 |                     2 |          1.71
      2023 |      220532 | Rafael Prudente                     |                 120 |                     2 |          1.67
      2023 |      220699 | Castro Neto                         |                  60 |                     1 |          1.67
      2023 |       73806 | Roseana Sarney                      |                  60 |                     1 |          1.67
      2023 |      220614 | Dr. Daniel Soranz                   |                 183 |                     3 |          1.64
      2023 |      122158 | Pedro Paulo                         |                  61 |                     1 |          1.64
      2023 |      141459 | João Maia                           |                  62 |                     1 |          1.61
      2023 |       74467 | Damião Feliciano                    |                  65 |                     1 |          1.54
      2023 |       73768 | Dilceu Sperafico                    |                  69 |                     1 |          1.45
      2023 |      205550 | Jorge Braz                          |                 139 |                     2 |          1.44
      2023 |      220649 | Delegado da Cunha                   |                 142 |                     2 |          1.41
      2023 |      220675 | Antônio Doido                       |                  73 |                     1 |          1.37
      2023 |      220661 | Matheus Noronha                     |                  74 |                     1 |          1.35
      2023 |       92776 | Stefano Aguiar                      |                  75 |                     1 |          1.33
      2023 |       74574 | Paulo Magalhães                     |                  76 |                     1 |          1.32
      2023 |      220689 | Detinha                             |                  80 |                     1 |          1.25
      2023 |      205476 | Charles Fernandes                   |                  81 |                     1 |          1.23
      2023 |      220696 | Ivoneide Caetano                    |                  83 |                     1 |          1.20
      2023 |       91228 | Waldemar Oliveira                   |                  84 |                     1 |          1.19
      2023 |       74079 | José Priante                        |                  85 |                     1 |          1.18
      2023 |      220698 | Beto Preto                          |                  85 |                     1 |          1.18
      2023 |       74057 | Alice Portugal                      |                 256 |                     3 |          1.17
      2023 |      204482 | Euclydes Pettersen                  |                  86 |                     1 |          1.16
      2023 |      220641 | Rodrigo Gambale                     |                 260 |                     3 |          1.15
      2023 |      220544 | Antonio Andrade                     |                  87 |                     1 |          1.15
      2023 |      204456 | Gutemberg Reis                      |                 182 |                     2 |          1.10
      2023 |       74696 | Alberto Mourão                      |                  91 |                     1 |          1.10
      2023 |      143632 | Domingos Neto                       |                 184 |                     2 |          1.09
      2023 |      220587 | Gerlen Diniz                        |                 186 |                     2 |          1.08
      2023 |       74090 | Átila Lins                          |                  94 |                     1 |          1.06
      2023 |      204571 | Alex Santana                        |                  95 |                     1 |          1.05
      2023 |      204474 | Juarez Costa                        |                  96 |                     1 |          1.04
      2023 |      133810 | Marcelo Moraes                      |                  96 |                     1 |          1.04
      2023 |      204356 | Amaro Neto                          |                 196 |                     2 |          1.02
      2023 |       66385 | Julio Arcoverde                     |                  98 |                     1 |          1.02
      2023 |       73701 | Benedita da Silva                   |                 306 |                     3 |          0.98
      2023 |      123086 | Átila Lira                          |                 102 |                     1 |          0.98
      2023 |      204408 | Gustinho Ribeiro                    |                 103 |                     1 |          0.97
      2023 |      204524 | Pinheirinho                         |                 106 |                     1 |          0.94
      2023 |      166402 | Magda Mofatto                       |                 107 |                     1 |          0.93
      2023 |      220622 | Nely Aquino                         |                 109 |                     1 |          0.92
      2023 |      141464 | José Airton Félix Cirilo            |                 110 |                     1 |          0.91
      2023 |      178895 | Misael Varella                      |                 111 |                     1 |          0.90
      2023 |      220668 | Maria Arraes                        |                 338 |                     3 |          0.89
      2023 |      220685 | Paulo Litro                         |                 112 |                     1 |          0.89
      2023 |      221339 | Dr. Benjamim                        |                 112 |                     1 |          0.89
      2023 |      224117 | Gabriel Mota                        |                 113 |                     1 |          0.88
      2023 |      220536 | Zé Haroldo Cathedral                |                 229 |                     2 |          0.87
      2023 |      220539 | Defensor Stélio Dener               |                 357 |                     3 |          0.84
      2023 |      220570 | Dr. Ismael Alexandrino              |                 120 |                     1 |          0.83
      2023 |      141531 | Rodrigo de Castro                   |                 121 |                     1 |          0.83
      2023 |       73433 | Arlindo Chinaglia                   |                 122 |                     1 |          0.82
      2023 |      220565 | Delegada Adriana Accorsi            |                 247 |                     2 |          0.81
      2023 |      223128 | Rodrigo Estacho                     |                 124 |                     1 |          0.81
      2023 |      220667 | Pedro Campos                        |                 253 |                     2 |          0.79
      2023 |      171786 | Miguel Ângelo                       |                 127 |                     1 |          0.79
      2023 |      220632 | Ana Pimentel                        |                 257 |                     2 |          0.78
      2023 |      220597 | Thiago Flores                       |                 128 |                     1 |          0.78
      2023 |       74856 | Laura Carneiro                      |                1302 |                    10 |          0.77
      2023 |      204411 | Filipe Barros                       |                 132 |                     1 |          0.76
      2023 |      141411 | Dagoberto Nogueira                  |                 131 |                     1 |          0.76
      2023 |      220537 | Helena Lima                         |                 131 |                     1 |          0.76
      2023 |      220586 | Rafael Brito                        |                 131 |                     1 |          0.76
      2023 |       98615 | Ismael                              |                 134 |                     1 |          0.75
      2023 |      204485 | Luiz Carlos Motta                   |                 133 |                     1 |          0.75
      2023 |      204436 | Isnaldo Bulhões Jr.                 |                 134 |                     1 |          0.75
      2023 |      220688 | Dr. Francisco                       |                 136 |                     1 |          0.74
      2023 |      224333 | Welter                              |                 136 |                     1 |          0.74
      2023 |      160548 | Jonas Donizette                     |                 278 |                     2 |          0.72
      2023 |       74043 | Wellington Roberto                  |                 138 |                     1 |          0.72
      2023 |      220669 | Lula da Fonte                       |                 141 |                     1 |          0.71
      2023 |      220660 | Yury do Paredão                     |                 141 |                     1 |          0.71
      2023 |      204495 | Airton Faleiro                      |                 285 |                     2 |          0.70
      2023 |       74537 | Claudio Cajado                      |                 144 |                     1 |          0.69
      2023 |      220542 | Alexandre Guimarães                 |                 292 |                     2 |          0.68
      2023 |      220606 | Reimont                             |                 296 |                     2 |          0.68
      2023 |      141450 | Hugo Leal                           |                 148 |                     1 |          0.68
      2023 |      178835 | Afonso Motta                        |                 302 |                     2 |          0.66
      2023 |      220700 | Florentino Neto                     |                 304 |                     2 |          0.66
      2023 |      220693 | Roberta Roma                        |                 151 |                     1 |          0.66
      2023 |      178985 | Miguel Lombardi                     |                 151 |                     1 |          0.66
      2023 |      178881 | Aluisio Mendes                      |                 307 |                     2 |          0.65
      2023 |      160598 | Flávia Morais                       |                 776 |                     5 |          0.64
      2023 |      220674 | Dra. Alessandra Haber               |                 157 |                     1 |          0.64
      2023 |      141398 | Carlos Zarattini                    |                 156 |                     1 |          0.64
      2023 |      141555 | Vinicius Carvalho                   |                 479 |                     3 |          0.63
      2023 |      204504 | Cezinha de Madureira                |                 320 |                     2 |          0.63
      2023 |      220556 | Ana Paula Lima                      |                 320 |                     2 |          0.63
      2023 |      220620 | Rosângela Reis                      |                 159 |                     1 |          0.63
      2023 |      141487 | Luiz Fernando Faria                 |                 159 |                     1 |          0.63
      2023 |      220584 | Murilo Galdino                      |                 159 |                     1 |          0.63
      2023 |      178946 | Soraya Santos                       |                 160 |                     1 |          0.63
      2023 |       74317 | Júlio Cesar                         |                 158 |                     1 |          0.63
      2023 |      160673 | Giovani Cherini                     |                 327 |                     2 |          0.61
      2023 |      206018 | Célia Xakriabá                      |                 329 |                     2 |          0.61
      2023 |      220603 | Dani Cunha                          |                 165 |                     1 |          0.61
      2023 |      188097 | Merlong Solano                      |                 164 |                     1 |          0.61
      2023 |      220676 | Andreia Siqueira                    |                 333 |                     2 |          0.60
      2023 |      221328 | Adilson Barroso                     |                 166 |                     1 |          0.60
      2023 |      220548 | Camila Jara                         |                 520 |                     3 |          0.58
      2023 |      220551 | Franciane Bayer                     |                 172 |                     1 |          0.58
      2023 |      160588 | Diego Andrade                       |                 172 |                     1 |          0.58
      2023 |       88256 | Clodoaldo Magalhães                 |                 171 |                     1 |          0.58
      2023 |      214694 | Jorge Goetten                       |                 352 |                     2 |          0.57
      2023 |      204534 | Tabata Amaral                       |                 349 |                     2 |          0.57
      2023 |      220629 | Dandara                             |                 176 |                     1 |          0.57
      2023 |      160635 | Ruy Carneiro                        |                 178 |                     1 |          0.56
      2023 |      220681 | Fábio Macedo                        |                 177 |                     1 |          0.56
      2023 |       73801 | Renildo Calheiros                   |                 180 |                     1 |          0.56
      2023 |      220599 | Marcelo Crivella                    |                 364 |                     2 |          0.55
      2023 |      220580 | Professora Goreth                   |                 363 |                     2 |          0.55
      2023 |      160538 | Bohn Gass                           |                 183 |                     1 |          0.55
      2023 |      220626 | Rafael Simoes                       |                 183 |                     1 |          0.55
