Q9 - vies ideologico e comportamento partidario
Resumo executivo - deputados por ideologia predominante
 ano_dados |    ideologia     | qtd_deputados 
-----------+------------------+---------------
      2023 | centro           |           341
      2023 | direita          |           315
      2023 | esquerda         |           260
      2023 | Nao classificado |           151
      2024 | centro           |           224
      2024 | direita          |           224
      2024 | esquerda         |           134
      2024 | Nao classificado |             1
      2025 | centro           |           216
      2025 | direita          |           211
      2025 | esquerda         |           136
      2025 | Nao classificado |             1
      2026 | centro           |           210
      2026 | direita          |           210
      2026 | esquerda         |           135


Tabela principal - partido predominante de cada deputado
 ano_dados | id_deputado |                nome                 | sigla_partido | ideologia 
-----------+-------------+-------------------------------------+---------------+-----------
      2023 |      204515 | André Janones                       | AVANTE        | centro
      2023 |      160510 | Luis Tibé                           | AVANTE        | centro
      2023 |      204553 | Pastor Sargento Isidório            | AVANTE        | centro
      2023 |      178921 | Sebastião Oliveira                  | AVANTE        | centro
      2023 |      197438 | Tito                                | AVANTE        | centro
      2023 |       91228 | Waldemar Oliveira                   | AVANTE        | centro
      2023 |      178972 | Alex Manente                        | CIDADANIA     | centro
      2023 |      220715 | Amom Mandel                         | CIDADANIA     | centro
      2023 |      220549 | Any Ortiz                           | CIDADANIA     | centro
      2023 |      141391 | Arnaldo Jardim                      | CIDADANIA     | centro
      2023 |      164360 | Carmen Zanotto                      | CIDADANIA     | centro
      2023 |       73466 | Rubens Bueno                        | CIDADANIA     | centro
      2023 |      204379 | Acácio Favacho                      | MDB           | centro
      2023 |       74696 | Alberto Mourão                      | MDB           | centro
      2023 |      160559 | Alceu Moreira                       | MDB           | centro
      2023 |      220676 | Andreia Siqueira                    | MDB           | centro
      2023 |      220675 | Antônio Doido                       | MDB           | centro
      2023 |      220577 | Augusto Puppio                      | MDB           | centro
      2023 |      178975 | Baleia Rossi                        | MDB           | centro
      2023 |      141401 | Carlos Bezerra                      | MDB           | centro
      2023 |      204361 | Carlos Chiodini                     | MDB           | centro
      2023 |      220699 | Castro Neto                         | MDB           | centro
      2023 |      178876 | Célio Silveira                      | MDB           | centro
      2023 |      141405 | Celso Maldaner                      | MDB           | centro
      2023 |      141408 | Cleber Verde                        | MDB           | centro
      2023 |       98148 | Cobalchini                          | MDB           | centro
      2023 |      220674 | Dra. Alessandra Haber               | MDB           | centro
      2023 |      220540 | Duda Ramos                          | MDB           | centro
      2023 |      178994 | Dulce Miranda                       | MDB           | centro
      2023 |       74075 | Elcione Barbalho                    | MDB           | centro
      2023 |      204537 | Enrico Misasi                       | MDB           | centro
      2023 |       74454 | Eunício Oliveira                    | MDB           | centro
      2023 |      141427 | Fábio Ramalho                       | MDB           | centro
      2023 |      220653 | Fábio Teruel                        | MDB           | centro
      2023 |      141434 | Flaviano Melo                       | MDB           | centro
      2023 |      225727 | Flavinha                            | MDB           | centro
      2023 |      204456 | Gutemberg Reis                      | MDB           | centro
      2023 |      220672 | Henderson Pinto                     | MDB           | centro
      2023 |      204539 | Hercílio Coelho Diniz               | MDB           | centro
      2023 |       73772 | Hermes Parcianello                  | MDB           | centro
      2023 |      178884 | Hildo Rocha                         | MDB           | centro
      2023 |      204436 | Isnaldo Bulhões Jr.                 | MDB           | centro
      2023 |      220670 | Iza Arruda                          | MDB           | centro
      2023 |      178839 | Jéssica Sales                       | MDB           | centro
      2023 |      112437 | João Marcelo Souza                  | MDB           | centro
      2023 |      204386 | Jose Mario Schreiner                | MDB           | centro
      2023 |       74079 | José Priante                        | MDB           | centro
      2023 |      204474 | Juarez Costa                        | MDB           | centro
      2023 |      220677 | Keniston Braga                      | MDB           | centro
      2023 |      178954 | Lucio Mosquini                      | MDB           | centro
      2023 |      204471 | Mara Rocha                          | MDB           | centro
      2023 |      221147 | Marcia Scherer                      | MDB           | centro
      2023 |      179001 | Márcio Biolchi                      | MDB           | centro
      2023 |      226410 | Márcio Correa                       | MDB           | centro
      2023 |      178896 | Newton Cardoso Jr                   | MDB           | centro
      2023 |      204498 | Olival Marques                      | MDB           | centro
      2023 |      161440 | Pezenti                             | MDB           | centro
      2023 |      220586 | Rafael Brito                        | MDB           | centro
      2023 |      220532 | Rafael Prudente                     | MDB           | centro
      2023 |      141523 | Raul Henry                          | MDB           | centro
      2023 |      153423 | Renilce Nicodemos                   | MDB           | centro
      2023 |      220694 | Ricardo Maia                        | MDB           | centro
      2023 |      160651 | Rogério Peninha Mendonça            | MDB           | centro
      2023 |       73806 | Roseana Sarney                      | MDB           | centro
      2023 |      178933 | Sergio Souza                        | MDB           | centro
      2023 |      204437 | Severino Pessoa                     | MDB           | centro
      2023 |       74806 | Tadeu Filippelli                    | MDB           | centro
      2023 |      178863 | Uldurico Junior                     | MDB           | centro
      2023 |       74010 | VALDIR COLATTO                      | MDB           | centro
      2023 |      220635 | Bruno Ganem                         | PODE          | centro
      2023 |      220608 | Cristiane Lopes                     | PODE          | centro
      2023 |      204511 | David Soares                        | PODE          | centro
      2023 |      220652 | Delegado Palumbo                    | PODE          | centro
      2023 |      220705 | Deltan Dallagnol                    | PODE          | centro
      2023 |      178830 | Dr. Sinval Malheiros                | PODE          | centro
      2023 |      220528 | Dr. Victor Linhalis                 | PODE          | centro
      2023 |      220681 | Fábio Macedo                        | PODE          | centro
      2023 |       74270 | Gilberto Nascimento                 | PODE          | centro
      2023 |      220529 | Gilson Daniel                       | PODE          | centro
      2023 |      204419 | Glaustin da Fokus                   | PODE          | centro
      2023 |      204359 | Léo Moraes                          | PODE          | centro
      2023 |       73778 | Luiz Carlos Hauly                   | PODE          | centro
      2023 |      204011 | Marcos Pacco                        | PODE          | centro
