"id";"uri";"data";"dataHoraRegistro";"idOrgao";"uriOrgao";"siglaOrgao";"idEvento";"uriEvento";"aprovacao";"votosSim";"votosNao";"votosOutros";"descricao";"ultimaAberturaVotacao_dataHoraRegistro";"ultimaAberturaVotacao_descricao";"ultimaApresentacaoProposicao_dataHoraRegistro";"ultimaApresentacaoProposicao_descricao";"ultimaApresentacaoProposicao_idProposicao";"ultimaApresentacaoProposicao_uriProposicao"
"2345501-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-28";"2023-01-09";"2023-01-09T21:22:54";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67053";"https://dadosabertos.camara.leg.br/api/v2/eventos/67053";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Relator, Dep. Rubens Pereira Junior (PT-MA).";"2023-01-09T21:22:42";"Votação da Redação Final.";"2023-01-09T21:00:20";"Parecer proferido em Plenário pelo Relator, Dep. Rubens Pereira Junior (PT-MA), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e boa técnica legislativa e, no mérito, pela aprovação do Decreto nº 11.377, de 08 de janeiro de 2023, encaminhado por meio da Mensagem nº 14, de 2023.";"2345505";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345505"
"2345502-6";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345502-6";"2023-01-09";"2023-01-09T20:58:24";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67053";"https://dadosabertos.camara.leg.br/api/v2/eventos/67053";"1";"0";"0";"0";"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).";"";"";"";"";"0";""
"2345501-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-17";"2023-01-09";"2023-01-09T20:58:25";"100001";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100001";"SECAP(SGM)";"0";"";"1";"0";"0";"0";"Realizar o encaminhamento da MSC-14/2023 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.";"";"";"";"";"0";""
"2345501-18";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-18";"2023-01-09";"2023-01-09T20:58:25";"100001";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100001";"SECAP(SGM)";"0";"";"1";"0";"0";"0";"Realizar o encaminhamento da MSC-14/2023 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.";"";"";"";"";"0";""
"2345501-25";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-25";"2023-01-09";"2023-01-09T21:22:12";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67053";"https://dadosabertos.camara.leg.br/api/v2/eventos/67053";"0";"0";"0";"0";"Rejeitado o Requerimento.";"2023-01-09T21:26:10";"Votação em turno único.";"2023-01-09T21:00:20";"Parecer proferido em Plenário pelo Relator, Dep. Rubens Pereira Junior (PT-MA), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e boa técnica legislativa e, no mérito, pela aprovação do Decreto nº 11.377, de 08 de janeiro de 2023, encaminhado por meio da Mensagem nº 14, de 2023.";"2345505";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345505"
"2345501-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-26";"2023-01-09";"2023-01-09T21:22:30";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67053";"https://dadosabertos.camara.leg.br/api/v2/eventos/67053";"1";"0";"0";"0";"Aprovado o Projeto de Decreto Legislativo nº 1, de 2023, adotado pelo Relator da Comissão de Constituição e Justiça e de Cidadania.";"2023-01-09T21:26:10";"Votação em turno único.";"2023-01-09T21:00:20";"Parecer proferido em Plenário pelo Relator, Dep. Rubens Pereira Junior (PT-MA), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e boa técnica legislativa e, no mérito, pela aprovação do Decreto nº 11.377, de 08 de janeiro de 2023, encaminhado por meio da Mensagem nº 14, de 2023.";"2345505";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345505"
"2345508-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345508-7";"2023-01-09";"";"4";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"MESA";"0";"";"0";"0";"0";"0";"Apresentação do Voto em Separado n. 1 MESA, pela Deputada Carla Zambelli (PL/SP).";"";"";"";"";"0";""
"110085-159";"https://dadosabertos.camara.leg.br/api/v2/votacoes/110085-159";"2023-01-31";"2023-02-03T15:26:40";"2003";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"CCJC";"0";"";"1";"0";"0";"0";"PARECER CONSIDERADO VÁLIDO, NOS TERMOS DO § 2º DO ART 105 DO RICD, ENQUANTO APENSADO AO PRC 145/1993: REJEIÇÃO DO PARECER DO RELATOR, DEP RICARDO FIUZA.
APROVAÇÃO DO PARECER DO DEP INALDO LEITÃO, DESIGNADO RELATOR DO VENCEDOR, PELA CONSTITUCIONALIDADE, JURIDICIDADE, TECNICA LEGISLATIVA E, NO MERITO, PELA REJEIÇÃO, CONTRA O VOTO EM SEPARADO DO DEP RICARDO FIUZA.";"";"";"";"";"0";""
"266409-126";"https://dadosabertos.camara.leg.br/api/v2/votacoes/266409-126";"2023-01-31";"2023-02-03T15:37:28";"2003";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"CCJC";"0";"";"1";"0";"0";"0";"[PARECER CONSIDERADO VÁLIDO, NOS TERMOS DO § 2º DO ART 105 DO RICD, ENQUANTO APENSADO AO PRC 62/1991]: APROVAÇÃO UNANIME DO PARECER DO RELATOR, DEP CLEONANCIO FONSECA, PELA CONSTITUCIONALIDADE, JURIDICIDADE E TECNICA LEGISLATIVA.
DCN1 05 03 93 PAG 4583 COL 01.";"";"";"";"";"0";""
"266409-127";"https://dadosabertos.camara.leg.br/api/v2/votacoes/266409-127";"2023-01-31";"2023-02-03T15:46:15";"4";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"MESA";"0";"";"1";"0";"0";"0";"[PARECER CONSIDERADO VÁLIDO, NOS TERMOS DO § 2º DO ART 105 DO RICD, ENQUANTO APENSADO AO PRC 62/1991]: APROVAÇÃO UNANIME DO PARECER FAVORAVEL DO RELATOR, DEP GENESIO BERNARDINO, PRIMEIRO VICE-PRESIDENTE, COM SUBSTITUTIVO.
DCN1 16 01 93 PAG 0629 COL 02.";"";"";"2009-04-13T16:12:46";"Apresentação do Requerimento n° 3802, de 2008, pela Comissão de Constituição e Justiça e de Cidadania, que solicita tomada de providências de caráter saneador para a regularização do processo referente ao Projeto de Resolução nº 63/2000.";"0";""
