"id";"uri";"siglaTipo";"numero";"ano";"codTipo";"descricaoTipo";"ementa";"ementaDetalhada";"keywords";"dataApresentacao";"uriOrgaoNumerador";"uriPropAnterior";"uriPropPrincipal";"uriPropPosterior";"urlInteiroTeor";"urnFinal";"ultimoStatus_dataHora";"ultimoStatus_sequencia";"ultimoStatus_uriRelator";"ultimoStatus_idOrgao";"ultimoStatus_siglaOrgao";"ultimoStatus_uriOrgao";"ultimoStatus_regime";"ultimoStatus_descricaoTramitacao";"ultimoStatus_idTipoTramitacao";"ultimoStatus_descricaoSituacao";"ultimoStatus_idSituacao";"ultimoStatus_despacho";"ultimoStatus_apreciacao";"ultimoStatus_url"
"2481874";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2481874";"PL";"1";"2025";"139";"Projeto de Lei";"Dispõe sobre a criação de oito varas federais no Estado de Santa Catarina, a transformação de cargos de juiz federal substituto na Justiça Federal da 4ª Região e a criação de cargos de juízes federais e dá outras providências.";"";"Criação, vara federal, Tribunal Regional Federal (TRF) (4. Região), Seção judiciária, Santa Catarina. _Transformação, cargo público, Juiz substituto. _Criação, cargo público, Juiz federal.";"2025-01-02T17:58:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2847328";"";"2025-07-22T00:00:00";"48";"https://dadosabertos.camara.leg.br/api/v2/deputados/98148";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Urgência (Art. 155, RICD)";"Transformação em Norma Jurídica";"251";"Transformado em Norma Jurídica";"1140";"Transformado na Lei Ordinária 15172/2025. DOU 23/07/2025 PÁG 01 COL 01.";"Proposição Sujeita à Apreciação do Plenário";""
"2481875";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2481875";"PL";"2";"2025";"139";"Projeto de Lei";"Dispõe sobre a reestruturação de cargos da magistratura no quadro permanente da Justiça
Federal da 1ª Região e sobre a criação da 2ª Turma Recursal dos Juizados Especiais Federais
da Seção Judiciária do Piauí.";"";"Cargo vago, Juiz substituto, transformação, juiz federal, Justiça federal (1. Região). _Criação, Turma recursal, Juizado especial federal, Seção judiciária, Piauí.";"2025-01-02T18:10:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2847330";"";"2025-08-07T00:00:00";"54";"https://dadosabertos.camara.leg.br/api/v2/deputados/74317";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Urgência (Art. 155, RICD)";"Apresentação de Proposição";"100";"Transformado em Norma Jurídica";"1140";"Recebido Ofício nº 684/2025-SF que comunica restituição de autógrafo do PL 2/2025, sancionado.";"Proposição Sujeita à Apreciação do Plenário";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2968491"
"2481876";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2481876";"TVR";"1";"2025";"425";"Permissão Rádio Frequência Modulada";"Submete à apreciação do Congresso Nacional o ato constante da Portaria nº 4.183, de 29 de novembro de 2021, que outorga permissão à TVI-TV Interativa Ltda., para executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão sonora em frequência modulada, no Município de Águas de São Pedro, Estado de São Paulo.";"";"";"2025-01-03T14:33:01";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2847352";"";"2025-10-22T20:00:09";"25";"https://dadosabertos.camara.leg.br/api/v2/deputados/204372";"";"";"";"Art. 223 - CF";"Apresentação de Proposição";"100";"";"";"Apresentação do PDL n. 872/2025 (Projeto de Decreto Legislativo de Concessão, Renovação e Permissão de Radio/TV), pelo Comissão de Comunicação, que ""Aprova o ato que outorga permissão à TVI-TV Interativa Ltda. para explorar serviço de radiodifusão sonora em frequência modulada, no Município de Águas de São Pedro, Estado de São Paulo"".";"Proposição Sujeita à Apreciação Conclusiva (Parecer 09/90 - CCJR)";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3028318"
"2481877";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2481877";"MSC";"1632";"2025";"401";"Mensagem de Concessão ou Renovação de Rádio e TV";"Submete à apreciação do Congresso Nacional o ato constante da Portaria nº 4.183, de 29 de novembro de 2021, publicada no Diário Oficial da União de 17 de fevereiro de 2022, que outorga permissão à TVI - TV Interativa Ltda., para executar, pelo prazo de dez anos, sem direito de exclusividade, o serviço de radiodifusão sonora em frequência modulada, no Município de Águas de São Pedro, Estado de São Paulo.";"";"";"2025-01-03T14:33:01";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2847353";"";"2025-01-03T14:56:08";"2";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"";"Transformada em Nova Proposição";"469";"Transformado em nova proposição";"1230";"Transformada em : TVR-1/2025";"Proposição Sujeita à Apreciação Conclusiva (Parecer 09/90 - CCJR)";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2847353"
"2481880";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2481880";"MPV";"1287";"2025";"291";"Medida Provisória";"Institui apoio financeiro à pessoa com deficiência decorrente de síndrome congênita associada à infecção pelo vírus Zika.";"";"Criação, auxílio financeiro, criança com deficiência, Síndrome Congênita do Zika Vírus, infecção viral, mulher, gestante, zika vírus.";"2025-01-09T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2848986";"";"2025-08-04T00:00:00";"8";"";"180";"PLEN";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"Urgência (Art. 62, CF)";"Apresentação de Proposição";"100";"Perdeu a Eficácia";"1292";"Recebido Ofício nº  222/2025-CN que comunica término de prazo para edição de decreto legislativo - MPV 1287/2025.";"Proposição Sujeita à Apreciação do Plenário";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2965626"
"2481881";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2481881";"OF";"1";"2025";"181";"Ofício";"Ofício de Dispensa de Redação Final do PL 6399/2013.";"";"";"2025-01-10T13:38:54";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/592960";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2847631";"";"2025-01-10T13:38:54";"1";"";"2003";"CCJC";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"";"Apresentação de Proposição";"100";"Aguardando Providências Internas";"936";"Apresentação do OF n. 1/2025 (Ofício), pela Comissão de Constituição e Justiça e de Cidadania, que ""Ofício de Dispensa de Redação Final do PL 6399/2013"".";"Indefinida";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2847631"
"2481882";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2481882";"TVR";"2";"2025";"436";"Renovação TV Educativa";"Submete à apreciação do Congresso Nacional o ato constante do Decreto nº 12.315, de 16 de dezembro de 2024, publicado no Diário Oficial da União de 17 de dezembro de 2024, que Renova a concessão outorgada à Fundação Educa Mais, anteriormente denominada Fundação Altamiro Galino, para executar, sem direito de exclusividade, serviço de radiodifusão de sons e imagens em tecnologia digital, com fins exclusivamente educativos, no Município de Cuiabá, Estado de Mato Grosso.";"";"";"2025-01-10T14:05:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2847669";"";"2025-12-01T17:33:09";"24";"https://dadosabertos.camara.leg.br/api/v2/deputados/230767";"";"";"";"Art. 223 - CF";"Apresentação de Proposição";"100";"";"";"Apresentação do PDL n. 1045/2025 (Projeto de Decreto Legislativo de Concessão, Renovação e Permissão de Radio/TV), pelo Comissão de Comunicação, que ""Aprova o ato que renova a concessão outorgada à Fundação Educa Mais, anteriormente denominada Fundação Altamiro Galino, para executar serviço de radiodifusão de sons e imagens, com fins exclusivamente educativos, no Município de Cuiabá, Estado do Mato Grosso"".";"Proposição Sujeita à Apreciação Conclusiva (Parecer 09/90 - CCJR)";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3055631"
"2481883";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2481883";"MSC";"37";"2025";"401";"Mensagem de Concessão ou Renovação de Rádio e TV";"Submete à apreciação do Congresso Nacional o ato constante do Decreto nº 12.315, de 16 de dezembro de 2024, publicado no Diário Oficial da União de 17 de dezembro de 2024, que ""Renova a concessão outorgada à Fundação Educa Mais para executar, sem direito de exclusividade, serviço de radiodifusão de sons e imagens em tecnologia digital, com fins exclusivamente educativos, no Município de Cuiabá, Estado de Mato Grosso."".";"";"";"2025-01-10T14:05:44";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2847670";"";"2025-01-10T14:21:15";"2";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"";"Transformada em Nova Proposição";"469";"Transformado em nova proposição";"1230";"Transformada em : TVR-2/2025";"Proposição Sujeita à Apreciação Conclusiva (Parecer 09/90 - CCJR)";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2847670"
"2481884";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2481884";"TVR";"3";"2025";"436";"Renovação TV Educativa";"Submete à apreciação do Congresso Nacional o ato constante do Decreto nº 12.314, de 16 de dezembro de 2024, publicado no Diário Oficial da União de 17 de dezembro de 2024, que ""Renova a concessão outorgada à Fundação Educativa e Cultural de Integração do Oeste de Minas, para executar, sem direito de exclusividade, serviço de radiodifusão de sons e imagens, com fins exclusivamente educativos, no Município de Formiga, Estado de Minas Gerais.""";"";"";"2025-01-10T14:05:45";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2847676";"";"2025-10-22T20:00:09";"24";"https://dadosabertos.camara.leg.br/api/v2/deputados/204372";"";"";"";"Art. 223 - CF";"Apresentação de Proposição";"100";"";"";"Apresentação do PDL n. 873/2025 (Projeto de Decreto Legislativo de Concessão, Renovação e Permissão de Radio/TV), pelo Comissão de Comunicação, que ""Aprova o ato que renova a concessão outorgada à Fundação Educativa e Cultural de Integração do Oeste de Minas para executar serviço de radiodifusão de sons e imagens, com fins exclusivamente educativos, no Município de Formiga, Estado de Minas Gerais"".";"Proposição Sujeita à Apreciação Conclusiva (Parecer 09/90 - CCJR)";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3028319"
"2481885";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2481885";"MSC";"36";"2025";"401";"Mensagem de Concessão ou Renovação de Rádio e TV";"Submete à apreciação do Congresso Nacional o ato constante do Decreto nº 12.314, de 16 de dezembro de 2024, publicado no Diário Oficial da União de 17 de dezembro de 2024, que ""Renova a concessão outorgada à Fundação Educativa e Cultural de Integração do Oeste de Minas, para executar, sem direito de exclusividade, serviço de radiodifusão de sons e imagens, com fins exclusivamente educativos, no Município de Formiga, Estado de Minas Gerais."".";"";"";"2025-01-10T14:05:45";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2847677";"";"2025-01-10T14:23:02";"2";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"";"Transformada em Nova Proposição";"469";"Transformado em nova proposição";"1230";"Transformada em : TVR-3/2025";"Proposição Sujeita à Apreciação Conclusiva (Parecer 09/90 - CCJR)";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2847677"
