"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"2627192";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2627192";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Senadora Leila Barros";"PDT";"";"DF";"1";"1"
"2625609";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2625609";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Senador Fernando Farias";"MDB";"";"AL";"1";"1"
"2625595";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2625595";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Jader Barbalho";"MDB";"";"PA";"1";"1"
"2622472";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2622472";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"2621997";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2621997";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Zequinha Marinho";"PODEMOS";"";"PA";"1";"1"
"2620805";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2620805";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Senador Wellington Fagundes";"PL";"";"MT";"1";"1"
"2620803";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2620803";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Astronauta Marcos Pontes";"PL";"";"SP";"1";"1"
"2617503";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2617503";"220658";"https://dadosabertos.camara.leg.br/api/v2/deputados/220658";"10000";"Deputado(a)";"Luiz Gastão";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"CE";"1";"1"
"2616877";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2616877";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Senador Esperidião Amin";"PP";"";"SC";"1";"1"
"2616673";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2616673";"220632";"https://dadosabertos.camara.leg.br/api/v2/deputados/220632";"10000";"Deputado(a)";"Ana Pimentel";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"MG";"1";"1"
"2616656";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2616656";"220632";"https://dadosabertos.camara.leg.br/api/v2/deputados/220632";"10000";"Deputado(a)";"Ana Pimentel";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"MG";"1";"1"
"2616654";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2616654";"220632";"https://dadosabertos.camara.leg.br/api/v2/deputados/220632";"10000";"Deputado(a)";"Ana Pimentel";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"MG";"1";"1"
"2616506";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2616506";"74856";"https://dadosabertos.camara.leg.br/api/v2/deputados/74856";"10000";"Deputado(a)";"Laura Carneiro";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"RJ";"1";"1"
"2615302";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2615302";"150418";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"10000";"Deputado(a)";"Márcio Marinho";"REPUBLIC";"";"BA";"1";"1"
"2612945";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2612945";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Daniella Ribeiro";"PP";"";"PB";"1";"1"
"2612934";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2612934";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Sérgio Petecão";"PSD";"";"AC";"1";"1"
"2612212";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2612212";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"2612037";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2612037";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"2611592";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2611592";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"2611591";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2611591";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"2611102";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2611102";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Senador Dr. Hiran";"PP";"";"RR";"1";"1"
"2611098";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2611098";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Senador Flávio Arns";"PSB";"";"PR";"1";"1"
"2611097";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2611097";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Senador Flávio Arns";"PSB";"";"PR";"1";"1"
"2611085";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2611085";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Senador Izalci Lucas";"PL";"";"DF";"1";"1"
"2611083";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2611083";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Senadora Mara Gabrilli";"PSD";"";"SP";"1";"1"
"2611072";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2611072";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Senador Plínio Valério";"PSDB";"";"AM";"1";"1"
"2609799";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2609799";"220530";"https://dadosabertos.camara.leg.br/api/v2/deputados/220530";"10000";"Deputado(a)";"Messias Donato";"REPUBLIC";"";"ES";"1";"1"
"2609006";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2609006";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Senador Eduardo Braga";"MDB";"";"AM";"1";"1"
"2609001";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2609001";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Senadora Daniella Ribeiro";"PP";"";"PB";"1";"1"
"2609000";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2609000";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Senadora Dra. Eudócia";"PL";"";"AL";"1";"1"
"2608277";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2608277";"204535";"https://dadosabertos.camara.leg.br/api/v2/deputados/204535";"10000";"Deputado(a)";"Sâmia Bomfim";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"SP";"1";"1"
