"idVotacao";"uriVotacao";"dataHoraVoto";"voto";"deputado_id";"deputado_uri";"deputado_nome";"deputado_siglaPartido";"deputado_uriPartido";"deputado_siglaUf";"deputado_idLegislatura";"deputado_urlFoto"
"106701-223";"https://dadosabertos.camara.leg.br/api/v2/votacoes/106701-223";"2025-11-05T12:41:17";"Sim";"204379";"https://dadosabertos.camara.leg.br/api/v2/deputados/204379";"Acácio Favacho";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"AP";"57";"https://www.camara.leg.br/internet/deputado/bandep/204379.jpg"
"106701-223";"https://dadosabertos.camara.leg.br/api/v2/votacoes/106701-223";"2025-11-05T12:31:16";"Sim";"220714";"https://dadosabertos.camara.leg.br/api/v2/deputados/220714";"Adail Filho";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"AM";"57";"https://www.camara.leg.br/internet/deputado/bandep/220714.jpg"
"106701-223";"https://dadosabertos.camara.leg.br/api/v2/votacoes/106701-223";"2025-11-05T12:32:08";"Sim";"221328";"https://dadosabertos.camara.leg.br/api/v2/deputados/221328";"Adilson Barroso";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/221328.jpg"
"106701-223";"https://dadosabertos.camara.leg.br/api/v2/votacoes/106701-223";"2025-11-05T12:33:17";"Sim";"204560";"https://dadosabertos.camara.leg.br/api/v2/deputados/204560";"Adolfo Viana";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"BA";"57";"https://www.camara.leg.br/internet/deputado/bandep/204560.jpg"
"106701-223";"https://dadosabertos.camara.leg.br/api/v2/votacoes/106701-223";"2025-11-05T12:32:50";"Sim";"204528";"https://dadosabertos.camara.leg.br/api/v2/deputados/204528";"Adriana Ventura";"NOVO";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/204528.jpg"
"106701-223";"https://dadosabertos.camara.leg.br/api/v2/votacoes/106701-223";"2025-11-05T12:31:18";"Sim";"121948";"https://dadosabertos.camara.leg.br/api/v2/deputados/121948";"Adriano do Baldy";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"GO";"57";"https://www.camara.leg.br/internet/deputado/bandep/121948.jpg"
"106701-223";"https://dadosabertos.camara.leg.br/api/v2/votacoes/106701-223";"2025-11-05T12:31:23";"Sim";"204495";"https://dadosabertos.camara.leg.br/api/v2/deputados/204495";"Airton Faleiro";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"PA";"57";"https://www.camara.leg.br/internet/deputado/bandep/204495.jpg"
"106701-223";"https://dadosabertos.camara.leg.br/api/v2/votacoes/106701-223";"2025-11-05T12:32:13";"Sim";"204549";"https://dadosabertos.camara.leg.br/api/v2/deputados/204549";"AJ Albuquerque";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"CE";"57";"https://www.camara.leg.br/internet/deputado/bandep/204549.jpg"
"106701-223";"https://dadosabertos.camara.leg.br/api/v2/votacoes/106701-223";"2025-11-05T12:31:29";"Sim";"73579";"https://dadosabertos.camara.leg.br/api/v2/deputados/73579";"Alberto Fraga";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"DF";"57";"https://www.camara.leg.br/internet/deputado/bandep/73579.jpg"
"106701-223";"https://dadosabertos.camara.leg.br/api/v2/votacoes/106701-223";"2025-11-05T12:30:55";"Sim";"220538";"https://dadosabertos.camara.leg.br/api/v2/deputados/220538";"Albuquerque";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"RR";"57";"https://www.camara.leg.br/internet/deputado/bandep/220538.jpg"
"106701-223";"https://dadosabertos.camara.leg.br/api/v2/votacoes/106701-223";"2025-11-05T12:31:44";"Sim";"160559";"https://dadosabertos.camara.leg.br/api/v2/deputados/160559";"Alceu Moreira";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/160559.jpg"
"106701-223";"https://dadosabertos.camara.leg.br/api/v2/votacoes/106701-223";"2025-11-05T12:32:59";"Sim";"204501";"https://dadosabertos.camara.leg.br/api/v2/deputados/204501";"Alencar Santana";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/204501.jpg"
"106701-223";"https://dadosabertos.camara.leg.br/api/v2/votacoes/106701-223";"2025-11-05T12:31:57";"Sim";"204571";"https://dadosabertos.camara.leg.br/api/v2/deputados/204571";"Alex Santana";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"BA";"57";"https://www.camara.leg.br/internet/deputado/bandep/204571.jpg"
"106701-223";"https://dadosabertos.camara.leg.br/api/v2/votacoes/106701-223";"2025-11-05T12:31:29";"Sim";"220542";"https://dadosabertos.camara.leg.br/api/v2/deputados/220542";"Alexandre Guimarães";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"TO";"57";"https://www.camara.leg.br/internet/deputado/bandep/220542.jpg"
"106701-223";"https://dadosabertos.camara.leg.br/api/v2/votacoes/106701-223";"2025-11-05T12:38:40";"Sim";"220554";"https://dadosabertos.camara.leg.br/api/v2/deputados/220554";"Alexandre Lindenmeyer";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/220554.jpg"
"106701-223";"https://dadosabertos.camara.leg.br/api/v2/votacoes/106701-223";"2025-11-05T12:33:10";"Sim";"221148";"https://dadosabertos.camara.leg.br/api/v2/deputados/221148";"Alfredinho";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/221148.jpg"
"106701-223";"https://dadosabertos.camara.leg.br/api/v2/votacoes/106701-223";"2025-11-05T12:32:04";"Sim";"220576";"https://dadosabertos.camara.leg.br/api/v2/deputados/220576";"Alfredo Gaspar";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"AL";"57";"https://www.camara.leg.br/internet/deputado/bandep/220576.jpg"
